variable,date,value1,value2,value3,value4,value5,value6
NO3, 18 Dec 1990, 0.00003,0.03990,0.23401,1.05081,3.04673,4.16061
NO3, 19 Dec 1990, 0.00427,0.04364,0.23547,1.03774,3.03731,4.16187
NO3, 20 Dec 1990, 0.00000,0.04737,0.23762,1.02497,3.02804,4.16309
NO3, 21 Dec 1990, 0.00000,0.05066,0.23960,1.01253,3.01888,4.16412
NO3, 22 Dec 1990, 0.00000,0.05357,0.24134,1.00043,3.00982,4.16497
NO3, 23 Dec 1990, 0.00000,0.05547,0.24202,0.98878,3.00088,4.16542
NO3, 24 Dec 1990, 0.00000,0.05747,0.24294,0.97748,2.99209,4.16583
NO3, 25 Dec 1990, 0.00000,0.05907,0.24353,0.96655,2.98343,4.16608
NO3, 26 Dec 1990, 0.00000,0.06056,0.24416,0.95589,2.97486,4.16629
NO3, 27 Dec 1990, 0.00000,0.06161,0.24445,0.94556,2.96640,4.16640
NO3, 28 Dec 1990, 0.00000,0.06261,0.24488,0.93543,2.95802,4.16653
NO3, 29 Dec 1990, 0.00000,0.06308,0.24552,0.92549,2.94971,4.16673
NO3, 30 Dec 1990, 0.00000,0.06273,0.24608,0.91575,2.94148,4.16693
NO3, 31 Dec 1990, 0.00000,0.06185,0.24669,0.90619,2.93332,4.16720
NO3,  1 Jan 1991, 0.00047,0.06061,0.24729,0.89681,2.92523,4.16753
NO3,  2 Jan 1991, 0.00091,0.05908,0.24769,0.88763,2.91722,4.16789
NO3,  3 Jan 1991, 0.00134,0.05736,0.24792,0.87864,2.90928,4.16828
NO3,  4 Jan 1991, 0.00172,0.05553,0.24766,0.86981,2.90141,4.16874
NO3,  5 Jan 1991, 0.05782,0.06438,0.26179,0.86077,2.89347,4.17588
NO3,  6 Jan 1991, 0.07591,0.07717,0.27974,0.85297,2.88566,4.18151
NO3,  7 Jan 1991, 0.08181,0.06620,0.27748,0.85796,2.87874,4.18622
NO3,  8 Jan 1991, 0.06696,0.07619,0.27712,0.87109,2.88044,4.18983
NO3,  9 Jan 1991, 0.05678,0.07541,0.27128,0.87552,2.87998,4.19278
NO3, 10 Jan 1991, 0.05540,0.08473,0.27545,0.87689,2.88248,4.19553
NO3, 11 Jan 1991, 0.07915,0.09769,0.28438,0.86826,2.88348,4.19923
NO3, 12 Jan 1991, 0.08950,0.11737,0.30092,0.86010,2.88596,4.20309
NO3, 13 Jan 1991, 0.13066,0.14036,0.32071,0.85183,2.88825,4.20736
NO3, 14 Jan 1991, 0.17083,0.16655,0.34295,0.84475,2.89057,4.21185
NO3, 15 Jan 1991, 0.16297,0.19358,0.36548,0.83918,2.89282,4.21615
NO3, 16 Jan 1991, 0.09916,0.21774,0.38521,0.83537,2.89504,4.21962
NO3, 17 Jan 1991, 0.01796,0.24038,0.40342,0.83277,2.89721,4.22263
NO3, 18 Jan 1991, 0.00000,0.26241,0.42085,0.83103,2.89936,4.22531
NO3, 19 Jan 1991, 0.00000,0.28308,0.43721,0.83003,2.90147,4.22760
NO3, 20 Jan 1991, 0.00000,0.29783,0.44985,0.82562,2.90156,4.22974
NO3, 21 Jan 1991, 0.07354,0.31658,0.46726,0.82237,2.90190,4.23329
NO3, 22 Jan 1991, 0.07684,0.32340,0.50964,0.82599,2.90265,4.23793
NO3, 23 Jan 1991, 0.04414,0.30412,0.52776,0.88058,2.90507,4.24239
NO3, 24 Jan 1991, 0.05575,0.27696,0.51540,0.95939,2.90957,4.24647
NO3, 25 Jan 1991, 0.05697,0.25829,0.50258,0.98794,2.95333,4.25047
NO3, 26 Jan 1991, 0.06884,0.25100,0.48534,0.99036,3.01782,4.25538
NO3, 27 Jan 1991, 0.07522,0.24830,0.46910,0.97778,3.08635,4.26114
NO3, 28 Jan 1991, 0.12753,0.25761,0.45951,0.95933,3.14758,4.26882
NO3, 29 Jan 1991, 0.16075,0.27460,0.45515,0.94118,3.19589,4.27731
NO3, 30 Jan 1991, 0.16790,0.29640,0.45739,0.92443,3.23264,4.28683
NO3, 31 Jan 1991, 0.16343,0.32497,0.46241,0.91061,3.25909,4.29742
NO3,  1 Feb 1991, 0.16913,0.35473,0.47649,0.90062,3.27642,4.30909
NO3,  2 Feb 1991, 0.13582,0.38653,0.49645,0.89520,3.28704,4.32163
NO3,  3 Feb 1991, 0.07784,0.42497,0.52357,0.89472,3.29139,4.33779
NO3,  4 Feb 1991, 0.02148,0.46831,0.55899,0.89509,3.29246,4.35622
NO3,  5 Feb 1991, 0.08984,0.51642,0.59682,0.90221,3.29450,4.37311
NO3,  6 Feb 1991, 0.15833,0.56030,0.64299,0.91958,3.29963,4.38989
NO3,  7 Feb 1991, 0.24709,0.59884,0.68827,0.94075,3.30721,4.40950
NO3,  8 Feb 1991, 0.29574,0.62951,0.72668,0.96146,3.31428,4.43301
NO3,  9 Feb 1991, 0.31554,0.66826,0.75877,0.97899,3.31969,4.45880
NO3, 10 Feb 1991, 0.30959,0.70813,0.78190,0.99234,3.32301,4.48373
NO3, 11 Feb 1991, 0.29305,0.74745,0.80961,1.00406,3.32655,4.50727
NO3, 12 Feb 1991, 0.29282,0.78691,0.84012,1.01574,3.33145,4.52842
NO3, 13 Feb 1991, 0.28162,0.82808,0.87715,1.02426,3.33861,4.54746
NO3, 14 Feb 1991, 0.25280,0.87375,0.91420,1.05004,3.33617,4.56447
NO3, 15 Feb 1991, 0.26436,0.92162,0.95286,1.07177,3.34029,4.58211
NO3, 16 Feb 1991, 0.32866,0.96718,0.98935,1.09297,3.34422,4.59903
NO3, 17 Feb 1991, 0.37635,1.00938,1.02278,1.11321,3.34741,4.61493
NO3, 18 Feb 1991, 0.39595,1.04792,1.05282,1.13221,3.34974,4.62968
NO3, 19 Feb 1991, 0.37627,1.08473,1.08089,1.15056,3.35166,4.64368
NO3, 20 Feb 1991, 0.34624,1.11928,1.10740,1.16844,3.35325,4.65704
NO3, 21 Feb 1991, 0.31259,1.15538,1.13519,1.18710,3.35560,4.67062
NO3, 22 Feb 1991, 0.27378,1.19799,1.16624,1.20752,3.35951,4.68507
NO3, 23 Feb 1991, 0.23698,1.24033,1.19717,1.22814,3.36365,4.69939
NO3, 24 Feb 1991, 0.21002,1.27961,1.22634,1.24810,3.36742,4.71307
NO3, 25 Feb 1991, 0.19212,1.32538,1.26005,1.27047,3.37313,4.72795
NO3, 26 Feb 1991, 0.18325,1.37849,1.29873,1.29551,3.38098,4.74414
NO3, 27 Feb 1991, 0.18013,1.42478,1.33277,1.31861,3.38735,4.75898
NO3, 28 Feb 1991, 0.18123,1.46912,1.36539,1.34124,3.39344,4.77334
NO3,  1 Mar 1991, 0.19154,1.50837,1.39451,1.36236,3.39836,4.78660
NO3,  2 Mar 1991, 0.20686,1.54015,1.41853,1.38116,3.40136,4.79827
NO3,  3 Mar 1991, 0.22546,1.56621,1.43862,1.39813,3.40288,4.80864
NO3,  4 Mar 1991, 0.24455,1.59652,1.46149,1.41641,3.40588,4.81973
NO3,  5 Mar 1991, 0.26416,1.63238,1.48797,1.43610,3.41104,4.83177
NO3,  6 Mar 1991, 0.28434,1.67709,1.52018,1.45832,3.41917,4.84537
NO3,  7 Mar 1991, 0.30518,1.73290,1.55951,1.48385,3.43079,4.86090
NO3,  8 Mar 1991, 0.32680,1.79566,1.60322,1.51141,3.44483,4.87763
NO3,  9 Mar 1991, 0.34929,1.86017,1.64792,1.53939,3.45995,4.89466
NO3, 10 Mar 1991, 0.37265,1.91466,1.68607,1.56399,3.47306,4.90998
NO3, 11 Mar 1991, 0.39676,1.96216,1.71955,1.58608,3.48474,4.92396
NO3, 12 Mar 1991, 0.42151,2.00041,1.74694,1.60489,3.49430,4.93614
NO3, 13 Mar 1991, 0.44678,2.03187,1.76982,1.62119,3.50230,4.94692
NO3, 14 Mar 1991, 0.47196,2.06062,1.79053,1.63620,3.50970,4.95699
NO3, 15 Mar 1991, 0.49735,2.09176,1.81257,1.65177,3.51799,4.96736
NO3, 16 Mar 1991, 0.52321,2.12444,1.83554,1.66773,3.52697,4.97791
NO3, 17 Mar 1991, 0.54953,2.16169,1.86139,1.68509,3.53749,4.98920
NO3, 18 Mar 1991, 0.57636,2.20286,1.88966,1.70366,3.54934,5.00110
NO3, 19 Mar 1991, 0.60376,2.24452,1.91819,1.72232,3.56160,5.01305
NO3, 20 Mar 1991, 0.63171,2.28688,1.94713,1.74116,3.57431,5.02506
NO3, 21 Mar 1991, 0.66021,2.32474,1.97318,1.75844,3.58606,5.03627
NO3, 22 Mar 1991, 0.68922,2.35373,1.99360,1.77267,3.59558,5.04587
NO3, 23 Mar 1991, 0.71861,2.37766,2.01077,1.78509,3.60383,5.05450
NO3, 24 Mar 1991, 0.74831,2.39786,2.02545,1.79619,3.61115,5.06238
NO3, 25 Mar 1991, 0.77828,2.41685,2.03905,1.80709,3.61828,5.06998
NO3, 26 Mar 1991, 0.80849,2.43823,2.05395,1.81901,3.62628,5.07797
NO3, 27 Mar 1991, 0.83896,2.46448,2.07176,1.83277,3.63584,5.08679
NO3, 28 Mar 1991, 0.86976,2.49287,2.09082,1.84744,3.64620,5.09595
NO3, 29 Mar 1991, 0.76604,2.54196,2.11167,1.86338,3.65792,5.10601
NO3, 30 Mar 1991, 0.70388,2.60244,2.13014,1.87800,3.66864,5.11535
NO3, 31 Mar 1991, 0.66292,2.65499,2.14615,1.89121,3.67820,5.12380
NO3,  1 Apr 1991, 0.60210,2.71938,2.16142,1.90343,3.68693,5.13160
NO3,  2 Apr 1991, 0.61699,2.76135,2.17496,1.91457,3.69469,5.13864
NO3,  3 Apr 1991, 0.56911,2.73234,2.16142,1.90730,3.69453,5.14520
NO3,  4 Apr 1991, 0.52277,2.71875,2.15688,1.90597,3.69752,5.15255
NO3,  5 Apr 1991, 0.48080,2.68196,2.14427,1.89887,3.69860,5.16056
NO3,  6 Apr 1991, 0.44412,2.65499,2.13765,1.89549,3.70219,5.16959
NO3,  7 Apr 1991, 0.43094,2.58245,2.11280,1.87920,3.70014,5.17913
NO3,  8 Apr 1991, 0.41892,2.49743,2.08280,1.85940,3.69633,5.18834
NO3,  9 Apr 1991, 0.41266,2.41618,2.05345,1.84023,3.69218,5.19683
NO3, 10 Apr 1991, 0.41088,2.33888,2.02479,1.82158,3.68763,5.20475
NO3, 11 Apr 1991, 0.40814,2.26302,1.99495,1.80214,3.68155,5.21184
NO3, 12 Apr 1991, 0.40874,2.19407,1.96801,1.78461,3.67633,5.21876
NO3, 13 Apr 1991, 0.41653,2.13447,1.94526,1.76951,3.67245,5.22618
NO3, 14 Apr 1991, 0.40503,2.09266,1.92185,1.75287,3.66632,5.23301
NO3, 15 Apr 1991, 0.40727,2.04643,1.90369,1.74003,3.66307,5.23941
NO3, 16 Apr 1991, 0.38711,1.98990,1.88643,1.72807,3.66009,5.24549
NO3, 17 Apr 1991, 0.37967,1.92764,1.86474,1.71278,3.65325,5.25116
NO3, 18 Apr 1991, 0.37495,1.86439,1.83817,1.69369,3.64161,5.25621
NO3, 19 Apr 1991, 0.38225,1.81553,1.82049,1.68111,3.63581,5.26165
NO3, 20 Apr 1991, 0.39275,1.76690,1.79787,1.66403,3.62404,5.26710
NO3, 21 Apr 1991, 0.40962,1.73144,1.78526,1.65461,3.61983,5.27265
NO3, 22 Apr 1991, 0.42471,1.69116,1.76421,1.63823,3.60706,5.27765
NO3, 23 Apr 1991, 0.44278,1.66004,1.75137,1.62854,3.60130,5.28231
NO3, 24 Apr 1991, 0.45885,1.62684,1.73297,1.61396,3.58914,5.28672
NO3, 25 Apr 1991, 0.43621,1.62549,1.71919,1.60043,3.57761,5.29066
NO3, 26 Apr 1991, 0.39722,1.61920,1.71565,1.58552,3.56389,5.29372
NO3, 27 Apr 1991, 0.33488,1.55538,1.72868,1.56944,3.54696,5.29679
NO3, 28 Apr 1991, 0.29476,1.46673,1.73342,1.56087,3.53824,5.29986
NO3, 29 Apr 1991, 0.28109,1.38959,1.72703,1.55595,3.53357,5.30277
NO3, 30 Apr 1991, 0.27353,1.32568,1.71988,1.55210,3.52991,5.30566
NO3,  1 May 1991, 0.26663,1.26275,1.69795,1.53819,3.51291,5.30890
NO3,  2 May 1991, 0.26773,1.22092,1.68818,1.53270,3.50630,5.31219
NO3,  3 May 1991, 0.27241,1.18564,1.67904,1.52773,3.50050,5.31514
NO3,  4 May 1991, 0.27923,1.15395,1.66800,1.52136,3.49303,5.31790
NO3,  5 May 1991, 0.28981,1.12775,1.65747,1.51495,3.48523,5.32077
NO3,  6 May 1991, 0.30341,1.10653,1.64799,1.50884,3.47756,5.32368
NO3,  7 May 1991, 0.31847,1.08899,1.63737,1.50130,3.46758,5.32677
NO3,  8 May 1991, 0.33678,1.07802,1.62649,1.49280,3.45566,5.33012
NO3,  9 May 1991, 0.35347,1.07029,1.61728,1.48547,3.44573,5.33302
NO3, 10 May 1991, 0.35956,1.06441,1.61340,1.48220,3.44154,5.33551
NO3, 11 May 1991, 0.35705,1.05464,1.60568,1.47620,3.43418,5.33763
NO3, 12 May 1991, 0.35555,1.04392,1.59854,1.47089,3.42811,5.33934
NO3, 13 May 1991, 0.35320,1.03031,1.58700,1.46222,3.41764,5.34084
NO3, 14 May 1991, 0.35737,1.02185,1.58151,1.45784,3.41258,5.34259
NO3, 15 May 1991, 0.36218,1.01256,1.57260,1.45047,3.40316,5.34448
NO3, 16 May 1991, 0.36708,1.00389,1.56379,1.44304,3.39351,5.34632
NO3, 17 May 1991, 0.37188,0.99697,1.55714,1.43720,3.38599,5.34817
NO3, 18 May 1991, 0.37530,0.99037,1.55072,1.43150,3.37865,5.34996
NO3, 19 May 1991, 0.37727,0.98444,1.54481,1.42612,3.37166,5.35176
NO3, 20 May 1991, 0.37765,0.98165,1.53792,1.41989,3.36357,5.35337
NO3, 21 May 1991, 0.31831,1.03134,1.53881,1.41364,3.35553,5.35460
NO3, 22 May 1991, 0.24137,0.95519,1.66209,1.41585,3.35333,5.35569
NO3, 23 May 1991, 0.14614,0.84515,1.71456,1.45359,3.35007,5.35680
NO3, 24 May 1991, 0.08552,0.72227,1.67670,1.54979,3.34981,5.35791
NO3, 25 May 1991, 0.06778,0.62124,1.59626,1.64540,3.34916,5.35916
NO3, 26 May 1991, 0.06377,0.55565,1.51535,1.72080,3.35008,5.36072
NO3, 27 May 1991, 0.07400,0.50812,1.44696,1.76685,3.35118,5.36226
NO3, 28 May 1991, 0.08324,0.48145,1.39367,1.77501,3.35027,5.36377
NO3, 29 May 1991, 0.09176,0.47398,1.35750,1.76903,3.35067,5.36521
NO3, 30 May 1991, 0.09973,0.46693,1.32871,1.75228,3.34954,5.36653
NO3, 31 May 1991, 0.10792,0.46116,1.30677,1.73854,3.34921,5.36758
NO3,  1 Jun 1991, 0.11677,0.45552,1.28546,1.72342,3.34805,5.36854
NO3,  2 Jun 1991, 0.12509,0.45018,1.26338,1.70570,3.34550,5.36952
NO3,  3 Jun 1991, 0.13275,0.44814,1.24878,1.69378,3.34476,5.37050
NO3,  4 Jun 1991, 0.14140,0.44698,1.23603,1.68274,3.34404,5.37146
NO3,  5 Jun 1991, 0.15032,0.44602,1.22309,1.67071,3.34263,5.37239
NO3,  6 Jun 1991, 0.15386,0.44964,1.21234,1.65941,3.34117,5.37321
NO3,  7 Jun 1991, 0.12276,0.42821,1.22610,1.67916,3.33983,5.37364
