Date       Tmax    Tmin    Rain    Evap    Radn    VP      RHmaxT  RHminT
 25/07/1980    12.4     6.9     0.4     0.6     6.8     8.7    60.5    87.5
 26/07/1980    12.4     3.6       0     1.8     5.9     8.7    60.5     100
 27/07/1980    15.3     4.7      23     5.2     8.3      10    57.6     100
 28/07/1980    10.4     8.7     4.6       2     5.6    10.7    84.9    95.2
 29/07/1980    10.5     5.6       0     2.8    10.9     8.7    68.6    95.7
 30/07/1980    10.7     4.3       0       2    12.9     7.6    59.1    91.5
 31/07/1980      11    -1.6     0.2     1.2    12.8     6.1    46.5     100
  1/08/1980    11.6    -1.7       0     2.6    11.9     5.7    41.8     100
  2/08/1980       9    -1.7     3.4       1     9.6     8.1    70.6     100
  3/08/1980    12.4    -0.6       0     1.2      14     7.1    49.3     100
  4/08/1980    11.8      -1       0     1.4      13     6.4    46.3     100
  5/08/1980    10.4      -3       0     1.2    11.9     5.7    45.2     100
  6/08/1980    13.8    -3.8     1.6     2.2    12.5     5.3    33.6     100
  7/08/1980    14.2    -1.1     1.2     2.4    11.2     7.6      47     100
  8/08/1980    12.8     2.2       0     2.4    14.7     6.1    41.3    85.3
  9/08/1980    14.5    -1.9       0       2    14.5     5.7    34.5     100
 10/08/1980    16.6      -2     0.2       4    14.7     4.5    23.8    85.3
 11/08/1980      17    -2.8       1     5.2    15.2     6.1    31.5     100
 12/08/1980      14    -0.6       0     2.6    15.5     8.1    50.7     100
 13/08/1980    14.1     5.3       0       2    14.9     8.1    50.4      91
 14/08/1980    13.6    -1.6     1.2     3.8    14.8     7.6    48.8     100
 15/08/1980    12.1     4.5     0.6       4    12.5     6.6    46.8    78.4
 16/08/1980    12.6    -2.8       0       1    16.2     5.7    39.1     100
 17/08/1980    13.8    -1.4       0     1.8    16.9     6.6    41.9     100
 18/08/1980    15.3    -0.9       0     3.8    14.4     7.4    42.6     100
 19/08/1980    17.3    -0.8     0.2     1.2    15.5     7.6    38.5     100
 20/08/1980    12.8     3.1       8     2.2     7.4     8.7    58.9     100
 21/08/1980      13       7       0     2.6    13.5     9.4    62.8    93.9
 22/08/1980    15.5     1.2       0     3.8    16.8     8.7    49.4     100
 23/08/1980    19.1    -0.3     0.2     1.6    16.8     7.6    34.4     100
 24/08/1980    14.1     5.2     2.4       5     7.7    10.7    66.5     100
 25/08/1980    11.8       5       0       3    16.1     6.1    44.1      70
 26/08/1980    11.8      -1       0     1.4    15.6     5.7    41.2     100
 27/08/1980    12.4    -3.6       0     3.6     9.5     5.7    39.6     100
 28/08/1980    14.8     0.5       0     4.6    14.7     6.6    39.2     100
 29/08/1980      17     0.6       0     4.2    16.8     8.1    41.8     100
 30/08/1980      19     5.2       2     6.6    18.5     8.7    39.6    98.4
 31/08/1980    12.2       8       4     5.2    11.3     8.7    61.3    81.2
  1/09/1980    13.3       8       0     4.4    16.6     6.1      40    56.9
  2/09/1980    13.2     5.6     0.2     3.4    17.6     6.6    43.5    72.6
  3/09/1980    14.1     5.3       0       5    19.4     6.6      41    74.1
  4/09/1980    17.5     0.9       0       4    16.1     8.1    40.5     100
  5/09/1980    19.6     2.1       0     3.2      20     8.7    38.2     100
  6/09/1980    17.5      -1       0     4.4    19.1     7.1    35.5     100
  7/09/1980    20.6       2       0     6.2    16.3     8.1    33.4     100
  8/09/1980      22      10     0.4     9.4    17.9     9.4    35.6    76.6
  9/09/1980    10.8     5.7     2.4     5.6      16     4.9    37.9    53.5
 10/09/1980    14.1     4.4       0       4    18.8     6.1    37.9      73
 11/09/1980    17.6     2.5     3.4     5.4      19     9.4    46.7     100
 12/09/1980    16.4     6.4     0.8     3.2    19.3     7.6    40.8    79.1
 13/09/1980    14.1     3.3       0       4    13.8     8.1    50.4     100
 14/09/1980    16.2     0.3     2.2     4.2    20.7     7.6    41.3     100
 15/09/1980    11.9     5.3     2.2     4.4      13     8.1    58.2      91
 16/09/1980    15.6     4.4       0       4    21.7     6.6    37.3    78.9
 17/09/1980    18.5     0.6    11.8     6.6    18.4     8.1    38.1     100
 18/09/1980    12.2       4       0     5.8    14.8     7.6    53.5    93.5
 19/09/1980    13.3     3.6       0       4    19.1     6.6    43.2    83.5
 20/09/1980    16.2     0.7       0       4    22.5     7.1    38.6     100
 21/09/1980    15.3       2       0       8    20.3     7.6    43.7     100
 22/09/1980    21.5       8       0       4    21.8     8.7    33.9    81.2
 23/09/1980    21.8     2.3       0     4.6    20.8     9.4      36     100
 24/09/1980    23.3     8.4       0     6.8    16.2    10.7    37.4    97.1
 25/09/1980    24.7     5.2       0     5.2    19.8     7.6    24.4      86
 26/09/1980    17.8     4.6       0     5.8    23.7     6.6    32.4    77.8
 27/09/1980    18.7     1.8       0     5.8    18.2     8.7    40.4     100
 28/09/1980    20.7       3       0     3.4      23     9.4    38.5     100
 29/09/1980    24.3       1       0       8    23.8      10    32.9     100
 30/09/1980      28     2.4       0     3.6    24.3     7.6    20.1     100
  1/10/1980    27.4     4.8       0       8    24.3     8.1    22.2    94.2
  2/10/1980    29.6     4.6     3.8     5.2    19.1      14    33.8     100
  3/10/1980    22.6    10.4       0     7.8    22.2    11.5      42    91.2
  4/10/1980    17.8       3       0       5    24.3     6.6    32.4    87.1
  5/10/1980    22.4       3       0       6      25     9.4    34.7     100
  6/10/1980      29     5.7       1     5.8    16.2    12.3    30.7     100
  7/10/1980    18.3    13.6       0     9.2    22.7      10    47.6    64.2
  8/10/1980    17.9     0.8       0       5    25.1     6.1    29.8    94.3
  9/10/1980    18.4     3.1       4     4.6    20.3     7.6    35.9    99.6
 10/10/1980    19.6     8.9       0     3.6      19    11.5    50.4     100
 11/10/1980    23.1     3.8       0     5.2    21.8      10    35.4     100
 12/10/1980    21.7    11.5     1.6    13.6    24.5    10.7    41.2    78.9
 13/10/1980    14.4     7.6     0.8     4.8    19.5     8.7    53.1    83.4
 14/10/1980    21.7     3.8       0     3.8    26.5     9.4    36.2     100
 15/10/1980    21.9     4.3       0     8.2    25.8    10.7    40.7     100
 16/10/1980    23.2     1.8       0     7.2    24.8     7.6    26.7     100
 17/10/1980    22.3     9.2       0       6    20.3     9.4    34.9    80.8
 18/10/1980    24.7    11.5    11.8       7      22    12.3    39.5    90.7
 19/10/1980    20.4    12.3     3.8     2.4    15.7      15    62.6     100
 20/10/1980    22.2     9.3     2.2     1.8    12.9      15    56.1     100
 21/10/1980    24.3      12       0       6    24.4      14    46.1    99.9
 22/10/1980    25.9    10.4       0     6.2    27.8    11.5    34.4    91.2
 23/10/1980    27.8     8.7    14.2     7.2     8.3    12.3    32.9     100
 24/10/1980    15.6    10.5       0       4    11.3      10    56.5    78.8
 25/10/1980    18.4     5.3       0       4    25.3     8.1    38.3      91
 26/10/1980    23.6     7.1       0     8.2    25.9    10.7    36.7     100
 27/10/1980    26.8     8.9     3.8    11.6    25.9    13.1    37.2     100
 28/10/1980    16.2     8.8       0     6.8    28.3     5.3    28.8    46.8
 29/10/1980    19.5     0.7       0     3.8    28.1     7.1    31.3     100
 30/10/1980    18.1       7       0    10.6    27.3     6.6    31.8    65.9
 31/10/1980    18.3    10.4       0     8.8    26.8     6.1      29    48.4
  1/11/1980    17.5     9.4     0.4     7.2    23.7     7.6      38    64.5
  2/11/1980    17.4     5.4     0.6     6.8    29.3     7.6    38.3    84.8
  3/11/1980    16.3     5.7       0       7    28.8     4.9    26.5    53.5
  4/11/1980    22.2     0.3       0     5.8    26.6     5.7    21.3    91.3
  5/11/1980    28.2     7.8       0    12.6    24.7     9.4    24.6    88.9
  6/11/1980    19.8    13.4       3     7.2    18.4    11.5    49.8    74.9
  7/11/1980    16.7      11       6     1.6      10    12.3    64.7    93.8
  8/11/1980    17.8      10    36.4     7.6    13.4    11.5    56.5    93.7
  9/11/1980    16.8     6.8     0.8     2.2    18.7     8.7    45.5    88.1
 10/11/1980      22     7.2       0     5.4    29.9      10    37.8    98.5
 11/11/1980    26.3     7.2       0     8.8    30.1    11.5    33.6     100
 12/11/1980    29.6       9       0       8    29.8    12.3    29.7     100
 13/11/1980    31.3    10.2       0     9.4    29.7    11.5    25.2    92.5
 14/11/1980    31.6    11.2       1     6.8    20.9    12.3    26.5    92.5
 15/11/1980    29.8    11.6       0     8.2    25.9    13.1    31.2      96
 16/11/1980      30    13.7       0     6.2    25.6      14      33    89.4
 17/11/1980    35.3    13.4     0.6    11.4      27    17.1    29.9     100
 18/11/1980      37      18     0.8      18    26.4    10.7      17    51.9
 19/11/1980    22.3    12.5       0     9.2    30.2     6.1    22.7    42.1
 20/11/1980    27.6     6.6       0      12    30.3      10    27.1     100
 21/11/1980      30     7.2       0       8    30.7     8.7    20.5    85.7
 22/11/1980      24      11       0       8    26.5    11.5    38.6    87.7
 23/11/1980    24.9       9       0     5.2    27.9     8.7    27.6    75.8
 24/11/1980    24.9     8.3       0       6    27.9      10    31.8    91.4
 25/11/1980    21.4       9       0     6.3    26.2     7.6    29.8    66.2
 26/11/1980    28.3     5.7       0     7.1      31     8.1    21.1    88.5
 27/11/1980    34.4    12.6       0     8.5    22.3    11.5    21.1    78.9
 28/11/1980    26.3    17.3     5.8     2.8    11.1    10.7    31.3    54.2
 29/11/1980    23.7    12.8       0     6.9    29.4    12.3      42    83.3
 30/11/1980    25.8     8.1       0       8    28.7    10.7    32.2    99.1
  1/12/1980    24.6    11.8     5.2     5.7    22.1     9.4    30.4      68
  2/12/1980    20.8    13.3    40.8       5     7.5      14      57    91.7
  3/12/1980    26.2    14.2     0.2     9.8    27.1    19.4      57     100
  4/12/1980    25.1     8.1       0     7.2    28.8    12.3    38.6     100
  5/12/1980    18.2    12.6       0     4.8      12    12.3    58.9    84.4
  6/12/1980    26.5      13     7.6     7.6    23.8      16    46.2     100
  7/12/1980    24.5    13.7     0.2     4.2      24      14    45.5    89.4
  8/12/1980    27.5    10.9       0     5.4      26    12.3    33.5    94.4
  9/12/1980    32.3    14.3       0       8      31      14    28.9    85.9
 10/12/1980    34.2    15.2       0     9.6    31.8      15    27.9    86.9
 11/12/1980    33.7    14.7       0      12    31.8      14    26.8    83.8
 12/12/1980    34.4    14.2       0    14.6    31.8    13.1    24.1    80.9
 13/12/1980    32.6    14.4       4     9.8    19.4    13.1    26.6    79.9
 14/12/1980    21.6    14.3       0    10.6    28.9    11.5    44.6    70.6
 15/12/1980    23.1    11.8       0     8.8    26.7     8.7    30.8    62.9
 16/12/1980    25.2      11     5.2     7.2    23.9      10    31.2    76.2
 17/12/1980    15.8     8.8       0       8    21.4     9.4    52.4      83
 18/12/1980    19.1     6.2       0       4    25.9     7.1    32.1    74.9
 19/12/1980    23.8     6.8       0     7.8    31.8     9.4    31.9    95.2
 20/12/1980    30.5     6.3       0      11      29    12.3    28.2     100
 21/12/1980    35.1     9.5       0       8    31.1      10    17.7    84.3
 22/12/1980    35.5      13       0    14.2    31.8     9.4    16.3    62.8
 23/12/1980    34.5    14.1       0      10    21.2    11.5      21    71.5
 24/12/1980    33.6    15.2       0       8    27.3      14    26.9    81.1
 25/12/1980    34.4    16.2       0    10.2    29.1      16    29.4    86.9
 26/12/1980    28.1    16.9       0     8.2    19.8      16    42.1    83.1
 27/12/1980    27.8    15.5       0     8.2    26.6    13.1    35.1    74.4
 28/12/1980    32.2    14.5     1.2     9.2    26.4      14    29.1    84.8
 29/12/1980      21    16.8     4.2     2.8     9.8      16    64.4    83.7
 30/12/1980    24.5    13.5       0    11.4    30.9     9.4    30.6    60.8
 31/12/1980      30       9       0     8.2    27.9    11.5    27.1     100
  1/01/1981    34.2      13       0    10.4    29.7      15    27.9     100
  2/01/1981    35.7    16.4       0    10.8    30.8    13.1    22.4    70.3
  3/01/1981    35.5    16.5     0.8    10.8    24.3      14    24.2    74.6
  4/01/1981    33.8    20.2       0    12.4    30.7    17.1    32.5    72.3
  5/01/1981    30.9    13.2       0     9.6    31.3    12.3    27.5    81.1
  6/01/1981    31.9    17.2    23.4     6.2    20.7    17.1    36.2    87.2
  7/01/1981    23.2    17.7       0     6.2    14.7    18.2      64    89.9
  8/01/1981    27.3    15.5       0     6.8    23.6      14    38.6    79.6
  9/01/1981      33    14.1       0     9.8    30.3      16    31.8    99.5
 10/01/1981    34.1    16.6     1.4     9.4      29      16    29.9    84.7
 11/01/1981    24.6    19.2       0     6.6      12    19.4    62.7    87.2
 12/01/1981    24.2    14.5       0     7.8    21.3    13.1    43.4    79.4
 13/01/1981    30.7    13.3       0       8      29    12.3    27.9    80.6
 14/01/1981      35    12.7       0    10.4    30.9      14    24.9    95.4
 15/01/1981    36.8    14.4       0    12.2    30.7    12.3    19.8      75
 16/01/1981    29.7    16.8       0    10.8      26      14    33.6    73.2
 17/01/1981    29.1    17.3       0       8      17      16    39.7    81.1
 18/01/1981    32.5    14.1       0      10    29.4      16    32.7    99.5
 19/01/1981    35.2    19.2       0      14    28.7      15    26.4    67.5
 20/01/1981    29.6    18.8       0     6.2    23.7      14    33.8    64.5
 21/01/1981    34.6    17.9     2.4       8    19.3    18.2    33.1    88.8
 22/01/1981    31.7    18.9       0      12    27.4    18.2    38.9    83.4
 23/01/1981    30.4    15.7       0     8.6    23.8      15    34.6    84.1
 24/01/1981      33    18.1       0     6.2    21.2    18.2    36.2    87.7
