Date	Block	T1Drain	T2Drain	T3Drain	T4Drain	T5Drain	T6Drain	T7Drain	T8Drain	T9Drain	T1CumDrain	T2CumDrain	T3CumDrain	T4CumDrain	T5CumDrain	T6CumDrain	T7CumDrain	T8CumDrain	T9CumDrain	T1NH4	T2NH4	T3NH4	T4NH4	T5NH4	T6NH4	T7NH4	T8NH4	T9NH4	T1CumNH4	T2CumNH4	T3CumNH4	T4CumNH4	T5CumNH4	T6CumNH4	T7CumNH4	T8CumNH4	T9CumNH4	T1NO3	T2NO3	T3NO3	T4NO3	T5NO3	T6NO3	T7NO3	T8NO3	T9NO3	T1CumNO3	T2CumNO3	T3CumNO3	T4CumNO3	T5CumNO3	T6CumNO3	T7CumNO3	T8CumNO3	T9CumNO3	T1MinN	T2MinN	T3MinN	T4MinN	T5MinN	T6MinN	T7MinN	T8MinN	T9MinN	T1CumMinN	T2CumMinN	T3CumMinN	T4CumMinN	T5CumMinN	T6CumMinN	T7CumMinN	T8CumMinN	T9CumMinN
4/10/2011	1	30.969	14.530	43.696	36.803	9.386	30.492	7.000	18.189	19.303	521.652	503.887	549.545	512.000	569.166	508.978	345.488	479.122	425.774	-0.031	0.007	0.067	-0.004	0.010	-0.039	-0.005	0.369	0.026	0.174	0.544	0.006	0.149	0.758	0.498	0.286	1.506	0.873	0.071	9.092	0.272	-0.016	13.982	-0.004	0.133	36.332	0.088	0.876	361.272	1.571	1.834	209.801	5.049	3.054	275.174	1.356	0.129	62.626	0.776	-0.055	149.073	-0.140	1.827	201.776	0.590	2.698	718.461	3.097	3.546	536.037	7.824	10.621	677.387	13.022
28/10/2011	1	47.408	36.803	29.909	43.166	32.136	18.825	29.962	28.265	10.818	569.060	540.689	579.454	555.166	601.302	527.803	375.449	507.387	436.592	-0.060	-0.046	-0.032	-0.006	-0.001	-0.040	0.050	0.061	0.014	0.114	0.498	-0.026	0.143	0.757	0.458	0.336	1.567	0.887	0.013	0.377	0.406	-0.066	35.659	0.107	-0.029	33.097	0.378	0.889	361.649	1.977	1.768	245.460	5.156	3.025	308.271	1.734	-0.099	0.900	1.251	-0.167	110.960	0.359	0.069	117.310	3.623	2.599	719.361	4.348	3.378	646.997	8.182	10.690	794.697	16.644
19/12/2011	1	69.044	76.787	7.000	74.347	53.507	20.788	37.598	47.302	23.280	638.105	617.476	586.454	629.514	654.809	548.591	413.047	554.689	459.872	0.029	-0.119	0.002	-0.147	0.311	-0.002	0.035	0.314	-0.014	0.144	0.379	-0.024	-0.004	1.067	0.456	0.371	1.881	0.873	0.006	0.111	0.152	0.212	37.997	0.671	0.110	9.888	0.501	0.894	361.760	2.129	1.980	283.457	5.827	3.135	318.158	2.235	0.051	-0.010	2.203	0.087	71.594	3.218	0.386	21.567	2.093	2.650	719.350	6.551	3.466	718.591	11.400	11.075	816.265	18.738
11/01/2012	1	80.552	77.688	65.438	75.991	71.696	68.249	54.196	78.961	60.613	718.656	695.164	651.892	705.505	726.505	616.840	467.243	633.650	520.485	0.019	-0.068	-0.131	-0.092	0.070	-0.169	0.246	0.049	-0.027	0.163	0.312	-0.155	-0.096	1.137	0.287	0.617	1.930	0.846	-0.002	0.171	3.468	0.322	0.100	7.856	24.411	5.393	2.630	0.893	361.931	5.597	2.302	283.557	13.683	27.546	323.551	4.865	0.021	0.133	5.099	0.303	0.237	11.263	45.495	6.892	4.294	2.672	719.483	11.651	3.769	718.828	22.663	56.571	823.157	23.032
19/04/2012	1	17.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	736.342	695.164	651.892	705.505	726.505	616.840	467.243	633.650	520.485	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.192	0.312	-0.155	-0.096	1.137	0.287	0.617	1.930	0.846	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.889	361.931	5.597	2.302	283.557	13.683	27.546	323.551	4.865	0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.816	719.483	11.651	3.769	718.828	22.663	56.571	823.157	23.032
30/05/2012	1	63.423	52.711	13.761	47.727	34.522	0.000	0.000	37.784	0.000	799.765	747.876	665.653	753.232	761.027	616.840	467.243	671.434	520.485	-0.095	0.000	0.020	-0.086	-0.062	0.000	0.000	0.000	0.000	0.097	0.312	-0.135	-0.182	1.075	0.287	0.617	1.930	0.846	-0.039	0.000	-0.013	0.096	0.218	0.000	0.000	0.000	0.000	0.850	361.931	5.584	2.398	283.775	13.683	27.546	323.551	4.865	-0.212	0.000	0.049	0.020	0.452	0.000	0.000	0.000	0.000	2.604	719.483	11.700	3.789	719.280	22.663	56.571	823.157	23.032
25/06/2012	1	76.283	73.738	69.548	70.185	72.385	44.200	46.666	69.548	21.928	876.048	821.613	735.202	823.416	833.412	661.040	513.909	740.982	542.413	0.233	0.189	0.136	-0.067	0.088	0.021	-0.065	0.059	0.043	0.330	0.501	0.001	-0.249	1.164	0.308	0.552	1.989	0.889	0.061	-0.073	-0.051	0.053	0.753	1.079	0.104	0.581	5.255	0.911	361.858	5.533	2.451	284.528	14.762	27.650	324.132	10.120	0.386	0.158	0.121	-0.019	1.162	2.490	0.083	0.921	24.157	2.990	719.641	11.821	3.770	720.442	25.153	56.654	824.077	47.189
11/07/2012	1	31.102	27.947	30.572	23.174	29.590	25.613	23.174	28.609	19.997	907.150	849.560	765.773	846.590	863.003	686.653	537.083	769.591	562.410	-0.090	-0.024	-0.080	-0.035	0.044	-0.013	0.002	-0.045	-0.028	0.240	0.477	-0.078	-0.284	1.208	0.295	0.554	1.944	0.860	-0.017	-0.004	-0.009	-0.044	0.277	0.450	-0.017	0.224	5.740	0.894	361.854	5.524	2.407	284.805	15.212	27.633	324.357	15.860	-0.344	-0.101	-0.289	-0.343	1.087	1.707	-0.063	0.626	28.562	2.646	719.540	11.532	3.427	721.529	26.861	56.591	824.704	75.751
23/07/2012	1	86.385	82.408	86.465	85.616	85.722	85.563	75.912	85.616	84.768	993.535	931.968	852.238	932.206	948.725	772.216	612.995	855.208	647.178	0.062	0.047	0.007	0.016	0.093	-0.003	0.034	0.058	0.116	0.302	0.524	-0.071	-0.268	1.301	0.292	0.589	2.002	0.976	0.070	-0.056	0.004	-0.037	0.697	0.658	0.043	0.827	11.606	0.963	361.798	5.528	2.370	285.502	15.870	27.676	325.184	27.466	0.152	-0.011	0.013	-0.024	0.922	0.765	0.102	1.034	13.829	2.798	719.529	11.545	3.403	722.451	27.626	56.694	825.738	89.580
3/08/2012	1	70.476	71.086	72.173	72.836	73.366	70.105	71.775	72.412	68.488	1064.011	1003.054	924.411	1005.043	1022.092	842.321	684.771	927.619	715.666	-0.005	-0.069	-0.089	-0.087	-0.129	-0.051	-0.113	0.008	-0.116	0.297	0.455	-0.161	-0.355	1.173	0.241	0.476	2.010	0.860	0.056	0.005	-0.069	-0.005	0.471	0.142	0.009	0.638	3.368	1.020	361.803	5.459	2.366	285.972	16.012	27.685	325.822	30.834	0.073	-0.089	-0.219	-0.126	0.466	0.130	-0.145	0.892	4.748	2.871	719.440	11.326	3.277	722.917	27.756	56.549	826.629	94.328
16/08/2012	1	74.825	77.529	76.893	74.347	76.097	74.666	72.385	76.310	73.499	1138.836	1080.583	1001.304	1079.390	1098.189	916.987	757.156	1003.929	789.165	-0.033	-0.061	-0.052	-0.115	-0.038	-0.028	0.099	-0.149	-0.054	0.264	0.394	-0.212	-0.470	1.135	0.213	0.575	1.861	0.806	-0.146	-0.072	-0.080	-0.016	0.093	-0.066	-0.057	0.074	0.551	0.874	361.731	5.379	2.350	286.065	15.946	27.627	325.895	31.385	-0.238	-0.172	-0.172	-0.177	0.073	-0.126	0.058	-0.099	0.676	2.633	719.267	11.154	3.101	722.990	27.630	56.607	826.530	95.004
27/08/2012	1	22.909	23.598	23.969	22.432	22.219	22.538	21.689	23.333	21.530	1161.745	1104.181	1025.273	1101.822	1120.408	939.525	778.845	1027.262	810.695	-0.005	-0.021	0.012	-0.015	-0.009	0.020	0.027	-0.021	-0.013	0.259	0.372	-0.200	-0.485	1.126	0.233	0.602	1.840	0.793	-0.018	0.031	-0.009	-0.006	-0.023	-0.014	0.001	-0.021	0.005	0.856	361.761	5.369	2.344	286.042	15.932	27.628	325.874	31.390	-0.102	0.039	0.012	-0.092	-0.145	0.027	0.130	-0.180	-0.038	2.531	719.307	11.166	3.009	722.845	27.657	56.737	826.351	94.966
28/03/2011	2	21.106	25.083	33.250	12.992	23.757	5.144	0.000	0.000	0.000	21.106	25.083	33.250	12.992	23.757	5.144	0.000	0.000	0.000	0.561	0.058	0.023	0.496	0.530	0.398	0.000	0.000	0.000	0.561	0.058	0.023	0.496	0.530	0.398	0.000	0.000	0.000	0.075	0.040	0.019	0.158	0.150	0.019	0.000	0.000	0.000	0.075	0.040	0.019	0.158	0.150	0.019	0.000	0.000	0.000	3.011	0.393	0.127	5.037	2.864	8.097	0.000	0.000	0.000	3.011	0.393	0.127	5.037	2.864	8.097	0.000	0.000	0.000
29/04/2011	2	73.605	87.605	73.764	77.635	75.302	68.832	63.423	50.431	52.552	94.711	112.688	107.014	90.628	99.059	73.976	63.423	50.431	52.552	0.004	0.106	-0.090	0.089	0.061	0.068	0.037	0.116	0.469	0.565	0.164	-0.068	0.586	0.592	0.466	0.037	0.116	0.469	0.096	0.033	0.092	0.344	0.368	0.081	0.221	0.503	0.833	0.170	0.073	0.112	0.503	0.518	0.100	0.221	0.503	0.833	0.136	0.158	0.002	0.559	0.570	0.217	0.407	1.227	2.479	3.147	0.550	0.129	5.596	3.434	8.314	0.407	1.227	2.479
23/05/2011	2	33.409	41.098	35.424	26.727	39.030	15.750	22.113	25.984	20.628	128.119	153.786	142.437	117.354	138.089	89.726	85.537	76.416	73.181	0.033	-0.010	0.020	0.190	-0.029	-0.003	0.032	-0.008	-0.025	0.598	0.154	-0.048	0.775	0.562	0.463	0.069	0.108	0.445	0.103	0.010	-0.003	0.014	0.188	0.003	0.045	0.177	0.074	0.273	0.083	0.109	0.517	0.707	0.102	0.266	0.680	0.907	0.405	0.000	0.049	0.764	0.408	-0.005	0.349	0.652	0.239	3.552	0.550	0.178	6.360	3.842	8.309	0.756	1.879	2.718
30/05/2011	2	73.605	73.287	76.734	73.764	85.378	65.757	70.423	75.355	70.529	201.724	227.073	219.171	191.119	223.467	155.483	155.960	151.771	143.710	-0.071	-0.124	-0.166	-0.122	0.072	0.001	-0.102	0.070	-0.021	0.527	0.030	-0.214	0.654	0.634	0.464	-0.033	0.178	0.423	-0.074	2.054	0.004	0.037	0.479	-0.021	0.109	1.273	0.257	0.199	2.136	0.113	0.554	1.186	0.081	0.375	1.953	1.164	-0.198	2.633	-0.212	-0.115	0.646	-0.030	0.009	1.783	0.334	3.355	3.183	-0.034	6.245	4.488	8.278	0.766	3.662	3.052
13/06/2011	2	74.453	69.946	75.779	73.446	72.969	63.158	69.257	70.423	69.893	276.178	297.019	294.950	264.564	296.435	218.641	225.217	222.194	213.603	-0.037	-0.030	0.054	-0.039	-0.072	0.114	-0.078	-0.136	-0.046	0.490	-0.001	-0.160	0.615	0.563	0.577	-0.111	0.042	0.377	0.048	6.404	-0.048	-0.030	0.933	0.072	-0.022	6.342	0.169	0.247	8.540	0.065	0.524	2.119	0.154	0.353	8.296	1.334	0.016	9.112	0.007	-0.094	1.180	0.295	-0.144	8.813	0.177	3.370	12.295	-0.027	6.151	5.668	8.573	0.621	12.474	3.228
24/06/2011	2	60.613	55.787	64.537	60.189	58.386	54.726	57.060	57.855	57.060	336.791	352.806	359.487	324.753	354.821	273.367	282.276	280.049	270.663	-0.012	0.050	-0.066	0.061	-0.079	0.103	0.035	0.015	0.004	0.478	0.049	-0.226	0.675	0.484	0.681	-0.076	0.058	0.381	0.069	10.192	-0.052	0.002	2.818	0.093	0.181	19.779	0.090	0.316	18.732	0.012	0.526	4.936	0.247	0.535	28.075	1.424	0.095	18.358	-0.182	0.104	4.691	0.358	0.380	34.214	0.165	3.465	30.653	-0.209	6.255	10.359	8.931	1.001	46.688	3.393
8/07/2011	2	61.885	55.734	62.098	61.726	58.226	55.893	57.431	55.946	56.742	398.676	408.540	421.585	386.479	413.047	329.260	339.707	335.995	327.404	0.007	0.112	0.060	0.037	0.034	-0.014	0.082	0.232	-0.005	0.485	0.161	-0.166	0.712	0.518	0.666	0.006	0.290	0.376	-0.016	26.577	-0.096	-0.090	17.852	-0.012	0.385	79.324	0.008	0.301	45.309	-0.084	0.435	22.789	0.235	0.920	107.399	1.432	-0.014	47.885	-0.059	-0.087	30.718	-0.047	0.813	142.202	0.005	3.451	78.538	-0.267	6.168	41.077	8.885	1.814	188.890	3.398
14/07/2011	2	76.203	72.969	75.991	77.847	75.726	72.704	73.393	74.507	69.734	474.880	481.508	497.576	464.327	488.773	401.964	413.100	410.502	397.138	-0.018	0.070	0.053	-0.050	0.265	-0.097	0.050	0.366	-0.067	0.467	0.230	-0.114	0.662	0.783	0.570	0.056	0.656	0.309	0.005	95.441	-0.058	-0.009	91.445	-0.022	1.681	157.354	0.137	0.305	140.750	-0.142	0.426	114.234	0.212	2.601	264.753	1.569	-0.018	130.893	-0.007	-0.076	121.108	-0.164	2.358	211.686	0.101	3.433	209.431	-0.274	6.092	162.185	8.721	4.172	400.576	3.499
8/08/2011	2	39.666	33.356	36.431	35.954	35.424	31.500	32.136	31.393	30.863	514.546	514.864	534.008	500.281	524.197	433.464	445.236	441.895	428.002	-0.061	-0.001	-0.011	-0.035	0.033	-0.009	0.034	0.143	-0.018	0.406	0.229	-0.125	0.627	0.816	0.560	0.090	0.799	0.291	0.017	63.684	-0.024	0.110	71.422	0.013	0.808	70.688	0.174	0.322	204.433	-0.166	0.536	185.656	0.226	3.409	335.441	1.743	-0.111	190.920	-0.097	0.209	201.717	0.013	2.621	225.625	0.503	3.322	400.350	-0.372	6.300	363.902	8.734	6.794	626.201	4.002
4/10/2011	2	57.060	33.037	54.037	46.984	23.545	33.090	32.560	13.576	43.166	571.606	547.901	588.045	547.265	547.742	466.554	477.796	455.471	471.168	-0.055	0.000	0.043	-0.039	-0.031	0.013	0.036	0.041	0.006	0.351	0.229	-0.081	0.587	0.786	0.574	0.126	0.840	0.297	0.042	52.497	0.191	0.372	41.888	0.892	0.093	24.659	0.005	0.364	256.930	0.025	0.909	227.544	1.118	3.502	360.100	1.748	-0.023	158.901	0.433	0.708	177.775	2.736	0.398	181.947	0.025	3.299	559.251	0.061	7.009	541.677	11.470	7.192	808.147	4.027
28/10/2011	2	51.227	41.522	30.704	45.924	33.090	23.545	39.984	29.484	24.606	622.832	589.423	618.749	593.189	580.833	490.099	517.781	484.955	495.773	-0.037	-0.044	-0.007	0.015	0.003	0.017	0.008	0.001	0.032	0.314	0.184	-0.089	0.603	0.788	0.590	0.134	0.841	0.329	-0.020	49.141	-0.003	0.173	45.300	-0.005	0.027	26.087	0.092	0.344	306.071	0.021	1.082	272.844	1.113	3.529	386.187	1.840	-0.111	118.241	-0.034	0.411	136.907	0.049	0.087	88.480	0.506	3.188	677.493	0.027	7.419	678.583	11.519	7.279	896.627	4.534
19/12/2011	2	86.862	66.340	26.939	81.400	36.537	29.484	55.416	37.121	31.393	709.694	655.763	645.688	674.589	617.370	519.584	573.196	522.076	527.167	-0.001	0.010	-0.013	0.084	0.064	0.008	0.004	0.191	-0.007	0.313	0.194	-0.102	0.686	0.852	0.598	0.138	1.032	0.322	0.137	8.726	0.112	0.105	23.387	0.242	0.055	8.263	0.274	0.481	314.797	0.133	1.187	296.231	1.355	3.585	394.450	2.114	0.156	13.168	0.367	0.232	64.184	0.848	0.107	22.773	0.852	3.345	690.661	0.394	7.651	742.767	12.366	7.386	919.401	5.386
11/01/2012	2	82.567	83.097	80.764	85.378	71.749	76.469	73.658	78.908	80.128	792.262	738.861	726.452	759.967	689.119	596.052	646.854	600.984	607.294	-0.060	-0.057	-0.108	0.005	-0.065	-0.128	-0.024	0.016	0.027	0.253	0.137	-0.210	0.691	0.788	0.470	0.114	1.048	0.349	0.286	0.901	2.372	0.338	18.676	2.607	0.042	8.039	4.652	0.767	315.698	2.505	1.525	314.908	3.962	3.626	402.489	6.766	0.274	1.016	2.803	0.401	25.940	3.242	0.025	10.208	5.839	3.619	691.677	3.197	8.052	768.707	15.608	7.410	929.608	11.225
19/04/2012	2	33.170	25.852	0.000	0.000	0.000	0.000	0.000	0.000	0.000	825.431	764.713	726.452	759.967	689.119	596.052	646.854	600.984	607.294	-0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.174	0.137	-0.210	0.691	0.788	0.470	0.114	1.048	0.349	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.753	315.698	2.505	1.525	314.908	3.962	3.626	402.489	6.766	-0.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.336	691.677	3.197	8.052	768.707	15.608	7.410	929.608	11.225
30/05/2012	2	68.249	64.139	48.814	53.136	38.606	35.874	32.534	30.439	0.000	893.681	828.852	775.266	813.102	727.725	631.927	679.388	631.423	607.294	-0.084	-0.109	-0.002	-0.035	-0.047	0.000	-0.064	-0.051	0.000	0.090	0.028	-0.212	0.656	0.741	0.470	0.050	0.996	0.349	-0.001	0.042	0.010	-0.040	0.048	0.000	0.015	0.197	0.000	0.752	315.740	2.515	1.485	314.956	3.962	3.641	402.686	6.766	-0.125	-0.104	0.015	-0.142	0.005	0.000	-0.150	0.479	0.000	3.211	691.573	3.212	7.911	768.712	15.608	7.260	930.087	11.225
25/06/2012	2	79.279	77.768	72.916	74.586	71.510	59.632	67.878	67.401	58.518	972.960	906.620	848.181	887.688	799.235	691.558	747.266	698.823	665.813	0.035	0.032	0.027	0.176	0.027	0.007	0.252	0.175	0.030	0.125	0.061	-0.185	0.832	0.768	0.477	0.302	1.171	0.379	0.015	0.010	-0.034	-0.054	-0.005	0.019	0.290	0.331	47.888	0.767	315.750	2.481	1.430	314.951	3.981	3.931	403.017	54.654	0.063	0.055	-0.008	0.163	0.031	0.044	0.797	0.751	81.885	3.275	691.627	3.204	8.074	768.743	15.652	8.057	930.839	93.110
11/07/2012	2	34.522	32.799	32.852	31.913	30.206	27.761	26.276	26.966	25.242	1007.482	939.419	881.033	919.601	829.441	719.319	773.542	725.789	691.055	-0.063	-0.001	0.082	0.003	-0.022	-0.060	-0.064	0.058	0.005	0.062	0.060	-0.103	0.835	0.746	0.417	0.237	1.229	0.384	-0.058	-0.001	-0.015	-0.020	0.002	0.030	0.005	-0.003	20.621	0.709	315.749	2.466	1.411	314.953	4.011	3.936	403.014	75.274	-0.351	-0.007	0.202	-0.052	-0.069	-0.109	-0.226	0.201	81.710	2.924	691.620	3.406	8.022	768.674	15.543	7.831	931.039	174.820
23/07/2012	2	86.995	85.669	85.802	87.340	85.192	82.806	85.643	86.730	85.086	1094.477	1025.088	966.835	1006.941	914.633	802.125	859.185	812.519	776.141	-0.080	-0.055	-0.079	-0.085	0.081	-0.130	0.029	-0.155	-0.025	-0.018	0.004	-0.182	0.749	0.827	0.287	0.267	1.074	0.359	-0.005	0.061	-0.121	-0.147	0.194	0.258	-0.055	0.466	43.524	0.704	315.810	2.345	1.264	315.147	4.268	3.881	403.479	118.798	-0.098	0.007	-0.233	-0.266	0.323	0.154	-0.029	0.359	51.124	2.826	691.627	3.173	7.756	768.997	15.698	7.802	931.398	225.944
3/08/2012	2	72.412	72.836	74.003	71.086	72.518	68.169	70.821	70.344	67.586	1166.889	1097.924	1040.838	1078.027	987.150	870.294	930.006	882.862	843.727	0.108	0.056	-0.089	0.013	-0.066	-0.048	0.029	-0.098	0.007	0.090	0.060	-0.271	0.763	0.762	0.239	0.295	0.977	0.366	0.008	0.002	0.010	-0.045	0.072	0.294	-0.016	0.064	18.415	0.712	315.812	2.355	1.219	315.218	4.562	3.865	403.544	137.213	0.160	0.080	-0.106	-0.045	0.008	0.361	0.018	-0.048	27.257	2.986	691.706	3.067	7.711	769.005	16.059	7.820	931.350	253.201
