Date	Block	T1N2OF0U0	T2N2OF0UA	T3N2OF0US	T4N2OF2U0	T5N2OF2UA	T6N2OF2US	T7N2OF4U0	T8N2OF4UA	T9N2OF4US	T1CumN2OF0U0	T2CumN2OF0UA	T3CumN2OF0US	T4CumN2OF2U0	T5CumN2OF2UA	T6CumN2OF2US	T7CumN2OF4U0	T8CumN2OF4UA	T9CumN2OF4US
27/03/2011	1	0.003656191	0.005798147	0.014976508	0.005196507	0.00431734	0.004482874	0.007446433	0.013497301	0.00372468	0.053307211	0.100481057	0.130748169	0.088867656	0.111523009	0.102122095	0.176766371	0.50864592	0.083851572
28/03/2011	1	0.003849195	0.006029318	0.016075255	0.005507636	0.004431466	0.004659354	0.00763279	0.01394027	0.003907766	0.057156407	0.106510375	0.146823424	0.094375292	0.115954475	0.106781449	0.184399161	0.522586189	0.087759338
29/03/2011	1	0.003007423	0.004480182	0.001620414	0.007936444	0.006372197	0.010680191	0.015063087	0.02036478	0.005008381	0.06016383	0.110990558	0.148443838	0.102311736	0.122326672	0.11746164	0.199462248	0.542950969	0.092767718
30/03/2011	1	0.002879897	0.004109263	0.007128937	0.006936115	0.004792535	0.008528538	0.012010982	0.016386627	0.00404934	0.063043727	0.115099821	0.155572775	0.109247851	0.127119207	0.125990178	0.21147323	0.559337596	0.096817059
31/03/2011	1	0.002752371	0.003738343	0.012637459	0.005935787	0.003212874	0.006376886	0.008958877	0.012408473	0.0030903	0.065796098	0.118838164	0.168210234	0.115183638	0.13033208	0.132367064	0.220432107	0.571746069	0.099907359
1/04/2011	1	0.002962054	0.003769075	0.010092211	0.006016276	0.003364409	0.007118318	0.006130652	0.014252239	0.002955786	0.068758152	0.122607238	0.178302445	0.121199914	0.133696489	0.139485382	0.226562759	0.585998308	0.102863144
2/04/2011	1	0.003171738	0.003799806	0.007546963	0.006096766	0.003515944	0.007859751	0.003302427	0.016096004	0.002821271	0.07192989	0.126407044	0.185849408	0.12729668	0.137212433	0.147345133	0.229865185	0.602094312	0.105684416
3/04/2011	1	0.003381421	0.003830537	0.005001716	0.006177256	0.003667479	0.008601183	0.000474202	0.017939769	0.002686757	0.075311311	0.130237581	0.190851124	0.133473936	0.140879913	0.155946317	0.230339387	0.620034081	0.108371173
4/04/2011	1	0.003591104	0.003861268	0.002456468	0.006257745	0.003819015	0.009342616	-0.002354023	0.019783535	0.002552243	0.078902415	0.134098849	0.193307592	0.139731681	0.144698927	0.165288933	0.227985363	0.639817616	0.110923415
5/04/2011	1	0.003800787	0.003891999	-8.87799E-05	0.006338235	0.00397055	0.010084048	-0.005182249	0.0216273	0.002417728	0.082703202	0.137990848	0.193218812	0.146069916	0.148669477	0.175372981	0.222803115	0.661444916	0.113341144
6/04/2011	1	0.002873908	0.002852531	-2.35664E-05	0.005218578	0.003448924	0.007631633	-0.001491706	0.016394338	0.002600401	0.08557711	0.140843378	0.193195245	0.151288494	0.152118401	0.183004614	0.221311409	0.677839254	0.115941544
7/04/2011	1	0.001947028	0.001813063	4.16472E-05	0.004098922	0.002927297	0.005179217	0.002198836	0.011161376	0.002783073	0.087524137	0.142656441	0.193236893	0.155387415	0.155045699	0.18818383	0.223510245	0.68900063	0.118724618
8/04/2011	1	0.001020148	0.000773594	0.000106861	0.002979265	0.002405671	0.002726801	0.005889378	0.005928414	0.002965746	0.088544285	0.143430035	0.193343753	0.15836668	0.15745137	0.190910631	0.229399623	0.694929045	0.121690364
9/04/2011	1	0.001125966	0.001163741	0.031310689	0.002922938	0.002495405	0.002642134	0.005734531	0.005955889	0.002814076	0.089670251	0.144593777	0.224654443	0.161289619	0.159946775	0.193552765	0.235134154	0.700884934	0.12450444
10/04/2011	1	0.001231784	0.001553888	0.062514518	0.002866612	0.002585139	0.002557467	0.005579683	0.005983364	0.002662407	0.090902035	0.146147665	0.287168961	0.164156231	0.162531914	0.196110232	0.240713837	0.706868298	0.127166847
11/04/2011	1	0.001337602	0.001944035	0.093718347	0.002810286	0.002674873	0.002472801	0.005424836	0.006010839	0.002510737	0.092239637	0.1480917	0.380887308	0.166966516	0.165206786	0.198583032	0.246138673	0.712879136	0.129677584
12/04/2011	1	0.00144342	0.002334182	0.124922176	0.002753959	0.002764607	0.002388134	0.005269988	0.006038313	0.002359067	0.093683057	0.150425882	0.505809484	0.169720476	0.167971393	0.200971166	0.251408661	0.71891745	0.132036651
13/04/2011	1	0.001549238	0.002724329	0.156126005	0.002697633	0.00285434	0.002303467	0.005115141	0.006065788	0.002207398	0.095232294	0.153150211	0.661935488	0.172418108	0.170825733	0.203274633	0.256523802	0.724983237	0.134244049
14/04/2011	1	0.001655056	0.003114476	0.187329833	0.002641306	0.002944074	0.0022188	0.004960293	0.006093263	0.002055728	0.09688735	0.156264687	0.849265321	0.175059415	0.173769807	0.205493434	0.261484095	0.7310765	0.136299777
15/04/2011	1	0.001700055	0.002713609	0.164199544	0.004314494	0.002707404	0.002131089	0.004585073	0.005708599	0.001855665	0.098587405	0.158978296	1.013464865	0.179373908	0.176477212	0.207624523	0.266069168	0.736785099	0.138155442
16/04/2011	1	0.001745055	0.002312742	0.141069254	0.005987681	0.002470734	0.002043378	0.004209853	0.005323935	0.001655602	0.10033246	0.161291038	1.154534119	0.185361589	0.178947946	0.209667901	0.27027902	0.742109035	0.139811044
17/04/2011	1	0.001790055	0.001911875	0.117938964	0.007660868	0.002234064	0.001955667	0.003834633	0.004939272	0.001455539	0.102122515	0.163202913	1.272473084	0.193022457	0.18118201	0.211623568	0.274113653	0.747048306	0.141266583
18/04/2011	1	0.001835054	0.001511008	0.094808675	0.009334055	0.001997394	0.001867956	0.003459412	0.004554608	0.001255477	0.103957569	0.164713921	1.367281758	0.202356512	0.183179404	0.213491524	0.277573066	0.751602914	0.14252206
19/04/2011	1	0.001880054	0.001110141	0.071678385	0.011007242	0.001760724	0.001780245	0.003084192	0.004169944	0.001055414	0.105837623	0.165824062	1.438960144	0.213363754	0.184940128	0.215271769	0.280657258	0.755772859	0.143577474
20/04/2011	1	0.001925054	0.000709274	0.048548096	0.012680429	0.001524054	0.001692534	0.002708972	0.003785281	0.000855351	0.107762676	0.166533337	1.487508239	0.226044184	0.186464183	0.216964303	0.28336623	0.75955814	0.144432824
21/04/2011	1	0.001970053	0.000308407	0.025417806	0.014353617	0.001287384	0.001604823	0.002333752	0.003400617	0.000655288	0.10973273	0.166841744	1.512926045	0.2403978	0.187751567	0.218569126	0.285699982	0.762958757	0.145088112
22/04/2011	1	0.001814682	0.000339008	0.022057967	0.012395302	0.001191052	0.001496107	0.002441739	0.002894305	0.000592011	0.111547411	0.167180752	1.534984012	0.252793102	0.188942619	0.220065233	0.28814172	0.765853062	0.145680123
23/04/2011	1	0.00165931	0.000369608	0.018698127	0.010436987	0.001094719	0.001387392	0.002549726	0.002387994	0.000528734	0.113206722	0.16755036	1.553682139	0.26323009	0.190037338	0.221452624	0.290691446	0.768241056	0.146208857
24/04/2011	1	0.001503939	0.000400209	0.015338288	0.008478673	0.000998386	0.001278676	0.002657713	0.001881682	0.000465457	0.114710661	0.167950569	1.569020427	0.271708762	0.191035724	0.222731301	0.293349159	0.770122738	0.146674314
25/04/2011	1	0.001348568	0.000430809	0.011978448	0.006520358	0.000902054	0.001169961	0.0027657	0.00137537	0.00040218	0.116059228	0.168381378	1.580998875	0.278229121	0.191937778	0.223901261	0.296114858	0.771498109	0.147076494
26/04/2011	1	0.001193196	0.000461409	0.008618609	0.004562044	0.000805721	0.001061245	0.002873686	0.000869059	0.000338903	0.117252424	0.168842787	1.589617484	0.282791164	0.192743499	0.224962507	0.298988545	0.772367167	0.147415397
27/04/2011	1	0.001037825	0.00049201	0.00525877	0.002603729	0.000709389	0.00095253	0.002981673	0.000362747	0.000275626	0.118290249	0.169334797	1.594876254	0.285394894	0.193452888	0.225915037	0.301970218	0.772729914	0.147691022
28/04/2011	1	0.000882453	0.00052261	0.00189893	0.000645415	0.000613056	0.000843814	0.00308966	-0.000143565	0.000212349	0.119172702	0.169857407	1.596775184	0.286040308	0.194065944	0.226758851	0.305059879	0.772586349	0.147903371
29/04/2011	1	0.001060877	0.006165157	0.00191725	0.00144722	0.012447598	0.002165052	0.004915102	0.003939181	0.001056247	0.120233579	0.176022563	1.598692434	0.287487528	0.206513542	0.228923903	0.30997498	0.77652553	0.148959618
30/04/2011	1	0.001239301	0.011807703	0.001935569	0.002249025	0.02428214	0.003486289	0.006740543	0.008021927	0.001900144	0.12147288	0.187830266	1.600628003	0.289736553	0.230795681	0.232410191	0.316715523	0.784547458	0.150859762
1/05/2011	1	0.001417725	0.01745025	0.001953889	0.00305083	0.036116681	0.004807526	0.008565985	0.012104674	0.002744042	0.122890605	0.205280516	1.602581891	0.292787383	0.266912363	0.237217718	0.325281508	0.796652131	0.153603804
2/05/2011	1	0.001596149	0.023092796	0.001972208	0.003852635	0.047951223	0.006128763	0.010391426	0.01618742	0.00358794	0.124486754	0.228373312	1.6045541	0.296640018	0.314863586	0.243346481	0.335672934	0.812839551	0.157191745
3/05/2011	1	0.001774573	0.028735343	0.001990528	0.00465444	0.059785765	0.007450001	0.012216867	0.020270166	0.004431838	0.126261327	0.257108655	1.606544627	0.301294458	0.374649351	0.250796482	0.347889801	0.833109717	0.161623583
4/05/2011	1	0.001952997	0.034377889	0.002008847	0.005456245	0.071620307	0.008771238	0.014042309	0.024352912	0.005275736	0.128214324	0.291486544	1.608553474	0.306750704	0.446269657	0.25956772	0.36193211	0.857462628	0.166899319
5/05/2011	1	0.002131421	0.040020436	0.002027167	0.006258051	0.083454848	0.010092475	0.01586775	0.028435658	0.006119634	0.130345744	0.331506979	1.610580641	0.313008754	0.529724506	0.269660195	0.37779986	0.885898286	0.173018953
6/05/2011	1	0.002180195	0.043991833	0.002028887	0.005609029	0.080867055	0.008768104	0.014266225	0.033830791	0.005676355	0.132525939	0.375498812	1.612609528	0.318617784	0.610591561	0.278428298	0.392066085	0.919729077	0.178695309
7/05/2011	1	0.002228969	0.047963229	0.002030608	0.004960008	0.078279261	0.007443732	0.0126647	0.039225923	0.005233076	0.134754908	0.423462041	1.614640137	0.323577792	0.688870822	0.28587203	0.404730785	0.958955	0.183928385
8/05/2011	1	0.002277743	0.051934626	0.002032329	0.004310987	0.075691467	0.006119361	0.011063175	0.044621056	0.004789798	0.137032651	0.475396668	1.616672466	0.327888778	0.764562289	0.291991391	0.415793959	1.003576056	0.188718183
9/05/2011	1	0.002326517	0.055906023	0.00203405	0.003661966	0.073103674	0.004794989	0.009461649	0.050016188	0.004346519	0.139359168	0.531302691	1.618706516	0.331550744	0.837665963	0.29678638	0.425255609	1.053592244	0.193064701
10/05/2011	1	0.002375291	0.05987742	0.002035771	0.003012944	0.07051588	0.003470618	0.007860124	0.055411321	0.00390324	0.14173446	0.591180112	1.620742288	0.334563688	0.908181842	0.300256998	0.433115733	1.109003565	0.196967941
11/05/2011	1	0.002873686	0.121240124	0.0028241	0.003871835	0.204052834	0.004436978	0.012736574	0.118357897	0.003784074	0.144608146	0.712420236	1.623566388	0.338435523	1.112234677	0.304693976	0.445852307	1.227361462	0.200752015
12/05/2011	1	0.003372081	0.182602828	0.003612429	0.004730725	0.337589789	0.005403338	0.017613023	0.181304474	0.003664907	0.147980228	0.895023064	1.627178817	0.343166248	1.449824466	0.310097314	0.46346533	1.408665936	0.204416922
13/05/2011	1	0.002926462	0.165735759	0.003197683	0.003963651	0.302620819	0.00467712	0.015281417	0.169025447	0.00289225	0.15090669	1.060758824	1.6303765	0.347129898	1.752445285	0.314774434	0.478746748	1.577691383	0.207309172
14/05/2011	1	0.002480843	0.14886869	0.002782937	0.003196577	0.26765185	0.003950902	0.012949811	0.15674642	0.002119593	0.153387533	1.209627514	1.633159438	0.350326475	2.020097135	0.318725336	0.491696559	1.734437803	0.209428765
15/05/2011	1	0.002035224	0.132001621	0.002368192	0.002429503	0.23268288	0.003224684	0.010618206	0.144467393	0.001346936	0.155422758	1.341629134	1.635527629	0.352755977	2.252780015	0.321950021	0.502314765	1.878905197	0.210775701
16/05/2011	1	0.001589605	0.115134552	0.001953446	0.001662429	0.197713911	0.002498466	0.0082866	0.132188366	0.000574278	0.157012363	1.456763686	1.637481075	0.354418406	2.450493926	0.324448487	0.510601364	2.011093563	0.211349979
17/05/2011	1	0.001143986	0.098267482	0.0015387	0.000895355	0.162744941	0.001772248	0.005954994	0.11990934	-0.000198379	0.158156349	1.555031168	1.639019775	0.355313761	2.613238867	0.326220735	0.516556358	2.131002903	0.2111516
18/05/2011	1	0.001584494	0.062655187	0.001291438	0.001306405	0.106208615	0.001508219	0.003930234	0.079306895	0.00035971	0.159740843	1.617686356	1.640311213	0.356620166	2.719447482	0.327728954	0.520486592	2.210309797	0.21151131
19/05/2011	1	0.002025002	0.027042892	0.001044176	0.001717456	0.049672288	0.00124419	0.001905474	0.03870445	0.000917799	0.161765846	1.644729248	1.641355389	0.358337622	2.76911977	0.328973144	0.522392066	2.249014247	0.212429108
20/05/2011	1	0.001910835	0.031240507	0.001395771	0.001659324	0.043784807	0.012808607	0.001773161	0.040230583	0.001006921	0.16367668	1.675969755	1.64275116	0.359996946	2.812904576	0.341781752	0.524165226	2.289244831	0.213436029
21/05/2011	1	0.001796667	0.035438121	0.001747365	0.001601192	0.037897326	0.024373025	0.001640847	0.041756717	0.001096043	0.165473348	1.711407876	1.644498525	0.361598138	2.850801902	0.366154776	0.525806073	2.331001548	0.214532072
22/05/2011	1	0.0016825	0.039635736	0.00209896	0.00154306	0.032009844	0.035937442	0.001508534	0.04328285	0.001185165	0.167155848	1.751043612	1.646597485	0.363141198	2.882811747	0.402092218	0.527314607	2.374284398	0.215717237
23/05/2011	1	0.001568333	0.04383335	0.002450555	0.001484928	0.026122363	0.047501859	0.00137622	0.044808984	0.001274288	0.16872418	1.794876962	1.64904804	0.364626126	2.90893411	0.449594077	0.528690827	2.419093382	0.216991525
24/05/2011	1	0.001454165	0.048030965	0.00280215	0.001426797	0.020234882	0.059066276	0.001243907	0.046335117	0.00136341	0.170178346	1.842907927	1.65185019	0.366052923	2.929168992	0.508660353	0.529934734	2.465428499	0.218354935
25/05/2011	1	0.001339998	0.052228579	0.003153745	0.001368665	0.014347401	0.070630693	0.001111593	0.047861251	0.001452532	0.171518343	1.895136506	1.655003935	0.367421588	2.943516393	0.579291047	0.531046327	2.51328975	0.219807467
26/05/2011	1	0.00122583	0.056426193	0.003505339	0.001310533	0.00845992	0.082195111	0.00097928	0.049387384	0.001541654	0.172744174	1.951562699	1.658509274	0.368732121	2.951976313	0.661486158	0.532025606	2.562677135	0.221349121
27/05/2011	1	0.001111663	0.060623808	0.003856934	0.001252401	0.002572439	0.093759528	0.000846966	0.050913518	0.001630776	0.173855837	2.012186507	1.662366208	0.369984522	2.954548752	0.755245685	0.532872572	2.613590653	0.222979897
28/05/2011	1	0.001032797	0.050826786	0.003233164	0.001651238	0.008220234	0.075717173	0.002090988	0.045445487	0.001663285	0.174888633	2.063013293	1.665599372	0.371635759	2.962768987	0.830962858	0.53496356	2.65903614	0.224643182
29/05/2011	1	0.00095393	0.041029764	0.002609394	0.002050074	0.01386803	0.057674818	0.003335009	0.039977456	0.001695794	0.175842564	2.104043057	1.668208766	0.373685833	2.976637016	0.888637676	0.538298569	2.699013596	0.226338976
30/05/2011	1	0.000875064	0.031232742	0.001985624	0.00244891	0.019515825	0.039632463	0.00457903	0.034509425	0.001728303	0.176717628	2.135275798	1.67019439	0.376134744	2.996152841	0.928270139	0.542877599	2.733523021	0.228067279
31/05/2011	1	0.000796198	0.02143572	0.001361853	0.002847747	0.025163621	0.021590108	0.005823052	0.029041394	0.001760811	0.177513826	2.156711518	1.671556243	0.378982491	3.021316462	0.949860247	0.548700651	2.762564416	0.22982809
1/06/2011	1	0.000717332	0.011638698	0.000738083	0.003246583	0.030811416	0.003547753	0.007067073	0.023573364	0.00179332	0.178231158	2.168350216	1.672294327	0.382229074	3.052127878	0.953408	0.555767724	2.786137779	0.23162141
2/06/2011	1	0.000475355	0.009569765	0.000511491	0.002249711	0.026312362	0.002363397	0.00533549	0.01543139	0.002920457	0.178706512	2.177919981	1.672805818	0.384478785	3.07844024	0.955771397	0.561103214	2.80156917	0.234541867
3/06/2011	1	0.000233377	0.007500833	0.000284899	0.001252839	0.021813308	0.001179041	0.003603907	0.007289417	0.004047594	0.17893989	2.185420814	1.673090717	0.385731624	3.100253548	0.956950438	0.564707121	2.808858586	0.238589461
4/06/2011	1	0.000844963	0.01257184	0.000917865	0.00237515	0.02399876	0.002521795	0.006327671	0.017180739	0.004640394	0.179784853	2.197992654	1.674008583	0.388106775	3.124252308	0.959472232	0.571034793	2.826039325	0.243229855
5/06/2011	1	0.001456549	0.017642847	0.001550832	0.003497461	0.026184211	0.003864549	0.009051436	0.027072061	0.005233193	0.181241402	2.215635501	1.675559414	0.391604236	3.150436519	0.963336781	0.580086229	2.853111387	0.248463048
6/06/2011	1	0.002068135	0.022713855	0.002183798	0.004619772	0.028369663	0.005207303	0.0117752	0.036963384	0.005825993	0.183309537	2.238349356	1.677743212	0.396224007	3.178806182	0.968544084	0.591861428	2.89007477	0.254289041
7/06/2011	1	0.002679721	0.027784862	0.002816764	0.005742082	0.030555114	0.006550057	0.014498964	0.046854706	0.006418793	0.185989257	2.266134218	1.680559976	0.40196609	3.209361296	0.975094141	0.606360392	2.936929477	0.260707834
8/06/2011	1	0.00194237	0.026802529	0.003273802	0.007123667	0.033405593	0.004871303	0.01074106	0.036981994	0.004430047	0.187931627	2.292936746	1.683833778	0.409089756	3.242766889	0.979965444	0.617101452	2.973911471	0.26513788
9/06/2011	1	0.001205019	0.025820195	0.003730841	0.008505251	0.036256071	0.003192548	0.006983156	0.027109282	0.002441301	0.189136647	2.318756941	1.687564618	0.417595008	3.27902296	0.983157992	0.624084608	3.001020753	0.267579181
10/06/2011	1	0.001023736	0.023682675	0.003260432	0.007353714	0.032986758	0.002832728	0.00627289	0.024416801	0.002149556	0.190160382	2.342439617	1.69082505	0.424948722	3.312009718	0.98599072	0.630357498	3.025437554	0.269728737
11/06/2011	1	0.000842452	0.021545156	0.002790023	0.006202177	0.029717445	0.002472907	0.005562624	0.02172432	0.001857812	0.191002834	2.363984772	1.693615073	0.431150899	3.341727163	0.988463627	0.635920122	3.047161874	0.271586549
12/06/2011	1	0.000661168	0.019407636	0.002319614	0.005050639	0.026448133	0.002113087	0.004852359	0.01903184	0.001566067	0.191664002	2.383392408	1.695934688	0.436201538	3.368175296	0.990576714	0.640772481	3.066193714	0.273152616
13/06/2011	1	0.000479884	0.017270116	0.001849206	0.003899102	0.02317882	0.001753266	0.004142093	0.016339359	0.001274322	0.192143886	2.400662525	1.697783893	0.44010064	3.391354115	0.99232998	0.644914574	3.082533073	0.274426938
14/06/2011	1	0.0002986	0.015132597	0.001378797	0.002747565	0.019909507	0.001393446	0.003431827	0.013646878	0.000982578	0.192442486	2.415795122	1.69916269	0.442848205	3.411263622	0.993723426	0.648346401	3.096179951	0.275409516
15/06/2011	1	0.000117316	0.012995077	0.000908388	0.001596027	0.016640194	0.001033625	0.002721562	0.010954397	0.000690833	0.192559802	2.428790199	1.700071078	0.444444232	3.427903816	0.994757051	0.651067963	3.107134348	0.27610035
16/06/2011	1	-6.39675E-05	0.010857558	0.000437979	0.00044449	0.013370881	0.000673805	0.002011296	0.008261916	0.000399089	0.192495835	2.439647756	1.700509058	0.444888722	3.441274698	0.995430856	0.653079259	3.115396264	0.276499438
