Date	Block	T1Herbage	T2Herbage	T3Herbage	T4Herbage	T5Herbage	T6Herbage	T7Herbage	T8Herbage	T9Herbage	T1CumHerbage	T2CumHerbage	T3CumHerbage	T4CumHerbage	T5CumHerbage	T6CumHerbage	T7CumHerbage	T8CumHerbage	T9CumHerbage	T1HerbageN	T2HerbageN	T3HerbageN	T4HerbageN	T5HerbageN	T6HerbageN	T7HerbageN	T8HerbageN	T9HerbageN	T1HarvestedN	T2HarvestedN	T3HarvestedN	T4HarvestedN	T5HarvestedN	T6HarvestedN	T7HarvestedN	T8HarvestedN	T9HarvestedN	T1CumHarvestedN	T2CumHarvestedN	T3CumHarvestedN	T4CumHarvestedN	T5CumHarvestedN	T6CumHarvestedN	T7CumHarvestedN	T8CumHarvestedN	T9CumHarvestedN	T1StandingDM	T2StandingDM	T3StandingDM	T4StandingDM	T5StandingDM	T6StandingDM	T7StandingDM	T8StandingDM	T9StandingDM
3/11/2011	1	285.564	903.358	2421.594	627.605	1526.456	2286.899	896.995	1821.300	2285.309	2949.239	9985.200	9215.210	5382.234	9588.538	11418.058	8332.799	12981.369	13556.210	2.489	2.480	4.634	2.506	3.222	4.152	2.443	2.977	4.336	7.108	22.400	112.211	15.725	49.177	94.947	21.917	54.226	99.086	89.131	367.925	408.943	171.673	374.487	474.055	295.262	498.247	584.607	1885.564	2503.358	4021.594	2227.605	3126.456	3886.899	2496.995	3421.300	3885.309
17/11/2011	1	231.739	342.571	908.927	363.783	489.463	803.928	450.751	687.793	871.806	3180.978	10327.770	10124.137	5746.017	10078.001	12221.986	8783.550	13669.162	14428.015	2.678	3.060	4.374	3.758	3.930	4.322	4.314	4.010	4.851	6.206	10.483	39.757	13.671	19.236	34.749	19.445	27.579	42.291	95.337	378.408	448.699	185.344	393.723	508.805	314.707	525.826	626.898	1831.739	1942.571	2508.927	1963.783	2089.463	2403.928	2050.751	2287.793	2471.806
5/12/2011	1	526.053	473.554	1569.144	632.643	786.428	1511.873	725.444	1189.983	1442.934	3707.031	10801.324	11693.281	6378.660	10864.429	13733.859	9508.994	14859.146	15870.949	2.465	2.270	3.877	2.186	2.718	3.621	2.651	2.778	3.832	12.968	10.748	60.832	13.830	21.376	54.746	19.229	33.056	55.290	108.306	389.157	509.532	199.174	415.098	563.550	333.935	558.882	682.188	2126.053	2073.554	3169.144	2232.643	2386.428	3111.873	2325.444	2789.983	3042.934
12/01/2012	1	701.979	1413.635	2175.140	1029.701	1437.499	2308.244	1594.996	1332.500	2208.018	4545.295	12505.562	14513.791	7762.598	12803.588	16696.487	11807.693	16680.048	19176.149	2.467	2.155	3.122	2.476	2.898	2.983	2.601	2.854	3.554	17.321	30.464	67.902	25.495	41.665	68.858	41.487	38.035	78.463	129.173	428.170	600.153	236.780	473.977	657.230	400.899	615.169	803.936	2301.979	3013.635	3775.140	2629.701	3037.499	3908.244	3194.996	2932.500	3808.018
7/02/2012	1	511.470	951.615	1976.146	565.030	861.995	2155.386	676.922	977.600	1753.422	5056.766	13457.177	16489.937	8327.628	13665.583	18851.873	12484.615	17657.648	20929.571	2.299	1.935	3.072	2.158	2.444	2.802	2.244	3.116	3.445	11.757	18.410	60.705	12.192	21.066	60.395	15.191	30.459	60.399	140.930	446.580	660.858	248.972	495.043	717.625	416.090	645.628	864.335	2111.470	2551.615	3576.146	2165.030	2461.995	3755.386	2276.922	2577.600	3353.422
13/03/2012	1	771.050	1505.509	1632.780	1172.483	997.486	1657.174	851.124	1763.233	1455.131	5827.815	14962.686	18122.717	9500.112	14663.069	20509.047	13335.739	19420.880	22384.702	2.139	1.940	2.302	2.457	2.593	3.056	2.938	2.994	3.360	16.490	29.207	37.595	28.804	25.863	50.644	25.005	52.796	48.895	157.419	475.787	698.453	277.776	520.906	768.269	441.096	698.424	913.230	2371.050	3105.509	3232.780	2772.483	2597.486	3257.174	2451.124	3363.233	3055.131
13/04/2012	1	647.358	577.359	517.436	861.067	629.328	1400.378	1004.247	1105.003	1566.360	6475.173	15540.045	18640.153	10361.179	15292.397	21909.425	14339.986	20525.884	23951.062	2.270	2.406	2.546	3.339	2.887	3.313	3.709	3.391	4.691	14.696	13.889	13.176	28.747	18.169	46.395	37.251	37.470	73.482	172.116	489.677	711.629	306.523	539.075	814.663	478.347	735.894	986.712	2247.358	2177.359	2117.436	2461.067	2229.328	3000.378	2604.247	2705.003	3166.360
17/05/2012	1	142.053	486.745	252.354	493.639	276.218	728.560	269.324	834.619	984.692	6617.226	16026.790	18892.507	10854.818	15568.615	22637.984	14609.310	21360.502	24935.755	3.189	3.197	2.854	3.787	4.023	4.024	4.295	4.256	4.287	4.531	15.561	7.203	18.694	11.111	29.318	11.569	35.519	42.212	176.647	505.238	718.832	325.217	550.186	843.982	489.915	771.413	1028.924	1742.053	2086.745	1852.354	2093.639	1876.218	2328.560	1869.324	2434.619	2584.692
2/07/2012	1	113.006	532.152	393.161	1482.123	1040.705	1676.688	797.564	1956.313	1928.314	6730.232	16558.942	19285.668	12336.941	16609.320	24314.673	15406.875	23316.816	26864.068	2.429	2.652	2.185	2.507	3.102	2.703	3.610	2.995	3.495	2.745	14.114	8.589	37.150	32.282	45.328	28.793	58.601	67.387	179.392	519.352	727.421	362.367	582.469	889.310	518.708	830.014	1096.311	1713.006	2132.152	1993.161	3082.123	2640.705	3276.688	2397.564	3556.313	3528.314
19/12/2011	1	136.286	290.602	645.370	354.237	501.660	654.385	703.702	488.402	1097.181	3843.317	11091.926	12338.651	6732.897	11366.089	14388.243	10212.696	15347.548	16968.131	2.602	2.942	3.520	3.419	3.432	3.793	3.620	3.737	3.945	3.546	8.549	22.719	12.111	17.214	24.821	25.477	18.252	43.285	111.852	397.706	532.251	211.285	432.313	588.372	359.412	577.134	725.472	1736.286	1890.602	2245.370	1954.237	2101.660	2254.385	2303.702	2088.402	2697.181
24/08/2012	1	431.395	490.258	421.320	570.863	599.499	1046.008	1455.396	977.069	1246.990	7161.628	17049.200	19706.988	12907.804	17208.819	25360.681	16862.271	24293.885	28111.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2031.395	2090.258	2021.320	2170.863	2199.499	2646.008	3055.396	2577.069	2846.990
23/03/2011	2	846.617	802.602	791.996	1558.804	1226.839	1617.136	1822.361	1659.560	1681.832	846.617	802.602	791.996	1558.804	1226.839	1617.136	1822.361	1659.560	1681.832	2.813	2.618	2.554	2.882	2.768	2.773	2.867	3.074	2.727	23.816	21.014	20.224	44.932	33.962	44.844	52.252	51.011	45.866	23.816	21.014	20.224	44.932	33.962	44.844	52.252	51.011	45.866	2446.617	2402.602	2391.996	3158.804	2826.839	3217.136	3422.361	3259.560	3281.832
11/04/2011	2	557.341	505.372	453.403	902.563	636.885	749.838	933.850	883.472	853.776	1403.957	1307.974	1245.399	2461.367	1863.724	2366.974	2756.211	2543.032	2535.608	3.451	3.343	3.332	4.244	4.400	4.230	4.985	4.999	4.634	19.231	16.893	15.109	38.306	28.025	31.718	46.551	44.169	39.564	43.047	37.907	35.333	83.238	61.987	76.562	98.802	95.180	85.430	2157.341	2105.372	2053.403	2502.563	2236.885	2349.838	2533.850	2483.472	2453.776
29/04/2011	2	393.479	262.496	282.117	433.251	370.677	500.069	675.066	599.234	604.007	1797.437	1570.470	1527.516	2894.618	2234.400	2867.043	3431.277	3142.266	3139.615	3.563	3.642	3.558	3.627	3.946	3.850	3.694	3.895	3.629	14.019	9.559	10.039	15.716	14.625	19.250	24.940	23.339	21.919	57.066	47.466	45.372	98.953	76.612	95.812	123.742	118.518	107.349	1993.479	1862.496	1882.117	2033.251	1970.677	2100.069	2275.066	2199.234	2204.007
31/05/2011	2	499.273	1160.552	584.651	1019.493	1390.170	1207.218	1280.929	1797.967	1244.338	2296.710	2731.022	2112.167	3914.111	3624.570	4074.260	4712.206	4940.233	4383.953	3.128	5.306	2.895	2.998	4.753	3.041	3.990	4.845	3.543	15.618	61.580	16.927	30.559	66.070	36.711	51.109	87.118	44.085	72.684	109.046	62.299	129.512	142.683	132.523	174.852	205.637	151.434	2099.273	2760.552	2184.651	2619.493	2990.170	2807.218	2880.929	3397.967	2844.338
27/06/2011	2	194.884	682.225	245.792	559.727	849.799	650.407	760.179	1006.766	817.451	2491.594	3413.247	2357.959	4473.838	4474.368	4724.668	5472.385	5946.999	5201.404	3.339	4.391	3.142	3.766	3.891	3.734	4.261	4.346	3.979	6.508	29.960	7.722	21.080	33.064	24.283	32.393	43.753	32.528	79.192	139.006	70.022	150.592	175.746	156.807	207.244	249.390	183.962	1794.884	2282.225	1845.792	2159.727	2449.799	2250.407	2360.179	2606.766	2417.451
28/07/2011	2	253.746	893.813	246.853	229.353	454.198	668.968	465.865	621.771	375.714	2745.340	4307.060	2604.812	4703.191	4928.567	5393.636	5938.249	6568.771	5577.118	2.892	3.764	2.438	3.390	3.770	3.157	3.662	4.210	3.766	7.338	33.639	6.017	7.775	17.123	21.121	17.060	26.179	14.149	86.530	172.645	76.039	158.367	192.870	177.928	224.305	275.569	198.112	1853.746	2493.813	1846.853	1829.353	2054.198	2268.968	2065.865	2221.771	1975.714
6/09/2011	2	131.778	954.797	219.277	70.264	591.014	159.354	368.290	759.648	221.929	2877.118	5261.857	2824.089	4773.455	5519.581	5552.990	6306.539	7328.419	5799.047	2.458	3.595	5.166	2.978	3.845	5.331	3.777	4.056	5.354	3.239	34.330	11.328	2.092	22.725	8.495	13.910	30.813	11.881	89.769	206.975	87.367	160.459	215.595	186.423	238.215	306.381	209.993	1731.778	2554.797	1819.277	1670.264	2191.014	1759.354	1968.290	2359.648	1821.929
28/09/2011	2	229.618	1491.721	1921.791	663.400	1156.044	2939.958	1192.104	2096.258	2292.998	3106.736	6753.579	4745.880	5436.855	6675.625	8492.948	7498.644	9424.677	8092.044	2.457	3.650	5.492	2.391	3.650	5.162	2.661	3.779	5.001	5.642	54.451	105.545	15.860	42.192	151.749	31.719	79.226	114.663	95.411	261.426	192.912	176.319	257.787	338.172	269.933	385.607	324.656	1829.618	3091.721	3521.791	2263.400	2756.044	4539.958	2792.104	3696.258	3892.998
16/10/2011	2	250.034	887.980	1866.905	711.922	1303.201	1914.102	992.448	1443.199	1555.622	3356.771	7641.558	6612.785	6148.777	7978.826	10407.050	8491.092	10867.876	9647.666	2.907	4.048	4.923	3.230	3.999	5.078	3.540	4.013	5.219	7.268	35.949	91.900	22.997	52.115	97.207	35.132	57.922	81.181	102.679	297.375	284.812	199.317	309.902	435.379	305.066	443.530	405.837	1850.034	2487.980	3466.905	2311.922	2903.201	3514.102	2592.448	3043.199	3155.622
3/11/2011	2	327.988	1189.188	2351.595	610.105	1300.550	2530.305	731.543	1369.488	1993.116	3684.758	8830.746	8964.381	6758.882	9279.376	12937.355	9222.635	12237.365	11640.782	2.742	3.248	3.790	2.747	3.797	4.451	2.603	2.946	3.711	8.992	38.621	89.134	16.758	49.376	112.630	19.041	40.340	73.958	111.672	335.995	373.946	216.074	359.278	548.008	324.107	483.869	479.795	1927.988	2789.188	3951.595	2210.105	2900.550	4130.305	2331.543	2969.488	3593.116
17/11/2011	2	324.541	519.159	1016.046	346.283	766.277	827.261	563.704	581.204	855.367	4009.299	9349.905	9980.427	7105.165	10045.653	13764.616	9786.339	12818.568	12496.149	2.917	3.517	4.482	4.019	4.027	4.697	4.078	4.223	4.488	9.468	18.256	45.543	13.918	30.861	38.854	22.986	24.542	38.389	121.139	354.252	419.489	229.993	390.139	586.862	347.093	508.411	518.184	1924.541	2119.159	2616.046	1946.283	2366.277	2427.261	2163.704	2181.204	2455.367
5/12/2011	2	357.949	734.990	1469.449	701.581	983.168	1475.812	740.293	757.792	1341.648	4367.249	10084.895	11449.876	7806.746	11028.821	15240.428	10526.631	13576.361	13837.796	2.444	2.644	4.040	2.724	2.912	3.541	2.605	3.187	4.162	8.750	19.435	59.361	19.110	28.629	52.252	19.285	24.154	55.836	129.889	373.686	478.850	249.103	418.768	639.114	366.378	532.565	574.020	1957.949	2334.990	3069.449	2301.581	2583.168	3075.812	2340.293	2357.792	2941.648
12/01/2012	2	898.188	884.400	1582.269	1121.973	1417.878	1462.953	1572.724	1170.760	1281.592	5495.585	11259.367	14009.480	9281.365	12873.587	17433.598	12873.587	15446.050	15644.911	2.340	2.673	2.736	2.929	2.796	2.925	2.626	3.018	3.387	21.016	23.641	43.286	32.865	39.638	42.797	41.304	35.330	43.407	157.381	406.343	556.022	294.415	473.229	709.618	436.943	590.320	636.791	2498.188	2484.400	3182.269	2721.973	3017.878	3062.953	3172.724	2770.760	2881.592
7/02/2012	2	594.196	469.577	1763.498	881.616	1008.357	1735.922	794.118	892.753	1289.944	6089.781	11728.944	15772.977	10162.981	13881.944	19169.520	13667.704	16338.803	16934.855	2.245	2.265	3.086	2.226	2.092	3.007	0.570	2.059	3.454	13.340	10.634	54.418	19.627	21.095	52.195	4.525	18.382	44.557	170.720	416.977	610.440	314.042	494.324	761.813	441.468	608.702	681.348	2194.196	2069.577	3363.498	2481.616	2608.357	3335.922	2394.118	2492.753	2889.944
13/03/2012	2	1378.238	1290.209	1982.775	1303.997	1039.379	2420.269	1325.739	1731.945	2420.799	7468.019	13019.153	17755.752	11466.978	14921.323	21589.789	14993.443	18070.748	19355.654	2.031	1.712	2.311	2.567	2.481	3.097	3.334	2.739	3.180	27.992	22.086	45.831	33.474	25.788	74.949	44.205	47.436	76.984	198.712	439.063	656.271	347.516	520.112	836.762	485.673	656.138	758.332	2978.238	2890.209	3582.775	2903.997	2639.379	4020.269	2925.739	3331.945	4020.799
13/04/2012	2	470.770	629.859	668.570	802.205	739.630	1460.832	992.581	1101.291	1495.831	7938.789	13649.011	18424.322	12269.182	15660.952	23050.621	15986.024	19172.039	20851.485	2.591	2.249	2.843	3.502	2.948	3.435	3.890	3.906	3.545	12.197	14.165	19.011	28.095	21.804	50.173	38.614	43.013	53.022	210.909	453.228	675.282	375.611	541.916	886.935	524.287	699.151	811.354	2070.770	2229.859	2268.570	2402.205	2339.630	3060.832	2592.581	2701.291	3095.831
17/05/2012	2	306.975	305.384	439.549	766.741	633.637	1129.463	989.465	1090.221	1123.100	8245.764	13954.395	18863.871	13035.923	16294.589	24180.084	16975.489	20262.260	21974.585	3.198	3.337	2.842	3.697	3.589	3.775	4.066	4.173	4.313	9.818	10.189	12.491	28.343	22.743	42.642	40.230	45.494	48.439	220.727	463.417	687.772	403.954	564.659	929.577	564.516	744.645	859.793	1906.975	1905.384	2039.549	2366.741	2233.637	2729.463	2589.465	2690.221	2723.100
2/07/2012	2	324.488	395.707	362.934	1189.877	1088.325	1213.793	1690.476	2217.537	2275.710	8570.252	14350.102	19226.805	14225.800	17382.915	25393.877	18665.965	22479.797	24250.295	2.484	2.610	2.406	2.663	2.665	2.996	3.434	3.348	3.130	8.061	10.329	8.731	31.688	28.999	36.370	58.058	74.236	71.221	228.788	473.747	696.504	435.642	593.658	965.947	622.574	818.881	931.014	1924.488	1995.707	1962.934	2789.877	2688.325	2813.793	3290.476	3817.537	3875.710
19/12/2011	2	230.148	290.072	977.335	352.647	426.888	730.217	774.231	698.929	525.523	4597.397	10374.967	12427.210	8159.392	11455.709	15970.645	11300.863	14275.290	14363.319	2.814	3.108	3.467	3.530	3.472	3.794	3.779	3.209	3.685	6.476	9.015	33.885	12.448	14.822	27.706	29.260	22.426	19.363	136.365	382.702	512.735	261.550	433.590	666.821	395.638	554.991	593.383	1830.148	1890.072	2577.335	1952.647	2026.888	2330.217	2374.231	2298.929	2125.523
24/08/2012	2	306.246	505.637	256.928	399.578	592.075	648.817	1113.886	1114.416	1184.415	8876.497	14855.738	19483.734	14625.378	17974.990	26042.694	19779.851	23594.213	25434.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1906.246	2105.637	1856.928	1999.578	2192.075	2248.817	2713.886	2714.416	2784.415
23/03/2011	3	1180.173	1163.203	1302.671	1438.957	1018.963	1915.693	1655.848	1533.880	1627.212	1180.173	1163.203	1302.671	1438.957	1018.963	1915.693	1655.848	1533.880	1627.212	2.797	2.517	2.075	3.220	2.847	2.735	3.033	2.962	3.040	33.011	29.276	27.033	46.330	29.009	52.392	50.216	45.436	49.462	33.011	29.276	27.033	46.330	29.009	52.392	50.216	45.436	49.462	2780.173	2763.203	2902.671	3038.957	2618.963	3515.693	3255.848	3133.880	3227.212
11/04/2011	3	592.340	657.566	512.796	722.793	622.037	583.325	818.246	740.823	811.352	1772.513	1820.770	1815.467	2161.750	1640.999	2499.018	2474.094	2274.703	2438.564	3.809	3.342	3.405	4.487	4.374	4.409	4.477	4.966	5.211	22.561	21.974	17.461	32.433	27.206	25.721	36.634	36.787	42.283	55.571	51.250	44.493	78.763	56.215	78.113	86.850	82.223	91.745	2192.340	2257.566	2112.796	2322.793	2222.037	2183.325	2418.246	2340.823	2411.352
29/04/2011	3	379.161	352.116	240.754	537.189	370.146	349.995	589.158	559.462	523.932	2151.674	2172.886	2056.221	2698.939	2011.146	2849.013	3063.252	2834.164	2962.496	4.064	4.026	4.014	4.095	3.910	4.264	4.245	3.988	4.090	15.410	14.176	9.664	21.999	14.474	14.923	25.011	22.310	21.431	70.981	65.426	54.157	100.762	70.689	93.036	111.861	104.532	113.176	1979.161	1952.116	1840.754	2137.189	1970.146	1949.995	2189.158	2159.462	2123.932
31/05/2011	3	678.513	1528.047	602.151	1189.718	1607.591	1136.158	1355.170	1408.730	1415.624	2830.187	3700.932	2658.371	3888.657	3618.737	3985.171	4418.422	4242.894	4378.120	3.179	4.962	3.195	3.555	4.877	3.604	3.487	4.981	3.665	21.571	75.828	19.241	42.289	78.403	40.946	47.255	70.172	51.886	92.552	141.253	73.398	143.051	149.091	133.982	159.116	174.704	165.062	2278.513	3128.047	2202.151	2789.718	3207.591	2736.158	2955.170	3008.730	3015.624
27/06/2011	3	386.851	911.843	442.532	720.937	1186.536	912.904	1014.720	971.236	1015.251	3217.038	4612.776	3100.903	4609.594	4805.273	4898.075	5433.143	5214.131	5393.371	3.394	3.997	3.205	3.893	4.107	3.628	3.395	4.498	4.122	13.131	36.445	14.183	28.066	48.726	33.123	34.450	43.682	41.852	105.683	177.698	87.581	171.117	197.817	167.105	193.565	218.386	206.914	1986.851	2511.843	2042.532	2320.937	2786.536	2512.904	2614.720	2571.236	2615.251
28/07/2011	3	289.276	757.527	287.685	246.853	586.242	427.683	299.352	759.118	478.061	3506.314	5370.303	3388.588	4856.446	5391.515	5325.758	5732.495	5973.249	5871.432	3.240	4.067	3.235	3.554	4.308	3.604	3.571	3.872	3.843	9.373	30.807	9.307	8.772	25.253	15.414	10.689	29.395	18.372	115.055	208.505	96.888	179.889	223.071	182.519	204.254	247.781	225.286	1889.276	2357.527	1887.685	1846.853	2186.242	2027.683	1899.352	2359.118	2078.061
6/09/2011	3	266.473	1444.260	304.655	255.337	849.268	280.791	323.745	853.511	501.925	3772.787	6814.563	3693.243	5111.784	6240.783	5606.549	6056.240	6826.759	6373.357	2.603	3.856	4.789	3.340	4.247	5.473	3.829	3.983	5.261	6.936	55.697	14.589	8.528	36.067	15.368	12.397	33.994	26.407	121.991	264.201	111.477	188.417	259.138	197.887	216.651	281.775	251.693	1866.473	3044.260	1904.655	1855.337	2449.268	1880.791	1923.745	2453.511	2101.925
28/09/2011	3	208.406	1485.358	1918.609	792.262	2545.418	2307.846	891.957	1787.626	2416.557	3981.194	8299.920	5611.852	5904.045	8786.201	7914.395	6948.197	8614.386	8789.913	2.314	3.624	5.328	2.472	3.589	5.370	2.910	2.843	5.327	4.823	53.828	102.232	19.581	91.353	123.934	25.958	50.820	128.733	126.814	318.029	213.709	207.998	350.491	321.821	242.608	332.596	380.426	1808.406	3085.358	3518.609	2392.262	4145.418	3907.846	2491.957	3387.626	4016.557
16/10/2011	3	228.823	1493.577	1843.042	636.089	1549.258	2368.035	990.327	1343.504	2305.990	4210.016	9793.498	7454.894	6540.135	10335.460	10282.430	7938.524	9957.889	11095.903	2.667	3.652	4.672	3.163	4.137	4.895	3.571	3.551	5.058	6.102	54.550	86.102	20.120	64.098	115.924	35.363	47.710	116.644	132.916	372.579	299.811	228.118	414.589	437.745	277.971	380.306	497.070	1828.823	3093.577	3443.042	2236.089	3149.258	3968.035	2590.327	2943.504	3905.990
3/11/2011	3	398.517	1349.337	2101.826	541.167	1421.987	2056.221	761.239	803.663	2143.189	4608.533	11142.835	9556.721	7081.301	11757.447	12338.651	8699.763	10761.552	13239.093	2.520	2.845	4.300	2.696	3.235	4.653	2.431	2.520	4.490	10.041	38.387	90.379	14.591	46.005	95.678	18.503	20.253	96.230	142.957	410.966	390.190	242.709	460.594	533.423	296.474	400.559	593.299	1998.517	2949.337	3701.826	2141.167	3021.987	3656.221	2361.239	2403.663	3743.189
17/11/2011	3	99.696	410.979	943.396	259.845	435.373	711.657	354.768	410.449	722.793	4708.229	11553.814	10500.116	7341.146	12192.820	13050.308	9054.531	11172.001	13961.886	2.962	3.324	3.994	3.869	3.915	4.651	4.080	3.763	4.556	2.953	13.661	37.677	10.052	17.043	33.097	14.475	15.446	32.928	145.911	424.627	427.867	252.761	477.637	566.520	310.949	416.005	626.227	1699.696	2010.979	2543.396	1859.845	2035.373	2311.657	1954.768	2010.449	2322.793
