Date	Block	T1N2O	T2N2O	T3N2O	T4N2O	T5N2O	T6N2O	T7N2O	T8N2O	T9N2O	T1CumN2O	T2CumN2O	T3CumN2O	T4CumN2O	T5CumN2O	T6CumN2O	T7CumN2O	T8CumN2O	T9CumN2O	T1pH	T2pH	T3pH	T4pH	T5pH	T6pH	T7pH	T8pH	T9pH
5/04/2011	1	0.003800787	0.003891999	-8.87799E-05	0.006338235	0.00397055	0.010084048	0.014599843	0.0216273	0.002417728	0.0208	0.0323	0.0366	0.0407	0.0364	0.0501	0.0785	0.1955	0.0315	*	*	*	*	*	*	*	*	*
8/04/2011	1	0.001020148	0.000773594	0.000106861	0.002979265	0.002405671	0.002726801	0.005889378	0.005928414	0.002965746	0.0219	0.0331	0.0367	0.0437	0.0388	0.0528	0.0844	0.2014	0.0345	*	*	*	*	*	*	*	*	*
14/04/2011	1	0.001655056	0.003114476	0.187329833	0.002641306	0.002944074	0.0022188	0.004960293	0.006093263	0.002055728	0.0235	0.0362	0.2241	0.0463	0.0418	0.0550	0.0893	0.2075	0.0366	*	*	*	*	*	*	*	*	*
21/04/2011	1	0.001970053	0.000308407	0.025417806	0.014353617	0.001287384	0.001604823	0.002333752	0.003400617	0.000655288	0.0255	0.0365	0.2495	0.0607	0.0430	0.0566	0.0917	0.2109	0.0372	*	*	*	*	*	*	*	*	*
28/04/2011	1	0.000882453	0.00052261	0.00189893	0.000645415	0.000613056	0.000843814	0.00308966	0.000616824	0.000212349	0.0264	0.0371	0.2514	0.0613	0.0437	0.0574	0.0947	0.2115	0.0374	*	*	*	*	*	*	*	*	*
5/05/2011	1	0.002131421	0.040020436	0.002027167	0.006258051	0.083454848	0.010092475	0.01586775	0.028435658	0.006119634	0.0285	0.0771	0.2534	0.0676	0.1271	0.0675	0.1106	0.2399	0.0435	*	*	*	*	*	*	*	*	*
10/05/2011	1	0.002375291	0.05987742	0.002035771	0.003012944	0.07051588	0.003470618	0.007860124	0.055411321	0.00390324	0.0309	0.1370	0.2554	0.0706	0.1976	0.0710	0.1185	0.2953	0.0474	*	*	*	*	*	*	*	*	*
12/05/2011	1	0.003372081	0.182602828	0.003612429	0.004730725	0.337589789	0.005403338	0.017613023	0.181304474	0.003664907	0.0342	0.3196	0.2591	0.0753	0.5352	0.0764	0.1361	0.4766	0.0511	*	*	*	*	*	*	*	*	*
17/05/2011	1	0.001143986	0.098267482	0.0015387	0.000895355	0.162744941	0.001772248	0.005954994	0.11990934	0.000290458	0.0354	0.4178	0.2606	0.0762	0.6980	0.0782	0.1420	0.5966	0.0514	*	*	*	*	*	*	*	*	*
19/05/2011	1	0.002025002	0.027042892	0.001044176	0.001717456	0.049672288	0.00124419	0.001905474	0.03870445	0.000917799	0.0374	0.4449	0.2616	0.0779	0.7476	0.0794	0.1439	0.6353	0.0523	*	*	*	*	*	*	*	*	*
27/05/2011	1	0.001111663	0.060623808	0.003856934	0.001252401	0.002572439	0.093759528	0.000846966	0.050913518	0.001630776	0.0385	0.5055	0.2655	0.0792	0.7502	0.1732	0.1448	0.6862	0.0540	*	*	*	*	*	*	*	*	*
1/06/2011	1	0.000717332	0.011638698	0.000738083	0.003246583	0.030811416	0.003547753	0.007067073	0.023573364	0.00179332	0.0392	0.5171	0.2662	0.0824	0.7810	0.1767	0.1519	0.7097	0.0557	*	*	*	*	*	*	*	*	*
3/06/2011	1	0.000233377	0.007500833	0.000284899	0.001252839	0.021813308	0.001179041	0.003603907	0.007289417	0.004047594	0.0395	0.5246	0.2665	0.0837	0.8028	0.1779	0.1555	0.7170	0.0598	*	*	*	*	*	*	*	*	*
7/06/2011	1	0.002679721	0.027784862	0.002816764	0.005742082	0.030555114	0.006550057	0.014498964	0.046854706	0.006418793	0.0422	0.5524	0.2693	0.0894	0.8334	0.1845	0.1700	0.7639	0.0662	*	*	*	*	*	*	*	*	*
9/06/2011	1	0.001205019	0.025820195	0.003730841	0.008505251	0.036256071	0.003192548	0.006983156	0.027109282	0.002441301	0.0434	0.5782	0.2731	0.0979	0.8696	0.1877	0.1769	0.7910	0.0687	*	*	*	*	*	*	*	*	*
16/06/2011	1	-6.39675E-05	0.010857558	0.000437979	0.00044449	0.013370881	0.000673805	0.002011296	0.008261916	0.000399089	0.0433	0.5891	0.2735	0.0984	0.8830	0.1883	0.1790	0.7993	0.0691	*	*	*	*	*	*	*	*	*
23/06/2011	1	0.000811841	0.005918154	0.000246656	0.000700321	0.008583792	0.000418577	0.001754753	0.007356641	0.000375242	0.0441	0.5950	0.2738	0.0991	0.8916	0.1887	0.1807	0.8066	0.0694	*	*	*	*	*	*	*	*	*
30/06/2011	1	0.00413787	0.005359247	0.002436263	0.002265382	0.005943134	0.004315231	0.005108886	0.006436608	0.003119997	0.0482	0.6004	0.2762	0.1014	0.8975	0.1931	0.1858	0.8131	0.0725	*	*	*	*	*	*	*	*	*
8/07/2011	1	0.000312243	0.00569256	0.000455612	0.002453178	0.012075014	0.000866592	0.001485039	0.022044497	0.001641886	0.0969	1.2096	0.5531	0.2065	1.8107	0.3878	0.3741	1.6557	0.1484	6.3900	5.8800	6.0800	5.9400	5.5100	6.1400	5.7900	5.8900	6.1200
28/07/2011	1	9.473E-05	0.009616369	0.000188471	-0.000148075	0.006974379	0.000737531	0.002202486	0.015922097	0.000749657	0.0487	0.6157	0.2768	0.1037	0.9166	0.1947	0.1895	0.8510	0.0749	5.6700	5.9300	5.7800	5.6900	5.8700	5.8900	6.2100	5.9400	5.9100
4/08/2011	1	-1.7021E-05	0.010400481	0.00039719	0.001052208	0.009121783	0.000393048	0.000810254	0.02315429	0.000342647	0.0486	0.6261	0.2772	0.1047	0.9257	0.1951	0.1903	0.8742	0.0753	5.4500	5.4800	5.5600	5.7700	5.5200	5.8100	5.8400	5.0900	5.7800
11/08/2011	1	-0.000105534	0.004518189	0.000459353	0.001358049	0.005781019	0.000876188	0.003025846	0.01152676	0.000233627	0.0485	0.6306	0.2777	0.1061	0.9315	0.1959	0.1933	0.8857	0.0755	5.4400	5.9300	5.6900	5.7300	5.2000	5.9600	5.5600	5.7000	5.7400
17/08/2011	1	0.00025676	0.012499729	0.001534585	0.001864718	0.00897657	0.00141344	0.000971008	0.026287239	0.000859787	0.0488	0.6431	0.2792	0.1079	0.9405	0.1974	0.1943	0.9120	0.0764	5.7600	5.8500	5.6600	5.8600	5.8900	5.6300	5.6200	5.9500	5.8400
24/08/2011	1	-2.17137E-05	0.016247986	-0.00017863	9.14313E-06	0.014841617	0.000720495	0.000147932	0.038707255	0.000367478	0.0488	0.6594	0.2790	0.1079	0.9553	0.1981	0.1945	0.9507	0.0767	*	*	*	*	*	*	*	*	*
1/09/2011	1	0.002477262	0.0032213	0.002336779	0.001463867	0.001115231	0.002947887	0.003052524	0.030651758	0.001035558	0.0512	0.6626	0.2814	0.1094	0.9564	0.2010	0.1975	0.9813	0.0778	6.6900	6.5100	7.7500	6.3400	6.7300	7.5100	7.1000	5.9600	7.8200
5/09/2011	1	-4.4152E-05	0.002023012	0.016622305	0.00152327	0.014317832	0.021582569	0.002504511	0.024187089	0.017941784	0.0512	0.6646	0.2980	0.1109	0.9707	0.2226	0.2000	1.0055	0.0957	5.9800	6.4300	7.2600	6.1900	5.5800	6.7500	5.9500	6.1600	6.8900
8/09/2011	1	0.000214821	0.011414173	0.036478393	0.001571343	0.011209012	0.033456366	0.001602336	0.033687945	0.004832367	0.0514	0.6760	0.3345	0.1125	0.9820	0.2561	0.2016	1.0392	0.1006	5.7700	6.1300	7.2300	5.9800	5.9600	6.1700	5.6200	5.8200	6.4500
13/09/2011	1	0.004107704	0.011080273	0.065576355	0.004715616	0.007677504	0.056752051	0.00432161	0.022697655	0.018047099	0.0555	0.6871	0.4001	0.1172	0.9896	0.3128	0.2059	1.0619	0.1186	5.7300	6.0400	6.5400	5.8700	5.7600	5.5900	5.4700	6.3100	5.7200
22/09/2011	1	0.001093309	0.013383531	0.028797327	0.002693533	0.007394751	0.02311228	0.002798386	0.02306702	0.011655284	0.0566	0.7005	0.4289	0.1199	0.9970	0.3359	0.2087	1.0850	0.1303	*	*	*	*	*	*	*	*	*
29/09/2011	1	0.002281204	0.017162681	0.029782517	0.001684705	0.012735415	0.017281542	0.006383994	0.029186957	0.018645182	0.0589	0.7176	0.4586	0.1216	1.0098	0.3532	0.2151	1.1142	0.1489	5.7900	6.4900	5.1000	6.2600	6.6500	6.8600	6.1400	6.9800	5.2400
3/10/2011	1	0.00309465	0.009966078	0.166134946	0.00558303	0.012419373	0.041405882	0.024457454	0.141516771	0.056252459	0.0620	0.7276	0.6248	0.1272	1.0222	0.3946	0.2396	1.2557	0.2052	5.7300	6.2500	5.9800	5.7900	6.5100	6.3000	6.3600	6.6200	7.3600
6/10/2011	1	0.002035914	0.009351069	0.051020933	0.002086623	0.018455949	0.038796372	0.007974299	0.021917439	0.032785527	0.0640	0.7370	0.6758	0.1293	1.0406	0.4334	0.2476	1.2776	0.2379	6.6200	5.7700	6.2500	5.8000	5.9300	6.4200	5.2100	5.8100	6.7300
10/10/2011	1	0.000561445	0.022454657	0.023178338	0.000987262	0.005134953	0.001826939	0.002171708	0.027493424	0.012840466	0.0646	0.7594	0.6990	0.1303	1.0458	0.4352	0.2497	1.3051	0.2508	*	*	*	*	*	*	*	*	*
21/10/2011	1	0.000599912	0.007382582	0.02093718	0.002622526	0.01386802	0.017447792	0.001654548	0.025254643	0.001633897	0.0652	0.7668	0.7199	0.1329	1.0596	0.4527	0.2514	1.3304	0.2524	5.4900	5.8800	6.1500	6.3100	5.8900	6.1600	6.0200	6.1300	5.9900
28/10/2011	1	0.003978345	0.01489873	0.027805636	0.008996525	0.028969781	0.030001784	0.013341752	0.033500075	0.038910957	0.0692	0.7817	0.7477	0.1419	1.0886	0.4827	0.2647	1.3639	0.2913	*	*	*	*	*	*	*	*	*
3/11/2011	1	0.001153795	0.004134457	0.010862246	0.001632009	0.010168442	0.00943015	0.003172601	0.018118116	0.014529145	0.0703	0.7858	0.7586	0.1435	1.0988	0.4921	0.2679	1.3820	0.3059	*	*	*	*	*	*	*	*	*
10/11/2011	1	0.001345026	0.006183069	0.024378996	0.011478361	0.026650961	0.026761677	0.025587707	0.040766091	0.048515148	0.0717	0.7920	0.7830	0.1550	1.1254	0.5189	0.2935	1.4227	0.3544	5.6600	5.9400	5.5800	6.3900	5.4100	5.7000	6.6400	6.0100	5.7700
17/11/2011	1	1.37071E-05	0.001958155	0.002477228	0.002523985	0.007864173	0.002387954	0.002960977	0.015205277	0.004848615	0.0717	0.7940	0.7854	0.1575	1.1333	0.5213	0.2964	1.4379	0.3592	*	*	*	*	*	*	*	*	*
1/12/2011	1	0.001034378	0.002597073	0.001064047	0.000314405	0.007580372	0.001233496	0.001183134	0.012843605	0.003271645	0.0727	0.7966	0.7865	0.1578	1.1409	0.5225	0.2976	1.4508	0.3625	*	*	*	*	*	*	*	*	*
6/12/2011	1	0.00095088	0.001309632	0.012632042	0.015639265	0.031422713	0.028787902	0.039608877	0.04206309	0.024066911	0.0737	0.7979	0.7991	0.1735	1.1723	0.5513	0.3372	1.4929	0.3866	5.5600	6.1900	5.9500	6.1900	6.3600	6.0100	7.0500	6.4000	6.1000
8/12/2011	1	0.000649593	0.004073485	0.001434543	0.001682841	0.012637747	0.004605338	0.004673781	0.01495431	0.010883801	0.0743	0.8020	0.8006	0.1751	1.1849	0.5559	0.3419	1.5078	0.3974	*	*	*	*	*	*	*	*	*
16/12/2011	1	0.001188635	0.000816302	0.007954183	0.00730191	0.02237206	0.028272146	0.005132041	0.022495008	0.002778791	0.0755	0.8028	0.8085	0.1824	1.2073	0.5842	0.3470	1.5303	0.4002	5.8800	6.1100	6.2200	6.4700	5.7200	6.0700	5.9000	6.0700	5.9100
23/12/2011	1	-1.23691E-05	0.001806649	0.008452317	0.002351959	0.019704157	0.014618388	0.005143361	0.025670325	0.025070443	0.0755	0.8046	0.8170	0.1848	1.2270	0.5988	0.3522	1.5560	0.4253	*	*	*	*	*	*	*	*	*
12/01/2012	1	0.001660952	0.000774018	0.001168212	0.000797225	0.008636225	0.002771844	0.001714839	0.013331277	0.005473539	0.0772	0.8053	0.8181	0.1856	1.2356	0.6016	0.3539	1.5693	0.4308	*	*	*	*	*	*	*	*	*
19/01/2012	1	0.001222333	0.002241423	0.003593493	0.000689415	0.006122687	-0.005476154	0.001403386	0.012145258	0.005318339	0.0784	0.8076	0.8217	0.1863	1.2418	0.5961	0.3553	1.5815	0.4361	6.3000	5.6900	6.2000	5.3400	5.9800	6.5400	5.3100	5.3200	5.3800
26/01/2012	1	0.001587465	0.001347365	0.001993271	0.000577641	0.006584613	0.002657849	0.000645491	0.011610844	0.006716675	0.0800	0.8089	0.8237	0.1869	1.2484	0.5987	0.3560	1.5931	0.4428	*	*	*	*	*	*	*	*	*
9/02/2012	1	0.000453905	0.002832026	0.002692223	0.000523748	0.005867431	0.003231674	0.003963297	0.008980689	0.006480214	0.0804	0.8118	0.8264	0.1874	1.2542	0.6020	0.3599	1.6020	0.4493	*	*	*	*	*	*	*	*	*
16/02/2012	1	0.008875314	0.006655841	0.017804857	0.006246288	0.013664745	0.009883168	0.006871859	0.015962612	0.018200522	0.0893	0.8184	0.8442	0.1936	1.2679	0.6118	0.3668	1.6180	0.4675	*	*	*	*	*	*	*	*	*
28/02/2012	1	0.000210208	0.00138131	0.000728706	0.000521046	0.003227224	0.001627958	0.003280845	0.004641629	0.000459717	0.0895	0.8198	0.8450	0.1942	1.2711	0.6135	0.3701	1.6226	0.4679	*	*	*	*	*	*	*	*	*
23/02/2011	2	0.002862304	-2.67595E-05	0.000409424	0.006255894	0.004077733	0.002074452	0.006087843	0.007417253	0.010169814	0.0029	0.0000	0.0004	0.0063	0.0041	0.0021	0.0061	0.0074	0.0102	*	*	*	*	*	*	*	*	*
25/02/2011	2	0.001577439	0.002833638	0.001437868	0.006718034	0.002822757	0.003197887	0.00387746	0.003305983	0.004237826	0.0044	0.0028	0.0018	0.0130	0.0069	0.0053	0.0100	0.0107	0.0144	*	*	*	*	*	*	*	*	*
1/03/2011	2	0.001621994	0.00109628	0.001079641	0.004457319	0.003007583	0.001601413	0.003337773	0.002509627	0.00229953	0.0061	0.0039	0.0029	0.0174	0.0099	0.0069	0.0133	0.0132	0.0167	*	*	*	*	*	*	*	*	*
4/03/2011	2	0.002704426	0.001725936	0.003627078	0.006742319	0.002452027	0.000776363	0.002181171	0.00177968	0.001511124	0.0088	0.0056	0.0066	0.0242	0.0124	0.0077	0.0155	0.0150	0.0182	*	*	*	*	*	*	*	*	*
10/03/2011	2	0.002204401	0.002489286	0.001974157	0.003529297	0.002755367	0.002438274	0.003131573	0.003175125	0.001925392	0.0110	0.0081	0.0085	0.0277	0.0151	0.0101	0.0186	0.0182	0.0201	*	*	*	*	*	*	*	*	*
16/03/2011	2	0.002229593	0.002914146	0.000916709	0.003854311	0.002657921	0.001953289	0.002347116	0.002266733	0.001537855	0.0132	0.0110	0.0094	0.0316	0.0178	0.0120	0.0210	0.0205	0.0217	*	*	*	*	*	*	*	*	*
28/03/2011	2	0.003861173	0.005383303	0.005550273	0.005179796	0.004547481	0.006016598	0.003466208	0.004938911	0.003574418	0.0171	0.0164	0.0150	0.0367	0.0223	0.0181	0.0244	0.0254	0.0253	*	*	*	*	*	*	*	*	*
29/03/2011	2	0.003163952	0.00353923	0.003059351	0.007223742	0.006498566	0.009399112	0.007828445	0.005556343	0.005305694	0.0202	0.0200	0.0181	0.0440	0.0288	0.0275	0.0323	0.0309	0.0306	*	*	*	*	*	*	*	*	*
31/03/2011	2	0.001478377	0.002281368	0.001643508	0.003770175	0.00429194	0.004256052	0.003928557	0.004265812	0.004010961	0.0217	0.0222	0.0197	0.0477	0.0331	0.0317	0.0362	0.0352	0.0346	*	*	*	*	*	*	*	*	*
5/04/2011	2	0.003760466	0.001646666	0.003294446	0.004998249	0.004712644	0.000370145	0.004884259	0.00614627	0.003994711	0.0255	0.0239	0.0230	0.0527	0.0378	0.0321	0.0411	0.0414	0.0386	*	*	*	*	*	*	*	*	*
8/04/2011	2	0.001598943	0.000123144	0.002554221	0.005396029	0.003016823	0.001153194	0.002674284	0.001772653	0.005586773	0.0271	0.0240	0.0255	0.0581	0.0408	0.0332	0.0437	0.0431	0.0442	*	*	*	*	*	*	*	*	*
14/04/2011	2	0.001693236	0.002365804	0.002128045	0.001753308	0.002247005	0.001739421	0.002036971	0.003785694	0.001873181	0.0288	0.0264	0.0277	0.0599	0.0431	0.0350	0.0458	0.0469	0.0460	*	*	*	*	*	*	*	*	*
21/04/2011	2	0.000805757	0.001203217	0.001882943	0.002377104	0.001275651	0.001143135	0.001291803	0.001155584	0.000760515	0.0296	0.0276	0.0296	0.0623	0.0444	0.0361	0.0471	0.0481	0.0468	*	*	*	*	*	*	*	*	*
28/04/2011	2	0.001432992	0.001022458	0.00055627	0.001773421	0.000740079	0.000538082	0.00050485	0.001051952	0.00026083	0.0310	0.0286	0.0301	0.0640	0.0451	0.0367	0.0476	0.0491	0.0470	*	*	*	*	*	*	*	*	*
5/05/2011	2	0.002850018	0.062068507	0.002085529	0.009092051	0.025107804	0.010899619	0.011839908	0.024777542	0.006237334	0.0338	0.0907	0.0322	0.0731	0.0702	0.0476	0.0594	0.0739	0.0533	*	*	*	*	*	*	*	*	*
10/05/2011	2	0.00141537	0.063853054	0.001132178	0.003329786	0.046735525	0.003793566	0.006192587	0.047972521	0.003000971	0.0353	0.1545	0.0333	0.0765	0.1169	0.0514	0.0656	0.1219	0.0563	*	*	*	*	*	*	*	*	*
12/05/2011	2	0.002297166	0.190160988	0.055780014	0.004171951	0.171719617	0.002845659	0.010037851	0.161858393	0.007666023	0.0376	0.3447	0.0891	0.0806	0.2887	0.0542	0.0756	0.2837	0.0640	*	*	*	*	*	*	*	*	*
17/05/2011	2	0.001768108	0.142515404	0.000162244	0.002191257	0.148671642	0.003262799	0.004533018	0.121885127	0.002456791	0.0393	0.4872	0.0893	0.0828	0.4373	0.0575	0.0802	0.4056	0.0664	*	*	*	*	*	*	*	*	*
19/05/2011	2	0.000871085	0.04171079	0.00072843	0.001577402	0.044172911	0.001752424	0.00117773	0.039059738	0.001355952	0.0402	0.5289	0.0900	0.0844	0.4815	0.0592	0.0814	0.4447	0.0678	*	*	*	*	*	*	*	*	*
27/05/2011	2	0.002198602	0.002339527	0.127925584	0.076821219	0.00084165	0.00127222	0.00298822	0.002327426	0.05224632	0.0424	0.5312	0.2179	0.1612	0.4824	0.0605	0.0843	0.4470	0.1200	*	*	*	*	*	*	*	*	*
1/06/2011	2	-1.79523E-05	0.017793174	0.000422676	0.001915641	0.027233615	0.002675949	0.002620587	0.025787282	0.00316335	0.0424	0.5490	0.2184	0.1631	0.5096	0.0632	0.0870	0.4728	0.1232	*	*	*	*	*	*	*	*	*
3/06/2011	2	7.68411E-05	0.011535556	0.000404011	0.001610571	0.020822348	0.001585151	0.001828103	0.016727132	0.0014419	0.0425	0.5606	0.2188	0.1647	0.5304	0.0647	0.0888	0.4895	0.1246	*	*	*	*	*	*	*	*	*
7/06/2011	2	0.002619642	0.0180683	0.001273262	0.005929408	0.027895496	0.007162575	0.008927651	0.030149539	0.007109196	0.0451	0.5786	0.2200	0.1707	0.5583	0.0719	0.0977	0.5197	0.1317	*	*	*	*	*	*	*	*	*
9/06/2011	2	0.000569396	0.024676371	0.000480569	0.00239136	0.036397286	0.002667364	0.007144753	0.030475178	0.006587708	0.0456	0.6033	0.2205	0.1731	0.5947	0.0746	0.1049	0.5501	0.1383	*	*	*	*	*	*	*	*	*
16/06/2011	2	0.000368844	0.007452886	0.000900349	0.000925922	0.011979959	0.000237578	0.002229618	0.009319615	0.000485215	0.0460	0.6108	0.2214	0.1740	0.6067	0.0748	0.1071	0.5595	0.1388	*	*	*	*	*	*	*	*	*
23/06/2011	2	-1.27197E-05	0.005315613	8.4988E-05	0.000774429	0.006196328	0.000331904	0.001853592	0.007151968	0.00161828	0.0460	0.6161	0.2215	0.1748	0.6129	0.0751	0.1090	0.5666	0.1404	*	*	*	*	*	*	*	*	*
30/06/2011	2	0.001822395	0.00416951	0.00494178	0.00143918	0.005447099	0.001456395	0.004448484	0.006537107	0.002093872	0.0478	0.6203	0.2264	0.1762	0.6183	0.0766	0.1134	0.5732	0.1425	*	*	*	*	*	*	*	*	*
8/07/2011	2	0.004002875	0.007207769	0.000511027	0.001696059	0.010941185	0.000726948	0.002182311	0.009692085	0.006220932	0.1005	1.2482	0.4538	0.3549	1.2508	0.1538	0.2302	1.1606	0.2958	6.0800	6.0500	5.9900	6.0400	5.7500	5.9700	6.2700	5.8000	5.9700
28/07/2011	2	0.0005501	0.006961783	0.000267906	0.000192059	0.009035426	0.000715213	0.001776673	0.008365114	0.000956605	0.0524	0.6344	0.2272	0.1781	0.6383	0.0780	0.1174	0.5912	0.1497	5.6700	5.9200	5.5800	5.8200	5.7100	5.6300	5.8700	5.6400	5.8000
4/08/2011	2	0.000152734	0.010952672	0.000539325	0.000273719	0.012530061	0.001586061	0.000811513	0.008557594	5.57609E-05	0.0525	0.6454	0.2278	0.1784	0.6508	0.0796	0.1182	0.5998	0.1497	5.7500	6.5700	5.7000	5.4600	5.4700	5.6300	6.1800	5.6400	5.7600
11/08/2011	2	0.000635672	0.01043288	0.000635267	0.001673864	0.011675417	0.000836624	0.001470457	0.008023048	0.001401976	0.0532	0.6558	0.2284	0.1800	0.6625	0.0805	0.1196	0.6078	0.1511	5.9300	5.9700	5.7700	5.8300	5.6300	5.7400	6.0700	6.4100	5.4800
17/08/2011	2	0.001405127	0.015523024	0.001338263	0.003503781	0.016698985	0.007567768	0.001213767	0.010024552	0.00177731	0.0546	0.6713	0.2297	0.1835	0.6792	0.0880	0.1209	0.6178	0.1529	5.6900	5.9100	5.7500	5.6700	5.7900	5.7600	5.8200	5.5400	5.5200
24/08/2011	2	0.000368097	0.00158232	0.000158735	0.001019062	0.016723902	0.000439167	0.000888547	0.011940491	0.000316356	0.0549	0.6729	0.2299	0.1846	0.6959	0.0885	0.1217	0.6298	0.1532	*	*	*	*	*	*	*	*	*
1/09/2011	2	0.000154519	0.010220234	0.004250219	0.001898953	0.018124682	0.005077603	0.003673634	0.014265976	0.00426517	0.0551	0.6831	0.2341	0.1865	0.7141	0.0936	0.1254	0.6440	0.1575	6.1800	6.4000	7.7400	6.8000	6.8800	7.9200	7.6500	7.6000	7.8500
5/09/2011	2	9.84646E-05	0.028256893	0.019868616	0.003636094	0.014280056	0.024393605	0.002142665	0.015003127	0.030054904	0.0552	0.7114	0.2540	0.1901	0.7283	0.1179	0.1276	0.6590	0.1876	5.9100	5.9300	7.1000	6.2000	5.7800	6.8700	6.4100	6.2900	6.7800
8/09/2011	2	0.000601967	0.011866876	0.02644595	0.004757149	0.018428417	0.037156171	0.000564757	0.018528842	0.030675352	0.0558	0.7233	0.2805	0.1948	0.7468	0.1551	0.1281	0.6776	0.2182	5.7700	5.7300	7.5000	5.9600	6.0700	6.1700	5.7800	6.1700	5.7100
13/09/2011	2	0.022820412	0.006629342	0.073797906	0.004470706	0.01269896	0.068987068	0.037418571	0.030599863	0.062366136	0.0786	0.7299	0.3542	0.1993	0.7595	0.2241	0.1655	0.7082	0.2806	5.7100	5.5100	7.0100	6.0300	5.8600	5.3000	5.7700	6.3200	5.9000
22/09/2011	2	0.001246329	0.01329194	0.011214349	0.006407325	0.024120595	0.017835646	0.002821191	0.0165192	0.022117295	0.0799	0.7432	0.3655	0.2057	0.7836	0.2419	0.1684	0.7247	0.3027	*	*	*	*	*	*	*	*	*
29/09/2011	2	0.001616998	0.015598718	0.029076878	0.004466414	0.021251952	0.030523683	0.005227611	0.016955611	0.017824682	0.0815	0.7588	0.3945	0.2102	0.8048	0.2724	0.1736	0.7416	0.3205	5.9700	7.0300	5.9800	6.0900	6.0600	6.5300	6.4300	5.8200	6.3300
3/10/2011	2	0.003518352	0.010143903	0.088208753	0.005896451	0.017404922	0.057489423	0.023408905	0.013634486	0.118126905	0.0850	0.7689	0.4827	0.2161	0.8222	0.3299	0.1970	0.7553	0.4387	6.1000	6.3400	7.0600	7.1500	5.7300	6.1700	6.8600	6.6800	6.2000
6/10/2011	2	0.001447224	0.010113456	0.02627478	0.012340081	0.019677525	0.028834397	0.006144017	0.016786494	0.034322723	0.0864	0.7790	0.5090	0.2284	0.8419	0.3588	0.2031	0.7721	0.4730	5.7500	6.2300	7.0600	6.1500	5.8100	5.8300	6.0800	6.0900	6.4200
