ApsimVersion = 7.10 r0
format = csv
precision = 8
Title = bmw108
Date,DaysAfterSowing,Stage,Biomass,GreenWt,BiomassWt,RootGreenWt,LeafGreenWt,StemGreenWt,RachisGreenWt,GrainGreenWt,biomass_n,RootGreenN,LeafGreenN,StemGreenN,RachisGreenN,GrainGreenN,GrainGreenNConc,GrainNo,GrainSize,LeafNo,LAI,SLAI,ESW,SLN,WaterSD,HI,TPLA,SPLA,Height,DeltaTT,nfact_pheno,swdef_pheno,cover_green,cover_tot,sw_supply,sw_uptake(1),sw_uptake(2),sw_uptake(3),sw_uptake(4),sw_uptake(5),sw_uptake(6),sw_uptake(7),sw_uptake(8),sum(sw_uptake),RootDepth,n_total_uptake,n_massflow_uptake,n_diffusion_uptake,n_sd_ratio,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3_demand,n_supply_soil
(dd/mm/yyyy),(days),(),(kg/ha),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(%),(grains/m^2),(g/1000grain),(leaves),(m2/m2),(m2/m2),(),(g(N)/m2),(),(),(m2),(m2),(mm),(oCd),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(g/m^2),(g/m^2),(g/m^2),(),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(g/m^2),(g/m^2)
08/11/1985,11,4.24512200,14.94054100,2.85952600,1.49405000,1.36921500,1.39483800,0.09547400,0.00000000,0.00000000,0.06813900,0.01135500,0.06495500,0.00281500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.62963800,0.04452300,0.00030800,57.73169300,1.45892100,1.00000000,0.00000000,73.71347500,0.50992300,0.32787000,12.25993700,1.00000000,1.00000000,0.02201600,0.02216600,1.35348100,0.01185500,0.01993500,0.01482500,0.00010100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.04671500,337.04591100,0.01868600,0.00378500,0.01490100,0.55634000,0.18281500,0.21199800,0.21620300,0.19421500,0.21078100,0.22467300,0.22688700,0.22136200,25.17268600,16.13771100,9.02150100,18.62051000,17.77414900,17.69040300,9.32744700,9.39699300,0.03358700,0.01868600
08/11/1985,11,4.24512200,14.94054100,2.85952600,1.49405000,1.36921500,1.39483800,0.09547400,0.00000000,0.00000000,0.06813900,0.01135500,0.06495500,0.00281500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.62963800,0.04452300,0.00030800,57.73169300,1.45892100,1.00000000,0.00000000,73.71347500,0.50992300,0.32787000,12.25993700,1.00000000,1.00000000,0.02201600,0.02216600,1.35348100,0.01185500,0.01993500,0.01482500,0.00010100,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.04671500,337.04591100,0.01868600,0.00378500,0.01490100,0.55634000,0.18281500,0.21199800,0.21620300,0.19421500,0.21078100,0.22467300,0.22688700,0.22136200,25.17268600,16.13771100,9.02150100,18.62051000,17.77414900,17.69040300,9.32744700,9.39699300,0.03358700,0.01868600
09/11/1985,12,4.35845100,20.66828000,3.98828200,2.06683000,1.93925100,1.92715000,0.12188200,0.00000000,0.00000000,0.08481100,0.01647200,0.08058600,0.00339000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.81825200,0.05461000,0.00070600,57.29857100,1.47566100,1.00000000,0.00000000,90.41349700,1.16926800,0.39517200,11.97189500,1.00000000,1.00000000,0.02693500,0.02727900,1.35358500,0.01343400,0.02314300,0.01867500,0.00032400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.05557600,349.25701000,0.02181200,0.00445300,0.01735900,0.55684000,0.18076400,0.21022700,0.21476200,0.19472200,0.21077900,0.22457000,0.22680500,0.22146200,25.37114500,15.97112300,8.95105700,18.72138200,17.84161200,17.75617400,9.40019300,9.48018900,0.03917200,0.02181200
09/11/1985,12,4.35845100,20.66828000,3.98828200,2.06683000,1.93925100,1.92715000,0.12188200,0.00000000,0.00000000,0.08481100,0.01647200,0.08058600,0.00339000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.81825200,0.05461000,0.00070600,57.29857100,1.47566100,1.00000000,0.00000000,90.41349700,1.16926800,0.39517200,11.97189500,1.00000000,1.00000000,0.02693500,0.02727900,1.35358500,0.01343400,0.02314300,0.01867500,0.00032400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.05557600,349.25701000,0.02181200,0.00445300,0.01735900,0.55684000,0.18076400,0.21022700,0.21476200,0.19472200,0.21077900,0.22457000,0.22680500,0.22146200,25.37114500,15.97112300,8.95105700,18.72138200,17.84161200,17.75617400,9.40019300,9.48018900,0.03917200,0.02181200
10/11/1985,13,4.47599100,29.52896700,5.73424200,2.95290000,2.82144100,2.74063100,0.17217000,0.00000000,0.00000000,0.10484000,0.02429000,0.09878300,0.00457900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00243500,0.06556800,0.00124000,62.68793500,1.50656700,1.00000000,0.00000000,108.55689600,2.05251600,0.50447700,12.41663900,1.00000000,1.00000000,0.03225300,0.03285200,1.81306700,0.03514200,0.03729600,0.02689500,0.00091500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.10024800,361.76988600,0.02788000,0.00790600,0.01997400,0.58260200,0.21909500,0.22394200,0.21530300,0.19523400,0.21077900,0.22447000,0.22672600,0.22156000,23.92743300,17.20934500,9.02202700,18.80868900,17.89499100,17.80780800,9.45868500,9.54905900,0.04785400,0.02788000
10/11/1985,13,4.47599100,29.52896700,5.73424200,2.95290000,2.82144100,2.74063100,0.17217000,0.00000000,0.00000000,0.10484000,0.02429000,0.09878300,0.00457900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00243500,0.06556800,0.00124000,62.68793500,1.50656700,1.00000000,0.00000000,108.55689600,2.05251600,0.50447700,12.41663900,1.00000000,1.00000000,0.03225300,0.03285200,1.81306700,0.03514200,0.03729600,0.02689500,0.00091500,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.10024800,361.76988600,0.02788000,0.00790600,0.01997400,0.58260200,0.21909500,0.22394200,0.21530300,0.19523400,0.21077900,0.22447000,0.22672600,0.22156000,23.92743300,17.20934500,9.02202700,18.80868900,17.89499100,17.80780800,9.45868500,9.54905900,0.04785400,0.02788000
11/11/1985,14,4.59431900,40.98508400,7.99389400,4.09851000,3.96141000,3.78239700,0.25008800,0.00000000,0.00000000,0.12822600,0.03467000,0.11962900,0.00646100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.19346100,0.07834600,0.00177700,58.31073600,1.52692100,1.00000000,0.00000000,129.71251700,2.94169200,0.71262600,12.49997200,1.00000000,1.00000000,0.03841600,0.03927000,1.48963300,0.02778300,0.05579300,0.04411700,0.00262000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.13031200,374.57047800,0.03381400,0.01003600,0.02377700,0.58713500,0.17942100,0.21916500,0.21486300,0.19572200,0.21078100,0.22437000,0.22664800,0.22165700,24.17272200,16.77499200,9.00516100,18.87731700,17.93830300,17.84906400,9.50636800,9.60680900,0.05759100,0.03381400
11/11/1985,14,4.59431900,40.98508400,7.99389400,4.09851000,3.96141000,3.78239700,0.25008800,0.00000000,0.00000000,0.12822600,0.03467000,0.11962900,0.00646100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.19346100,0.07834600,0.00177700,58.31073600,1.52692100,1.00000000,0.00000000,129.71251700,2.94169200,0.71262600,12.49997200,1.00000000,1.00000000,0.03841600,0.03927000,1.48963300,0.02778300,0.05579300,0.04411700,0.00262000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.13031200,374.57047800,0.03381400,0.01003600,0.02377700,0.58713500,0.17942100,0.21916500,0.21486300,0.19572200,0.21078100,0.22437000,0.22664800,0.22165700,24.17272200,16.77499200,9.00516100,18.87731700,17.93830300,17.84906400,9.50636800,9.60680900,0.05759100,0.03381400
12/11/1985,15,4.71315400,52.85541200,10.33187700,5.28554000,5.14052000,4.84569500,0.34566200,0.00000000,0.00000000,0.15498100,0.04630100,0.14311200,0.00906400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.38576800,0.09281000,0.00231600,66.83166300,1.54199500,1.00000000,0.00000000,153.65825800,3.83466900,1.03513300,12.55341000,1.00000000,1.00000000,0.04534500,0.04644900,2.19342700,0.05547300,0.05739600,0.04068100,0.00354400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.15709400,387.76307500,0.03845600,0.01149400,0.02696100,0.58785500,0.23626300,0.23960100,0.22134800,0.19638700,0.21078600,0.22427100,0.22657100,0.22175100,21.82122600,18.32677300,9.52260500,18.95749500,17.97396700,17.88252100,9.54591800,9.65622500,0.06541700,0.03845600
12/11/1985,15,4.71315400,52.85541200,10.33187700,5.28554000,5.14052000,4.84569500,0.34566200,0.00000000,0.00000000,0.15498100,0.04630100,0.14311200,0.00906400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.38576800,0.09281000,0.00231600,66.83166300,1.54199500,1.00000000,0.00000000,153.65825800,3.83466900,1.03513300,12.55341000,1.00000000,1.00000000,0.04534500,0.04644900,2.19342700,0.05547300,0.05739600,0.04068100,0.00354400,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.15709400,387.76307500,0.03845600,0.01149400,0.02696100,0.58785500,0.23626300,0.23960100,0.22134800,0.19638700,0.21078600,0.22427100,0.22657100,0.22175100,21.82122600,18.32677300,9.52260500,18.95749500,17.97396700,17.88252100,9.54591800,9.65622500,0.06541700,0.03845600
