ApsimVersion = 7.10 rfe34a9f26db4a824bcfbc8bf7b5866b27e75688a
precision = 8
Title = Maize_Exp1 3N Yr1_1
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            SLN        WaterSD             HI           TPLA           SPLA         Height    cover_green      cover_tot      sw_supply      RootDepth            NO3    nfact_photo          Yield     GrainYield            RUE             TE          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)            vpd     transp_eff       sw_avail
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()      (g(N)/m2)             ()             ()           (m2)           (m2)           (mm)             ()             ()           (mm)           (mm)        (kg/ha)             ()        (kg/ha)             ()             ()             ()        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)             ()         (g/m2)           (mm)
     11/03/1999              21     5.07119300   240.09839300    39.86933800    24.00984000    16.19356900    19.24029800     3.97879700     0.45667400     0.00000000     0.60146000     0.15725200     0.48063400     0.10726800     0.00248600     0.00000000      0.00000000     0.00000000     0.00000000     4.59760100     0.30728100     0.00748800   282.90334700     1.56415100     1.00000000     0.00000000   458.62833400    11.17611600    11.32662100     0.14242000     0.14562500    10.09993900   709.51468500    55.95261000     0.96361800     0.00000000     0.00000000     4.42674700    56.09470200     0.35301500     0.42642600     0.46075500     0.45021500     0.41798900     0.43432300     0.40735200     1.62046400     5.55396400   114.48410200
     12/03/1999              22     5.10101800   283.41213400    45.52342400    28.34121000    17.59053500    22.29404400     4.97759800     0.66124800     0.00000000     0.70789800     0.17211800     0.55389200     0.13714100     0.00394900     0.00000000      0.00000000     0.00000000     0.00000000     4.84460100     0.35259100     0.00866200   278.17005200     1.57091800     1.00000000     0.00000000   526.25572900    12.92889400    14.84625900     0.16163000     0.16525300    10.25270800   742.51468500    54.68402500     0.96441600     0.00000000     0.00000000     4.33137400    68.46890300     0.34915900     0.42503000     0.45892300     0.44722300     0.41478500     0.43146100     0.40558500     1.34768300     6.67812900   118.94102000
     13/03/1999              23     5.13042200   344.23049600    53.50127300    34.42305000    19.56236000    26.47973600     6.48847300     0.97070400     0.00000000     0.83679900     0.19020900     0.63820700     0.17776800     0.00608100     0.00000000      0.00000000     0.00000000     0.00000000     5.10060100     0.40438700     0.00982000   273.89545400     1.57820600     1.00000000     0.00000000   603.56323000    14.65691900    18.57312800     0.18306300     0.18706500    10.49077600   775.51468500    53.17959200     0.96525700     0.00000000     0.00000000     6.08183600    61.56911200     0.34527500     0.42304900     0.45663300     0.44480200     0.41186600     0.42858300     0.40348400     1.53351200     5.86888100   123.57182200
     14/03/1999              24     5.16017600   419.54846600    63.39926700    41.95485000    22.00872800    31.51108800     8.49730000     1.38215000     0.00000000     0.98962100     0.21243600     0.73106200     0.23286600     0.00909100     0.00000000      0.00000000     0.00000000     0.00000000     5.35298600     0.46047200     0.01099200   269.56293900     1.58763400     1.00000000     0.00000000   687.27232400    16.40548400    24.21072000     0.20565400     0.21000800    10.80349000   808.51468500    51.41595800     0.96631600     0.00000000     0.00000000     7.53179700    56.80137100     0.34134900     0.42053200     0.45371500     0.44281500     0.40931500     0.42580200     0.40118000     1.71177900     5.25768700   127.84800800
     15/03/1999              25     5.18999200   506.79053400    74.87493100    50.67905000    24.84369900    37.16148400    10.97924700     1.89050100     0.00000000     1.16741600     0.23873000     0.83345500     0.30248900     0.01299500     0.00000000      0.00000000     0.00000000     0.00000000     5.60837100     0.52240300     0.01216600   265.17064300     1.59542600     1.00000000     0.00000000   779.70579800    18.15773500    31.70634500     0.22987400     0.23454500    11.19143800   841.51468500    49.38208400     0.96716700     0.00000000     0.00000000     8.72420700    54.79222800     0.33742000     0.41762100     0.45033900     0.44101200     0.40711200     0.42319500     0.39878400     1.83827100     4.89590600   131.79570600
     16/03/1999              26     5.22018500   596.74286100    86.70263800    59.67429000    27.76243800    42.79570400    13.69728700     2.44720800     0.00000000     1.36520600     0.26738100     0.94452900     0.38270300     0.01759400     0.00000000      0.00000000     0.00000000     0.00000000     5.86429400     0.58977000     0.01335500   260.76175700     1.60152100     1.00000000     0.00000000   880.25309800    19.93210700    40.96734200     0.25538300     0.26033800    11.66004900   874.51468500    47.14339800     0.96781800     0.00000000     0.00000000     8.99523300    51.85151700     0.33356900     0.41453300     0.44676500     0.43927600     0.40519100     0.42079400     0.39638700     2.02386400     4.44693800   135.48152700
     17/03/1999              27     5.25091600   661.26130500    95.14292600    66.12613000    29.83602200    46.67874000    15.75873200     2.86943200     0.00000000     1.55995100     0.29202100     1.06268800     0.45319500     0.02174900     0.00000000      0.00000000     0.00000000     0.00000000     6.12344700     0.66339800     0.01456500   256.43217500     1.60188700     1.00000000     0.00000000   990.14560100    21.73808000    51.10928000     0.28229700     0.28750400    12.21383800   907.51468500    44.98814800     0.96785700     0.00000000     0.00000000     6.45184400    80.56553100     0.33054900     0.41294200     0.44490400     0.43852000     0.40363300     0.41864600     0.39406500     1.36441200     6.59625000   138.95733000
     18/03/1999              28     5.28096500   734.50272700   104.74332700    73.45027000    32.19331700    50.95099500    18.22453900     3.37447600     0.00000000     1.76973300     0.31676600     1.19227300     0.52704300     0.02620100     0.00000000      0.00000000     0.00000000     0.00000000     6.38721700     0.74392100     0.01574800   253.44596500     1.60268800     1.00000000     0.00000000  1110.33012100    23.50402500    58.80123900     0.31061900     0.31602500    12.84178700   940.51468500    42.68901100     0.96794100     0.00000000     0.00000000     7.32414200    92.95537100     0.32767100     0.41138100     0.44310300     0.43757000     0.40254300     0.41681500     0.39189000     1.24335000     7.23850700   143.21783700
     19/03/1999              29     5.30672200   816.99046200   115.58170400    81.69905000    34.85102600    55.61677000    21.14190000     3.97200800     0.00000000     1.94353600     0.33670900     1.31180000     0.57668200     0.02923300     0.00000000      0.00000000     0.00000000     0.00000000     6.64514000     0.82819000     0.01676200   250.69707900     1.58393600     1.00000000     0.00000000  1236.10497400    25.01770200    68.00201400     0.33906200     0.34457800    12.94998300   973.51468500    40.80043400     0.96590500     0.00000000     0.00000000     8.24877300    82.40357900     0.32477200     0.40951100     0.44094300     0.43626000     0.40177200     0.41530500     0.38991400     1.41437800     6.36321900   146.74668500
     20/03/1999              30     5.33438800   882.24349900   124.11940700    88.22435000    36.93467400    59.16330700    23.55514000     4.46628600     0.00000000     2.12409600     0.35655300     1.42853300     0.63514200     0.03287900     0.00000000      0.00000000     0.00000000     0.00000000     6.86621800     0.90454900     0.01785100   247.90390000     1.57927600     1.00000000     0.00000000  1350.07342500    26.64355100    78.88768800     0.36382100     0.36947400    12.93618200  1006.51468500    38.84580600     0.96537900     0.00000000     0.00000000     6.52530400   114.85483300     0.32225300     0.40830700     0.43960700     0.43553900     0.40122000     0.41408500     0.38816600     1.01367600     8.87857300   149.97486700
     21/03/1999              31     5.36405200   985.81615800   137.69609900    98.58162000    40.27870200    64.61300700    27.52500000     5.27939000     0.00000000     2.30978700     0.37827000     1.55007300     0.69267400     0.03651000     0.00000000      0.00000000     0.00000000     0.00000000     7.10368000     0.98963500     0.01976000   245.88075600     1.56630700     1.00000000     0.00000000  1477.06795200    29.49199300    87.89231900     0.39031800     0.39631200    12.98160000  1039.51468500    36.82339500     0.96387400     0.00000000     0.00000000    10.35726600    80.29006300     0.31939400     0.40604200     0.43699500     0.43380200     0.40074000     0.41311600     0.38665100     1.45515400     6.18491300   153.76274600
     22/03/1999              32     5.39861400  1133.02061600   157.00524300   113.30206000    45.05589200    72.09775600    33.37418000     6.47741500     0.00000000     2.51501800     0.40442100     1.68057400     0.75878900     0.04073100     0.00000000      0.00000000     0.00000000     0.00000000     7.35829500     1.08419200     0.02259400   243.09706100     1.55007000     1.00000000     0.00000000  1618.19729500    33.72258300   102.70522300     0.41847200     0.42500500    13.00949300  1072.51468500    34.57228500     0.96189900     0.00000000     0.00000000    14.72044600    46.82306200     0.31556500     0.40110900     0.43116100     0.42949500     0.40000500     0.41233600     0.38535600     2.50059300     3.59914600   156.63330300
