SimulationName  Clock.Today  SCRUM.Product.Live.Wt  SCRUM.Product.LiveFWt  SCRUM.Product.Live.N  ExtraVariables.Script.AccumLeach  ExtraVariables.Script.SWC  ExtraVariables.Script.SoilNitrogenContent  Mean_MineralN  Treat  RotTreat  IrrigTreat  NitTreat
ABlockRotPP_W1_N2  2006-03-04  *  *  *  *  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2005-04-01  *  *  *  0  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2006-05-19  *  *  *  -17.93  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2006-06-09  *  *  *  -26.25  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2006-06-15  *  *  *  -49.01  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2006-06-27  *  *  *  -76.65  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2006-07-10  *  *  *  -82.83  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2006-07-25  *  *  *  -100.46  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2006-08-16  *  *  *  -113.18  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2006-08-25  *  *  *  -151.1  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2006-12-28  *  *  *  -151.1  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W1_N2  2007-01-11  *  *  *  -151.1  *  *  *  PP_W1_N2  PP  W1  N2
ABlockRotPP_W2_N0  2004-12-07  *  *  *  0  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2004-12-09  *  *  *  -6.03  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2004-12-23  *  *  *  -9.2  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-01-06  *  *  *  -10.78  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-01-20  *  *  *  -11.38  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-01-27  *  *  *  -12.23  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-02-03  *  *  *  -13.06  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-02-10  *  *  *  -15.33  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-02-24  *  *  *  -16.6  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-03-03  *  *  *  -21.71  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-03-04  *  *  *  *  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-04-01  *  *  *  0  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-07-22  *  *  *  -6.35  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-03-04  *  *  *  *  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2005-04-01  *  *  *  0  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-05-19  *  *  *  -7.84  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-06-09  *  *  *  -10.75  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-06-15  *  *  *  -20.87  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-06-27  *  *  *  -26.7  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-07-10  *  *  *  -30.79  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-07-25  *  *  *  -37.69  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-08-16  *  *  *  -42.06  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-08-25  *  *  *  -62.06  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2006-12-28  *  *  *  -62.06  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N0  2007-01-11  *  *  *  -62.06  *  *  *  PP_W2_N0  PP  W2  N0
ABlockRotPP_W2_N1  2004-12-07  *  *  *  0  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2004-12-09  *  *  *  -24.16  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2004-12-23  *  *  *  -35.02  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-01-06  *  *  *  -38.34  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-01-20  *  *  *  -40.73  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-01-27  *  *  *  -43.57  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-02-03  *  *  *  -45.27  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-02-10  *  *  *  -49.18  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-02-24  *  *  *  -50.83  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-03-03  *  *  *  -58.09  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-03-04  *  *  *  *  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-04-01  *  *  *  0  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-07-22  *  *  *  -7.13  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-03-04  *  *  *  *  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2005-04-01  *  *  *  0  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-05-19  *  *  *  -10.22  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-06-09  *  *  *  -14.68  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-06-15  *  *  *  -26.61  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-06-27  *  *  *  -36.98  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-07-10  *  *  *  -41.02  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-07-25  *  *  *  -51.09  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-08-16  *  *  *  -58.2  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-08-25  *  *  *  -79.22  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2006-12-28  *  *  *  -79.22  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N1  2007-01-11  *  *  *  -79.22  *  *  *  PP_W2_N1  PP  W2  N1
ABlockRotPP_W2_N2  2004-12-07  *  *  *  0  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2004-12-09  *  *  *  -34.71  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2004-12-23  *  *  *  -52.79  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-01-06  *  *  *  -58.97  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-01-20  *  *  *  -63.66  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-01-27  *  *  *  -71.32  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-02-03  *  *  *  -76.45  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-02-10  *  *  *  -89.64  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-02-24  *  *  *  -93.98  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-03-03  *  *  *  -108.18  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-03-04  *  *  *  *  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-04-01  *  *  *  0  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-07-22  *  *  *  -12.77  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-03-04  *  *  *  *  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2005-04-01  *  *  *  0  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-05-19  *  *  *  -16.84  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-06-09  *  *  *  -22.75  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-06-15  *  *  *  -38.21  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-06-27  *  *  *  -51.44  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-07-10  *  *  *  -56.22  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-07-25  *  *  *  -68.72  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-08-16  *  *  *  -76.33  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-08-25  *  *  *  -102.6  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2006-12-28  *  *  *  -102.6  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPP_W2_N2  2007-01-11  *  *  *  -102.6  *  *  *  PP_W2_N2  PP  W2  N2
ABlockRotPW_W1_N0  2004-12-07  *  *  *  0  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2004-12-09  *  *  *  -2.43  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2004-12-23  *  *  *  -4.37  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-01-06  *  *  *  -5.09  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-01-20  *  *  *  -5.35  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-01-27  *  *  *  -5.46  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-02-03  *  *  *  -5.51  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-02-10  *  *  *  -6.07  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-02-24  *  *  *  -6.29  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-03-03  *  *  *  -9.58  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-03-04  *  *  *  *  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-04-01  *  *  *  0  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-07-22  *  *  *  -2.05  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-03-04  *  *  *  *  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2005-04-01  *  *  *  0  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-05-19  *  *  *  -6.55  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-06-09  *  *  *  -8.52  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-06-15  *  *  *  -12.83  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-06-27  *  *  *  -16.11  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-07-10  *  *  *  -19.37  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-07-25  *  *  *  -24.1  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-08-16  *  *  *  -27.54  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-08-25  *  *  *  -50.05  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2006-12-28  *  *  *  -50.05  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N0  2007-01-11  *  *  *  -50.05  *  *  *  PW_W1_N0  PW  W1  N0
ABlockRotPW_W1_N1  2004-12-07  *  *  *  0  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2004-12-09  *  *  *  -14.8  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2004-12-23  *  *  *  -28.38  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-01-06  *  *  *  -31.43  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-01-20  *  *  *  -33.22  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-01-27  *  *  *  -33.73  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-02-03  *  *  *  -33.81  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-02-10  *  *  *  -34.91  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-02-24  *  *  *  -35.46  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-03-03  *  *  *  -39.99  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-03-04  *  *  *  *  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-04-01  *  *  *  0  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-07-22  *  *  *  -0.23  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-03-04  *  *  *  *  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2005-04-01  *  *  *  0  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-05-19  *  *  *  -10.34  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-06-09  *  *  *  -13.41  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-06-15  *  *  *  -20.99  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-06-27  *  *  *  -27.25  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-07-10  *  *  *  -31.17  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-07-25  *  *  *  -37.78  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-08-16  *  *  *  -42.32  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-08-25  *  *  *  -73.55  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2006-12-28  *  *  *  -73.55  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N1  2007-01-11  *  *  *  -73.55  *  *  *  PW_W1_N1  PW  W1  N1
ABlockRotPW_W1_N2  2004-12-07  *  *  *  0  *  *  *  PW_W1_N2  PW  W1  N2
ABlockRotPW_W1_N2  2004-12-09  *  *  *  -24.42  *  *  *  PW_W1_N2  PW  W1  N2
ABlockRotPW_W1_N2  2004-12-23  *  *  *  -39.65  *  *  *  PW_W1_N2  PW  W1  N2
ABlockRotPW_W1_N2  2005-01-06  *  *  *  -43.9  *  *  *  PW_W1_N2  PW  W1  N2
