Clock.Today	Irr	Nit	LightInterception	SimulationName
2015-11-17	Nil	0	0.54	Lincoln2015Nit0IrrNil
2015-11-17	Nil	50	0.50	Lincoln2015Nit50IrrNil
2015-11-17	Nil	250	0.73	Lincoln2015Nit250IrrNil
2015-11-17	Full	0	0.61	Lincoln2015Nit0IrrFull
2015-11-17	Full	50	0.60	Lincoln2015Nit50IrrFull
2015-11-17	Full	250	0.80	Lincoln2015Nit250IrrFull
2015-11-23	Nil	0	0.43	Lincoln2015Nit0IrrNil
2015-11-23	Nil	50	0.46	Lincoln2015Nit50IrrNil
2015-11-23	Nil	250	0.72	Lincoln2015Nit250IrrNil
2015-11-23	Full	0	0.53	Lincoln2015Nit0IrrFull
2015-11-23	Full	50	0.57	Lincoln2015Nit50IrrFull
2015-11-23	Full	250	0.80	Lincoln2015Nit250IrrFull
2015-11-30	Nil	0	0.40	Lincoln2015Nit0IrrNil
2015-11-30	Nil	50	0.47	Lincoln2015Nit50IrrNil
2015-11-30	Nil	250	0.73	Lincoln2015Nit250IrrNil
2015-11-30	Full	0	0.49	Lincoln2015Nit0IrrFull
2015-11-30	Full	50	0.60	Lincoln2015Nit50IrrFull
2015-11-30	Full	250	0.83	Lincoln2015Nit250IrrFull
2015-12-04	Nil	0	0.43	Lincoln2015Nit0IrrNil
2015-12-04	Nil	50	0.51	Lincoln2015Nit50IrrNil
2015-12-04	Nil	250	0.73	Lincoln2015Nit250IrrNil
2015-12-04	Full	0	0.51	Lincoln2015Nit0IrrFull
2015-12-04	Full	50	0.63	Lincoln2015Nit50IrrFull
2015-12-04	Full	250	0.85	Lincoln2015Nit250IrrFull
2015-12-07	Nil	0	0.35	Lincoln2015Nit0IrrNil
2015-12-07	Nil	50	0.43	Lincoln2015Nit50IrrNil
2015-12-07	Nil	250	0.66	Lincoln2015Nit250IrrNil
2015-12-07	Full	0	0.45	Lincoln2015Nit0IrrFull
2015-12-07	Full	50	0.57	Lincoln2015Nit50IrrFull
2015-12-07	Full	250	0.81	Lincoln2015Nit250IrrFull
2015-12-11	Nil	0	0.55	Lincoln2015Nit0IrrNil
2015-12-11	Nil	50	0.60	Lincoln2015Nit50IrrNil
2015-12-11	Nil	250	0.85	Lincoln2015Nit250IrrNil
2015-12-11	Full	0	0.67	Lincoln2015Nit0IrrFull
2015-12-11	Full	50	0.78	Lincoln2015Nit50IrrFull
2015-12-11	Full	250	0.96	Lincoln2015Nit250IrrFull
2015-12-14	Nil	0	0.38	Lincoln2015Nit0IrrNil
2015-12-14	Nil	50	0.42	Lincoln2015Nit50IrrNil
2015-12-14	Nil	250	0.67	Lincoln2015Nit250IrrNil
2015-12-14	Full	0	0.48	Lincoln2015Nit0IrrFull
2015-12-14	Full	50	0.61	Lincoln2015Nit50IrrFull
2015-12-14	Full	250	0.85	Lincoln2015Nit250IrrFull
2015-12-21	Nil	0	0.35	Lincoln2015Nit0IrrNil
2015-12-21	Nil	50	0.41	Lincoln2015Nit50IrrNil
2015-12-21	Nil	250	0.62	Lincoln2015Nit250IrrNil
2015-12-21	Full	0	0.44	Lincoln2015Nit0IrrFull
2015-12-21	Full	50	0.57	Lincoln2015Nit50IrrFull
2015-12-21	Full	250	0.83	Lincoln2015Nit250IrrFull
2015-12-30	Nil	0	0.45	Lincoln2015Nit0IrrNil
2015-12-30	Nil	50	0.51	Lincoln2015Nit50IrrNil
2015-12-30	Nil	250	0.74	Lincoln2015Nit250IrrNil
2015-12-30	Full	0	0.58	Lincoln2015Nit0IrrFull
2015-12-30	Full	50	0.70	Lincoln2015Nit50IrrFull
2015-12-30	Full	250	0.92	Lincoln2015Nit250IrrFull
2016-01-06	Nil	0	0.41	Lincoln2015Nit0IrrNil
2016-01-06	Nil	50	0.44	Lincoln2015Nit50IrrNil
2016-01-06	Nil	250	0.67	Lincoln2015Nit250IrrNil
2016-01-06	Full	0	0.51	Lincoln2015Nit0IrrFull
2016-01-06	Full	50	0.63	Lincoln2015Nit50IrrFull
2016-01-06	Full	250	0.88	Lincoln2015Nit250IrrFull
2016-01-11	Nil	0	0.33	Lincoln2015Nit0IrrNil
2016-01-11	Nil	50	0.41	Lincoln2015Nit50IrrNil
2016-01-11	Nil	250	0.62	Lincoln2015Nit250IrrNil
2016-01-11	Full	0	0.47	Lincoln2015Nit0IrrFull
2016-01-11	Full	50	0.62	Lincoln2015Nit50IrrFull
2016-01-11	Full	250	0.91	Lincoln2015Nit250IrrFull
2016-01-14	Nil	0	0.36	Lincoln2015Nit0IrrNil
2016-01-14	Nil	50	0.40	Lincoln2015Nit50IrrNil
2016-01-14	Nil	250	0.64	Lincoln2015Nit250IrrNil
2016-01-14	Full	0	0.52	Lincoln2015Nit0IrrFull
2016-01-14	Full	50	0.65	Lincoln2015Nit50IrrFull
2016-01-14	Full	250	0.94	Lincoln2015Nit250IrrFull
2016-01-19	Nil	0	0.41	Lincoln2015Nit0IrrNil
2016-01-19	Nil	50	0.43	Lincoln2015Nit50IrrNil
2016-01-19	Nil	250	0.61	Lincoln2015Nit250IrrNil
2016-01-19	Full	0	0.53	Lincoln2015Nit0IrrFull
2016-01-19	Full	50	0.65	Lincoln2015Nit50IrrFull
2016-01-19	Full	250	0.89	Lincoln2015Nit250IrrFull
2016-01-22	Nil	0	0.26	Lincoln2015Nit0IrrNil
2016-01-22	Nil	50	0.30	Lincoln2015Nit50IrrNil
2016-01-22	Nil	250	0.51	Lincoln2015Nit250IrrNil
2016-01-22	Full	0	0.37	Lincoln2015Nit0IrrFull
2016-01-22	Full	50	0.51	Lincoln2015Nit50IrrFull
2016-01-22	Full	250	0.81	Lincoln2015Nit250IrrFull
2016-01-25	Nil	0	0.39	Lincoln2015Nit0IrrNil
2016-01-25	Nil	50	0.43	Lincoln2015Nit50IrrNil
2016-01-25	Nil	250	0.62	Lincoln2015Nit250IrrNil
2016-01-25	Full	0	0.49	Lincoln2015Nit0IrrFull
2016-01-25	Full	50	0.60	Lincoln2015Nit50IrrFull
2016-01-25	Full	250	0.86	Lincoln2015Nit250IrrFull
2016-02-01	Nil	0	0.37	Lincoln2015Nit0IrrNil
2016-02-01	Nil	50	0.42	Lincoln2015Nit50IrrNil
2016-02-01	Nil	250	0.60	Lincoln2015Nit250IrrNil
2016-02-01	Full	0	0.43	Lincoln2015Nit0IrrFull
2016-02-01	Full	50	0.54	Lincoln2015Nit50IrrFull
2016-02-01	Full	250	0.78	Lincoln2015Nit250IrrFull
2016-02-09	Full	0	0.48	Lincoln2015Nit0IrrFull
2016-02-09	Full	50	0.57	Lincoln2015Nit50IrrFull
2016-02-09	Full	250	0.80	Lincoln2015Nit250IrrFull
