Index_Date_Plot_Organ	Index_Date_Plot	Clock.Today	HarvestNo	Growth_Stage	Plot	TreatNo	Block	Nit	Irr	Organ	DM_kgHa	N_Perc	Apsim_Var_name_Bio	Apsim_Var_name_N
42306_115_Leaf	42306_115	29/10/2015	1	22	115	2	3	0	Irrigated	Leaf	588.30	4.48	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_116_Leaf	42306_116	29/10/2015	1	22	116	1	3	0	Dryland	Leaf	508.93	4.17	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_117_Leaf	42306_117	29/10/2015	1	22	117	6	3	250	Irrigated	Leaf	334.10	4.59	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_118_Leaf	42306_118	29/10/2015	1	21	118	3	3	50	Dryland	Leaf	257.84	4.10	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_119_Leaf	42306_119	29/10/2015	1	21	119	4	4	50	Irrigated	Leaf	263.71	4.45	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_120_Leaf	42306_120	29/10/2015	1	22	120	3	4	50	Dryland	Leaf	315.83	4.37	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_121_Leaf	42306_121	29/10/2015	1	22	121	1	4	0	Dryland	Leaf	480.43	3.71	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_122_Leaf	42306_122	29/10/2015	1	22	122	2	4	0	Irrigated	Leaf	456.12	3.71	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_123_Leaf	42306_123	29/10/2015	1	22	123	6	4	250	Irrigated	Leaf	303.05	4.71	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_124_Leaf	42306_124	29/10/2015	1	22	124	5	4	250	Dryland	Leaf	300.81	4.56	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_101_Leaf	42327_101	19/11/2015	2	32	101	5	1	250	Dryland	Leaf	1279.96	4.43	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_102_Leaf	42327_102	19/11/2015	2	32	102	6	1	250	Irrigated	Leaf	1679.51	4.18	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_103_Leaf	42327_103	19/11/2015	2	32	103	2	1	0	Irrigated	Leaf	1460.81	3.89	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_104_Leaf	42327_104	19/11/2015	2	32	104	4	1	50	Irrigated	Leaf	1181.41	3.56	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_105_Leaf	42327_105	19/11/2015	2	32	105	1	1	0	Dryland	Leaf	379.00	2.67	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_106_Leaf	42327_106	19/11/2015	2	32	106	3	1	50	Dryland	Leaf	565.97	3.59	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_107_Leaf	42327_107	19/11/2015	2	32	107	4	2	50	Irrigated	Leaf	815.73	3.68	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_108_Leaf	42327_108	19/11/2015	2	32	108	1	2	0	Dryland	Leaf	369.17	2.90	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_109_Leaf	42327_109	19/11/2015	2	32	109	5	2	250	Dryland	Leaf	1637.02	4.23	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_110_Leaf	42327_110	19/11/2015	2	32	110	6	2	250	Irrigated	Leaf	2035.17	4.60	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_111_Leaf	42327_111	19/11/2015	2	32	111	2	2	0	Irrigated	Leaf	526.09	2.69	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_112_Leaf	42327_112	19/11/2015	2	32	112	3	2	50	Dryland	Leaf	756.35	3.50	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_113_Leaf	42327_113	19/11/2015	2	32	113	5	3	250	Dryland	Leaf	1366.19	4.48	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_114_Leaf	42327_114	19/11/2015	2	32	114	4	3	50	Irrigated	Leaf	729.44	3.24	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_115_Leaf	42327_115	19/11/2015	2	32	115	2	3	0	Irrigated	Leaf	1104.28	3.37	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_116_Leaf	42327_116	19/11/2015	2	32	116	1	3	0	Dryland	Leaf	910.46	3.27	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_117_Leaf	42327_117	19/11/2015	2	32	117	6	3	250	Irrigated	Leaf	1333.12	4.19	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_118_Leaf	42327_118	19/11/2015	2	32	118	3	3	50	Dryland	Leaf	562.87	3.21	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_119_Leaf	42327_119	19/11/2015	2	32	119	4	4	50	Irrigated	Leaf	599.20	3.36	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_120_Leaf	42327_120	19/11/2015	2	32	120	3	4	50	Dryland	Leaf	718.98	3.22	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_121_Leaf	42327_121	19/11/2015	2	32	121	1	4	0	Dryland	Leaf	701.09	3.04	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_122_Leaf	42327_122	19/11/2015	2	32	122	2	4	0	Irrigated	Leaf	905.21	2.88	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_123_Leaf	42327_123	19/11/2015	2	32	123	6	4	250	Irrigated	Leaf	1285.98	4.32	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42327_124_Leaf	42327_124	19/11/2015	2	32	124	5	4	250	Dryland	Leaf	941.54	4.16	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_101_Leaf	42341_101	3/12/2015	3	68	101	5	1	250	Dryland	Leaf	904.71	4.54	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_102_Leaf	42341_102	3/12/2015	3	58	102	6	1	250	Irrigated	Leaf	1610.17	4.85	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_103_Leaf	42341_103	3/12/2015	3	58	103	2	1	0	Irrigated	Leaf	822.16	2.78	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_104_Leaf	42341_104	3/12/2015	3	58	104	4	1	50	Irrigated	Leaf	1166.16	3.66	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_105_Leaf	42341_105	3/12/2015	3	69	105	1	1	0	Dryland	Leaf	278.02	2.70	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_106_Leaf	42341_106	3/12/2015	3	69	106	3	1	50	Dryland	Leaf	556.13	3.75	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_107_Leaf	42341_107	3/12/2015	3	58	107	4	2	50	Irrigated	Leaf	963.06	3.54	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_108_Leaf	42341_108	3/12/2015	3	69	108	1	2	0	Dryland	Leaf	333.71	2.73	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_109_Leaf	42341_109	3/12/2015	3	65	109	5	2	250	Dryland	Leaf	1494.07	4.45	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_110_Leaf	42341_110	3/12/2015	3	58	110	6	2	250	Irrigated	Leaf	2614.87	4.48	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_111_Leaf	42341_111	3/12/2015	3	63	111	2	2	0	Irrigated	Leaf	386.19	2.61	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_112_Leaf	42341_112	3/12/2015	3	68	112	3	2	50	Dryland	Leaf	722.37	3.71	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_113_Leaf	42341_113	3/12/2015	3	68	113	5	3	250	Dryland	Leaf	1087.97	4.67	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_114_Leaf	42341_114	3/12/2015	3	58	114	4	3	50	Irrigated	Leaf	665.67	3.80	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_115_Leaf	42341_115	3/12/2015	3	58	115	2	3	0	Irrigated	Leaf	811.48	2.79	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_116_Leaf	42341_116	3/12/2015	3	68	116	1	3	0	Dryland	Leaf	684.45	2.92	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_117_Leaf	42341_117	3/12/2015	3	58	117	6	3	250	Irrigated	Leaf	1427.91	4.89	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_118_Leaf	42341_118	3/12/2015	3	66	118	3	3	50	Dryland	Leaf	567.50	4.07	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_119_Leaf	42341_119	3/12/2015	3	58	119	4	4	50	Irrigated	Leaf	947.18	3.44	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_120_Leaf	42341_120	3/12/2015	3	67	120	3	4	50	Dryland	Leaf	465.93	3.83	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_121_Leaf	42341_121	3/12/2015	3	68	121	1	4	0	Dryland	Leaf	484.44	2.70	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_122_Leaf	42341_122	3/12/2015	3	58	122	2	4	0	Irrigated	Leaf	760.58	2.58	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_123_Leaf	42341_123	3/12/2015	3	56	123	6	4	250	Irrigated	Leaf	1590.57	4.80	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42341_124_Leaf	42341_124	3/12/2015	3	63	124	5	4	250	Dryland	Leaf	936.76	4.80	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_101_Leaf	42353_101	15/12/2015	4	70.7	101	5	1	250	Dryland	Leaf	728.86	3.61	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_102_Leaf	42353_102	15/12/2015	4	70.4	102	6	1	250	Irrigated	Leaf	1402.04	4.39	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_103_Leaf	42353_103	15/12/2015	4	70.5	103	2	1	0	Irrigated	Leaf	641.68	2.38	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_104_Leaf	42353_104	15/12/2015	4	70.4	104	4	1	50	Irrigated	Leaf	1420.04	0.90	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_105_Leaf	42353_105	15/12/2015	4	70.8	105	1	1	0	Dryland	Leaf	188.31	0.67	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_106_Leaf	42353_106	15/12/2015	4	70.8	106	3	1	50	Dryland	Leaf	534.37	3.15	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_107_Leaf	42353_107	15/12/2015	4	70.4	107	4	2	50	Irrigated	Leaf	746.00	2.96	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_108_Leaf	42353_108	15/12/2015	4	70.8	108	1	2	0	Dryland	Leaf	205.96	2.67	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_109_Leaf	42353_109	15/12/2015	4	70.7	109	5	2	250	Dryland	Leaf	1209.32	4.04	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_110_Leaf	42353_110	15/12/2015	4	70.4	110	6	2	250	Irrigated	Leaf	2351.04	4.39	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_111_Leaf	42353_111	15/12/2015	4	70.5	111	2	2	0	Irrigated	Leaf	385.29	2.61	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_112_Leaf	42353_112	15/12/2015	4	70.8	112	3	2	50	Dryland	Leaf	530.59	3.06	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_113_Leaf	42353_113	15/12/2015	4	70.7	113	5	3	250	Dryland	Leaf	1036.48	3.89	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_114_Leaf	42353_114	15/12/2015	4	70.4	114	4	3	50	Irrigated	Leaf	645.20	3.29	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_115_Leaf	42353_115	15/12/2015	4	70.5	115	2	3	0	Irrigated	Leaf	796.18	2.56	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_116_Leaf	42353_116	15/12/2015	4	70.8	116	1	3	0	Dryland	Leaf	584.70	2.57	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_117_Leaf	42353_117	15/12/2015	4	70.4	117	6	3	250	Irrigated	Leaf	1768.71	4.39	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_118_Leaf	42353_118	15/12/2015	4	70.8	118	3	3	50	Dryland	Leaf	481.26	3.45	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_119_Leaf	42353_119	15/12/2015	4	70.4	119	4	4	50	Irrigated	Leaf	794.77	3.08	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_120_Leaf	42353_120	15/12/2015	4	70.8	120	3	4	50	Dryland	Leaf	412.94	3.23	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_121_Leaf	42353_121	15/12/2015	4	70.8	121	1	4	0	Dryland	Leaf	404.10	2.97	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_122_Leaf	42353_122	15/12/2015	4	70.5	122	2	4	0	Irrigated	Leaf	855.65	2.68	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_123_Leaf	42353_123	15/12/2015	4	70.4	123	6	4	250	Irrigated	Leaf	1512.07	4.56	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42353_124_Leaf	42353_124	15/12/2015	4	70.7	124	5	4	250	Dryland	Leaf	928.26	4.21	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_101_Leaf	42375_101	6/01/2016	5	NA	101	5	1	250	Dryland	Leaf	151.19	2.19	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_102_Leaf	42375_102	6/01/2016	5	NA	102	6	1	250	Irrigated	Leaf	1688.06	3.15	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_103_Leaf	42375_103	6/01/2016	5	NA	103	2	1	0	Irrigated	Leaf	391.84	1.78	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_104_Leaf	42375_104	6/01/2016	5	NA	104	4	1	50	Irrigated	Leaf	576.73	2.20	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_105_Leaf	42375_105	6/01/2016	5	NA	105	1	1	0	Dryland	Leaf	96.58	2.16	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_106_Leaf	42375_106	6/01/2016	5	NA	106	3	1	50	Dryland	Leaf	197.43	1.97	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_107_Leaf	42375_107	6/01/2016	5	NA	107	4	2	50	Irrigated	Leaf	739.39	2.33	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_108_Leaf	42375_108	6/01/2016	5	NA	108	1	2	0	Dryland	Leaf	75.94	2.45	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_109_Leaf	42375_109	6/01/2016	5	NA	109	5	2	250	Dryland	Leaf	103.65	2.29	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_110_Leaf	42375_110	6/01/2016	5	NA	110	6	2	250	Irrigated	Leaf	1675.89	3.50	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_111_Leaf	42375_111	6/01/2016	5	NA	111	2	2	0	Irrigated	Leaf	248.24	1.93	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_112_Leaf	42375_112	6/01/2016	5	NA	112	3	2	50	Dryland	Leaf	168.92	1.86	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_113_Leaf	42375_113	6/01/2016	5	NA	113	5	3	250	Dryland	Leaf	379.89	2.28	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_114_Leaf	42375_114	6/01/2016	5	NA	114	4	3	50	Irrigated	Leaf	432.19	2.09	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_115_Leaf	42375_115	6/01/2016	5	NA	115	2	3	0	Irrigated	Leaf	441.36	1.99	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_116_Leaf	42375_116	6/01/2016	5	NA	116	1	3	0	Dryland	Leaf	128.11	1.90	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_117_Leaf	42375_117	6/01/2016	5	NA	117	6	3	250	Irrigated	Leaf	1587.35	3.24	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_118_Leaf	42375_118	6/01/2016	5	NA	118	3	3	50	Dryland	Leaf	201.10	2.01	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_119_Leaf	42375_119	6/01/2016	5	NA	119	4	4	50	Irrigated	Leaf	760.85	2.16	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_120_Leaf	42375_120	6/01/2016	5	NA	120	3	4	50	Dryland	Leaf	104.96	2.09	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_121_Leaf	42375_121	6/01/2016	5	NA	121	1	4	0	Dryland	Leaf	134.78	2.14	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_122_Leaf	42375_122	6/01/2016	5	NA	122	2	4	0	Irrigated	Leaf	488.51	2.35	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_123_Leaf	42375_123	6/01/2016	5	NA	123	6	4	250	Irrigated	Leaf	1637.91	3.48	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42375_124_Leaf	42375_124	6/01/2016	5	NA	124	5	4	250	Dryland	Leaf	470.78	2.63	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42401_101_Leaf	42401_101	1/02/2016	6	Harvest	101	5	1	250	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_102_Leaf	42413_102	13/02/2016	6	Harvest	102	6	1	250	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_103_Leaf	42413_103	13/02/2016	6	Harvest	103	2	1	0	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_104_Leaf	42413_104	13/02/2016	6	Harvest	104	4	1	50	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42394_105_Leaf	42394_105	25/01/2016	6	Harvest	105	1	1	0	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42401_106_Leaf	42401_106	1/02/2016	6	Harvest	106	3	1	50	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_107_Leaf	42413_107	13/02/2016	6	Harvest	107	4	2	50	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42394_108_Leaf	42394_108	25/01/2016	6	Harvest	108	1	2	0	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42401_109_Leaf	42401_109	1/02/2016	6	Harvest	109	5	2	250	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_110_Leaf	42413_110	13/02/2016	6	Harvest	110	6	2	250	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_111_Leaf	42413_111	13/02/2016	6	Harvest	111	2	2	0	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42401_112_Leaf	42401_112	1/02/2016	6	Harvest	112	3	2	50	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42401_113_Leaf	42401_113	1/02/2016	6	Harvest	113	5	3	250	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_114_Leaf	42413_114	13/02/2016	6	Harvest	114	4	3	50	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_115_Leaf	42413_115	13/02/2016	6	Harvest	115	2	3	0	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42394_116_Leaf	42394_116	25/01/2016	6	Harvest	116	1	3	0	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_117_Leaf	42413_117	13/02/2016	6	Harvest	117	6	3	250	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42401_118_Leaf	42401_118	1/02/2016	6	Harvest	118	3	3	50	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_119_Leaf	42413_119	13/02/2016	6	Harvest	119	4	4	50	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42401_120_Leaf	42401_120	1/02/2016	6	Harvest	120	3	4	50	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42394_121_Leaf	42394_121	25/01/2016	6	Harvest	121	1	4	0	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_122_Leaf	42413_122	13/02/2016	6	Harvest	122	2	4	0	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42413_123_Leaf	42413_123	13/02/2016	6	Harvest	123	6	4	250	Irrigated	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42401_124_Leaf	42401_124	1/02/2016	6	Harvest	124	5	4	250	Dryland	Leaf	NA	NA	Wheat.Leaf.Live.Wt	Wheat.Leaf.Live.Nconc
42306_101_Stem	42306_101	29/10/2015	1	22	101	5	1	250	Dryland	Stem	147.44	3.31	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_102_Stem	42306_102	29/10/2015	1	23	102	6	1	250	Irrigated	Stem	151.82	3.37	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_103_Stem	42306_103	29/10/2015	1	22	103	2	1	0	Irrigated	Stem	223.17	3.26	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_104_Stem	42306_104	29/10/2015	1	22	104	4	1	50	Irrigated	Stem	132.05	2.53	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_105_Stem	42306_105	29/10/2015	1	21	105	1	1	0	Dryland	Stem	74.57	2.08	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_106_Stem	42306_106	29/10/2015	1	21	106	3	1	50	Dryland	Stem	81.45	2.27	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_107_Stem	42306_107	29/10/2015	1	23	107	4	2	50	Irrigated	Stem	82.08	2.47	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_108_Stem	42306_108	29/10/2015	1	20	108	1	2	0	Dryland	Stem	77.10	2.02	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_109_Stem	42306_109	29/10/2015	1	22	109	5	2	250	Dryland	Stem	166.78	2.90	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_110_Stem	42306_110	29/10/2015	1	23	110	6	2	250	Irrigated	Stem	180.69	3.66	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_111_Stem	42306_111	29/10/2015	1	22	111	2	2	0	Irrigated	Stem	84.55	2.09	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
42306_112_Stem	42306_112	29/10/2015	1	21	112	3	2	50	Dryland	Stem	109.72	2.19	Wheat.Stem.Live.Wt	Wheat.Stem.Live.Nconc
