SimulationName	Clock.Today	Oats.Ear.NConc.	Oats.Ear.Wt	Oats.Grain.Live.NConc	Oats.Grain.Live.Wt	Oats.Leaf.Dead.Nconc	Oats.Leaf.Dead.Wt	Oats.Leaf.LAI	Oats.Leaf.Live.NConc	Oats.Leaf.Live.Wt	Oats.Panicle.Live.NConc	Oats.Panicle.Wt	Oats.Stem.Live.NConc	Oats.Stem.Live.Wt	Oats.AboveGround.Nconc	Oats.AboveGround.Live.Wt	Oats.Leaf.N	Oats.Stem.N	Oats.Phenology.Stage	Oats.Structure.LeafTipsAppeared	Oats.Leaf.ExpandedCohortNo	Oats.Leaf.GreenCohortNo	Oats.Leaf.SenescingCohortNo	Oats.Leaf.DeadCohortNo	Oats.Leaf.CoverTotal	Soil.Temperature(1)	Soil.Temperature(2)	Soil.Temperature(3)	Soil.Temperature(4)	Soil.Temperature(5)	Soil.Temperature(6)	Soil.Temperature(7)	Soil.SoilNitrogen.mineral_n(1)	Soil.SoilNitrogen.mineral_n(2)	Soil.SoilNitrogen.mineral_n(3)	Soil.SoilNitrogen.mineral_n(4)	Soil.SoilNitrogen.mineral_n(5)	Soil.SoilNitrogen.mineral_n(6)	Soil.SoilNitrogen.NH4(1)	Soil.SoilNitrogen.NH4(2)	Soil.SoilNitrogen.NH4(3)	Soil.SoilNitrogen.NH4(4)	Soil.SoilNitrogen.NH4(5)	Soil.SoilNitrogen.NH4(6)	Soil.SoilNitrogen.NO3(1)	Soil.SoilNitrogen.NO3(2)	Soil.SoilNitrogen.NO3(3)	Soil.SoilNitrogen.NO3(4)	Soil.SoilNitrogen.NO3(5)	Soil.SoilNitrogen.NO3(6)	Soil.SoilNitrogen.ProfileMineralN	Soil.SoilNitrogen.ProfileNO3	Soil.SoilNitrogen.ProfileNH4	Soil.SoilWater.SW(1)	Soil.SoilWater.SW(2)	Soil.SoilWater.SW(3)	Soil.SoilWater.SW(4)	Soil.SoilWater.SW(5)	Soil.SoilWater.SW(6)	Soil.SoilWater.SW(7)	Soil.SoilWater.ProfileWater	Nit	Irr
RS_Oats_1718Nit300IrrNil	2017-06-03	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	7.947020052	9.395016146	9.727673698	10.54327422	11.0982737	11.80219661	12.30944427	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.318196875	0.35673125	0.33065	0.27873125	0.22793125	0.23475625	0.17131875	474.2554688	300	Nil
RS_Oats_1718Nit50IrrFull	2017-06-03	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	7.969702995	9.345104167	9.743182031	10.47002839	11.00941797	11.62281146	12.08200859	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.24040625	0.25811875	0.25854375	0.2812125	0.24018125	0.22579375	0.121875	413.060625	50	Full
RS_Oats_1718Nit50IrrNil	2017-06-03	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	7.889298828	9.342563542	9.689767188	10.46470833	11.08503594	11.85021797	12.36542969	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.3126625	0.333825	0.34778125	0.2540625	0.18465625	0.201475	0.10454375	424.72875	50	Nil
RS_Oats_1718Nit0IrrFull	2017-06-04	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.846729297	8.02453151	8.944295833	10.3665026	11.01128047	11.60355964	12.05268698	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.2844125	0.26655	0.253825	0.2166375	0.1946375	0.24651875	0.16388125	405.294375	0	Full
RS_Oats_1718Nit0IrrNil	2017-06-04	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.727178906	7.773284115	8.871613542	10.45340833	11.15651797	11.93120104	12.41796276	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.360053125	0.3606375	0.3534625	0.20054375	0.187875	0.24573125	0.1653375	453.9885938	0	Nil
RS_Oats_1718Nit300IrrFull	2017-06-04	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.638965495	7.874983594	8.827686979	10.27115781	10.823425	11.47086016	11.94777318	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.28784375	0.24981875	0.27478125	0.3012	0.2602125	0.1924625	0.1358875	430.0125	300	Full
RS_Oats_1718Nit300IrrNil	2017-06-04	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.696976823	8.019060938	8.917286198	10.44822422	11.07354167	11.76409063	12.25682083	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.357340625	0.37845	0.350075	0.2800625	0.2288125	0.234925	0.1711125	489.8648438	300	Nil
RS_Oats_1718Nit50IrrFull	2017-06-04	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.688826042	7.876948177	9.001171875	10.40529792	10.99875833	11.60652682	12.05164792	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.30245625	0.26529375	0.25808125	0.28094375	0.240125	0.22580625	0.12180625	423.19125	50	Full
RS_Oats_1718Nit50IrrNil	2017-06-04	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	5.642501563	7.911961979	8.814909896	10.37331172	11.05292839	11.80352266	12.30777031	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.355334375	0.35964375	0.36495	0.2640375	0.18535	0.20158125	0.10454375	443.3854688	50	Nil
RS_Oats_1718Nit0IrrFull	2017-06-05	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.648245313	7.623440885	8.25889974	10.1037	10.94434219	11.57763802	12.02755677	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.294565625	0.2748875	0.2562125	0.2163375	0.19465625	0.24651875	0.1638125	408.6792188	0	Full
RS_Oats_1718Nit0IrrNil	2017-06-05	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.58287487	7.471535938	8.207671354	10.12098672	11.04438307	11.87777031	12.36679505	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.34800625	0.35326875	0.35210625	0.210625	0.18925	0.2458	0.165275	454.108125	0	Nil
RS_Oats_1718Nit300IrrFull	2017-06-05	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.55530651	7.489889844	8.160713021	10.00839948	10.75952292	11.44976042	11.9219224	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.296446875	0.25975	0.27560625	0.300775	0.26000625	0.19246875	0.13584375	432.8395313	300	Full
RS_Oats_1718Nit300IrrNil	2017-06-05	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.581652083	7.631239844	8.259190365	10.11295443	10.96624766	11.71678073	12.20745	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.34668125	0.37298125	0.34739375	0.28970625	0.22985625	0.2351625	0.170975	489.8775	300	Nil
RS_Oats_1718Nit50IrrFull	2017-06-05	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.594536719	7.510768229	8.308950781	10.13402266	10.93132552	11.58101797	12.02380625	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.311253125	0.27708125	0.2602	0.28065625	0.239925	0.2258	0.1218125	426.7682813	50	Full
RS_Oats_1718Nit50IrrNil	2017-06-05	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.545904167	7.545695573	8.179707031	10.03682526	10.95160964	11.74950547	12.25425547	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.341309375	0.35326875	0.36378125	0.27524375	0.18615625	0.20164375	0.1045	443.5842188	50	Nil
RS_Oats_1718Nit0IrrFull	2017-06-06	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.87056891	7.966536538	8.454155769	9.902946154	10.84813141	11.54551667	12.00244872	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Full
RS_Oats_1718Nit0IrrNil	2017-06-06	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.800311538	7.832767949	8.420520513	9.894457692	10.89986923	11.82292821	12.32669551	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
RS_Oats_1718Nit300IrrFull	2017-06-06	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.777647756	7.844480769	8.355141026	9.817205128	10.66221987	11.42216987	11.90011923	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Full
RS_Oats_1718Nit300IrrNil	2017-06-06	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.790983654	7.986795513	8.458220513	9.898892308	10.83383526	11.66341795	12.16842949	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Nil
RS_Oats_1718Nit50IrrFull	2017-06-06	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.777924038	7.865987179	8.475117308	9.931894872	10.83573397	11.549625	12.00320577	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	50	Full
RS_Oats_1718Nit50IrrNil	2017-06-06	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	6.751029487	7.911463462	8.406459615	9.821411538	10.81986795	11.69734936	12.21411731	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	50	Nil
RS_Oats_1718Nit0IrrNil	2017-07-25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
RS_Oats_1718Nit300IrrFull	2017-07-25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Full
RS_Oats_1718Nit0IrrNil	2017-07-26	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
RS_Oats_1718Nit300IrrFull	2017-07-26	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Full
RS_Oats_1718Nit0IrrNil	2017-07-28	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2.169230769	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
RS_Oats_1718Nit300IrrFull	2017-07-28	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2.260310053	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Full
RS_Oats_1718Nit0IrrNil	2017-07-31	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2.658499833	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
RS_Oats_1718Nit300IrrFull	2017-07-31	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2.709934002	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Full
RS_Oats_1718Nit0IrrNil	2017-08-02	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2.857459207	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
RS_Oats_1718Nit300IrrFull	2017-08-02	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2.86883745	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Full
RS_Oats_1718Nit0IrrNil	2017-08-07	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	3	1	0	1	0	0	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
RS_Oats_1718Nit300IrrFull	2017-08-07	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	3	1	0	1	0	0	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Full
RS_Oats_1718Nit0IrrNil	2017-08-14	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2	1	2	0	0	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
RS_Oats_1718Nit300IrrFull	2017-08-14	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2	1	2	0	0	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Full
RS_Oats_1718Nit0IrrFull	2017-08-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.093150828	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Full
RS_Oats_1718Nit0IrrNil	2017-08-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.068693207	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
RS_Oats_1718Nit300IrrFull	2017-08-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.121420041	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Full
RS_Oats_1718Nit300IrrNil	2017-08-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.106658116	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Nil
RS_Oats_1718Nit50IrrFull	2017-08-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.099687374	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	50	Full
RS_Oats_1718Nit50IrrNil	2017-08-16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.070402173	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	50	Nil
RS_Oats_1718Nit0IrrFull	2017-08-22	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.145471777	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Full
RS_Oats_1718Nit0IrrNil	2017-08-22	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2.75	1	2.75	0	0	0.091756726	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0	Nil
RS_Oats_1718Nit300IrrFull	2017-08-22	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2.55	1.1	2.55	0	0	0.121055797	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Full
RS_Oats_1718Nit300IrrNil	2017-08-22	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.136374684	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	300	Nil
RS_Oats_1718Nit50IrrFull	2017-08-22	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.137070165	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	50	Full
RS_Oats_1718Nit50IrrNil	2017-08-22	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.11345011	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	50	Nil
RS_Oats_1718Nit0IrrFull	2017-08-27	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	9.2175625	10.258259	9.318545	8.499061	8.903315	9.296412	9.643639	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.259046875	0.3160875	0.29741875	0.36010625	0.320475	0.31721875	0.1832875	529.8220313	0	Full
RS_Oats_1718Nit0IrrNil	2017-08-27	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	8.964542	10.251537	9.240402	8.434257	8.827721	9.25864	9.622614	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.282875	0.305275	0.31634375	0.3707125	0.3614875	0.3113375	0.19189375	553.755	0	Nil
RS_Oats_1718Nit300IrrFull	2017-08-27	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	9.050112	10.227663	9.209569	8.4586	8.811639	9.249297	9.600735	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.284121875	0.33233125	0.31289375	0.38424375	0.38969375	0.2748625	0.16003125	548.9854688	300	Full
RS_Oats_1718Nit300IrrNil	2017-08-27	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	8.940591	10.215937	9.213151	8.48401	8.837723	9.233097	9.580393	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.275015625	0.32425	0.33380625	0.36003125	0.36535	0.32896875	0.22139375	572.7548438	300	Nil
