ApsimVersion = 7.7
Title = 3) Ingham 1992-93 Q117 1R
             SimulationName       ZoneName    Clock.Today           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)      no3ppm(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)      nh4ppm(7)         leaves   green_leaves    dead_leaves     root_depth    rootgreenwt     stage_code         dlt_dm   dlt_dm_green   partition_xs dlt_dm_detached_root dlt_dm_detached_leaf dlt_dm_detached_cab
                         ()             ()   (dd/mm/yyyy)             ()             ()             ()         (year)          (day)         (days)             ()             ()             ()        (kg/ha)           (mm)           (mm)         (t/ha)        (g/m^2)        (g/m^2)          (g/g)            (%)          (g/g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)             ()             ()             ()           (mm)        (g/m^2)             ()        (g/m^2)        (g/m^2)        (g/m^2)              (g/m^2)              (g/m^2)             (g/m^2)
 "3 Ingham 1992_93 Q117 1R"        paddock     13/09/1992         ingham        1992-93          2.000           1992            257             19          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           4.29           4.29           2.48           1.71           1.70          0.016          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.02          1.000           58.8           19.2            7.1            6.4            6.3            6.6            6.6            0.0         25.570          7.117          2.550          1.465          1.451          1.461          1.477            2.4            0.5            0.0            0.0            0.0            0.0            0.0          1.028          0.185          0.000          0.000          0.000          0.000          0.000          2.186          2.186          0.000        960.000         849.28          3.000           0.16           0.20           0.00                 1.71                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     14/09/1992         ingham        1992-93          2.000           1992            258             20          alive              1          0.000            0.0          0.000          5.800          0.001           0.10           0.00          0.000          0.000          0.000           4.47           4.47           2.59           1.78           1.70          0.017          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.02          1.000           58.9           20.0            7.3            6.4            6.3            6.6            6.6            0.1         25.604          7.390          2.604          1.472          1.452          1.461          1.477            2.0            0.5            0.0            0.0            0.0            0.0            0.0          0.860          0.188          0.001          0.000          0.000          0.000          0.000          2.369          2.369          0.000        970.000         847.62          3.000           0.17           0.21           0.00                 1.70                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     15/09/1992         ingham        1992-93          2.000           1992            259             21          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           4.70           4.70           2.74           1.86           1.70          0.018          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.02          1.000           59.7           20.0            7.4            6.4            6.3            6.6            6.6            0.1         25.956          7.405          2.626          1.475          1.451          1.459          1.476            1.7            0.5            0.0            0.0            0.0            0.0            0.0          0.739          0.191          0.001          0.000          0.000          0.000          0.000          2.560          2.560          0.000        980.000         845.97          3.000           0.23           0.28           0.00                 1.70                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     16/09/1992         ingham        1992-93          2.000           1992            260             22          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           4.94           4.94           2.89           1.95           1.69          0.020          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.01          1.000           60.4           20.1            7.4            6.4            6.3            6.6            6.6            0.1         26.281          7.453          2.632          1.475          1.449          1.456          1.474            1.5            0.5            0.0            0.0            0.0            0.0            0.0          0.651          0.192          0.002          0.000          0.000          0.000          0.000          2.753          2.753          0.000        990.000         844.32          3.000           0.24           0.29          -0.00                 1.70                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     17/09/1992         ingham        1992-93          2.000           1992            261             23          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           5.25           5.25           3.08           2.07           1.69          0.022          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.01          1.000           61.1           20.3            7.4            6.4            6.3            6.5            6.6            0.1         26.581          7.520          2.631          1.472          1.446          1.453          1.471            1.4            0.5            0.0            0.0            0.0            0.0            0.0          0.590          0.193          0.002          0.000          0.000          0.000          0.000          2.901          2.901          0.000       1000.000         842.70          3.000           0.30           0.36           0.00                 1.69                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     18/09/1992         ingham        1992-93          2.000           1992            262             24          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           5.59           5.59           3.30           2.19           1.69          0.025          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.01          1.000           61.8           20.5            7.4            6.4            6.3            6.5            6.6            0.1         26.861          7.597          2.627          1.467          1.442          1.448          1.467            1.3            0.5            0.0            0.0            0.0            0.0            0.0          0.548          0.194          0.003          0.000          0.000          0.000          0.000          3.045          3.045          0.000       1010.000         841.08          3.000           0.34           0.41           0.00                 1.69                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     19/09/1992         ingham        1992-93          2.000           1992            263             25          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           5.97           5.97           3.54           2.33           1.68          0.028          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.01          1.000           62.4           20.7            7.3            6.4            6.3            6.5            6.6            0.0         27.130          7.683          2.623          1.462          1.438          1.444          1.463            1.2            0.5            0.0            0.0            0.0            0.0            0.0          0.519          0.194          0.003          0.000          0.000          0.000          0.000          3.200          3.200          0.000       1020.000         839.47          3.000           0.38           0.46           0.00                 1.69                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     20/09/1992         ingham        1992-93          2.000           1992            264             26          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           6.38           6.38           3.79           2.48           1.68          0.031          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.02           0.01          1.000           63.0           21.0            7.3            6.3            6.2            6.5            6.6            0.0         27.389          7.770          2.619          1.457          1.434          1.439          1.458            1.1            0.5            0.0            0.0            0.0            0.0            0.0          0.499          0.194          0.004          0.000          0.000          0.000          0.000          3.356          3.356          0.000       1030.000         837.88          3.000           0.40           0.48           0.00                 1.68                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     21/09/1992         ingham        1992-93          2.000           1992            265             27          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           6.75           6.75           4.03           2.62           1.68          0.033          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.01           0.01          1.000           63.5           21.2            7.3            6.3            6.2            6.5            6.5            0.0         27.630          7.852          2.619          1.453          1.431          1.435          1.454            1.1            0.5            0.0            0.0            0.0            0.0            0.0          0.488          0.196          0.005          0.000          0.000          0.000          0.000          3.507          3.507          0.000       1040.000         836.27          3.000           0.38           0.45           0.00                 1.68                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     22/09/1992         ingham        1992-93          2.000           1992            266             28          alive              1          0.000            0.0          0.000          0.300          0.001           0.10           0.00          0.000          0.000          0.000           7.06           7.06           4.22           2.74           1.67          0.036          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.01           0.01          1.000           64.1           21.4            7.3            6.3            6.2            6.4            6.5            0.0         27.854          7.930          2.620          1.449          1.429          1.431          1.450            1.1            0.5            0.0            0.0            0.0            0.0            0.0          0.483          0.197          0.005          0.000          0.000          0.000          0.000          3.647          3.647          0.000       1050.000         834.66          3.000           0.31           0.37           0.00                 1.68                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     23/09/1992         ingham        1992-93          2.000           1992            267             29          alive              1          0.000          161.0          0.000          0.300          0.001           0.10           0.00          0.000          0.000          0.000           7.54           7.54           4.53           2.92           1.67          0.039          1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.01           0.01           0.01           0.01          1.000           92.0           21.6            7.3            6.3            6.2            6.4            6.5            0.0         40.019          8.005          2.620          1.445          1.427          1.428          1.446          134.6            0.5            0.0            0.0            0.0            0.0            0.0         58.527          0.199          0.006          0.000          0.000          0.000          0.000          3.808          3.808          0.000       1060.000         833.09          3.000           0.48           0.58           0.00                 1.67                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     24/09/1992         ingham        1992-93          2.000           1992            268             30          alive              1          0.000            0.0          0.000          0.300          0.001           0.10           0.00          0.000          0.000          0.000           8.06           8.06           4.85           3.11           1.67          0.043          1.000          1.000           0.10            0.10           0.00           0.07           0.03           0.01           0.01           0.01           0.01          1.000          116.8           21.8            7.3            6.3            6.2            6.4            6.5            0.0         50.800          8.078          2.621          1.441          1.425          1.425          1.443          110.3            0.5            0.0            0.0            0.0            0.0            0.0         47.945          0.200          0.006          0.000          0.000          0.000          0.000          3.968          3.968          0.000       1070.000         831.53          3.000           0.52           0.62           0.00                 1.67                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     25/09/1992         ingham        1992-93          2.000           1992            269             31          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           8.64           8.64           5.22           3.32           1.66          0.047          1.000          1.000           0.10            0.10           0.00           0.07           0.03           0.01           0.01           0.01           0.01          1.000          138.3           22.0            7.3            6.3            6.2            6.4            6.5            0.0         60.136          8.149          2.622          1.438          1.424          1.423          1.440           89.2            0.5            0.0            0.0            0.0            0.0            0.0         38.803          0.201          0.006          0.000          0.000          0.000          0.000          4.134          4.134          0.000       1080.000         829.98          3.000           0.58           0.70          -0.00                 1.67                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     26/09/1992         ingham        1992-93          2.000           1992            270             32          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000           9.32           9.32           5.64           3.57           1.66          0.052          1.000          1.000           0.11            0.11           0.00           0.08           0.03           0.01           0.01           0.01           0.01          1.000          157.7           22.2            7.3            6.2            6.2            6.4            6.5            0.0         68.547          8.224          2.623          1.435          1.423          1.421          1.438           70.4            0.5            0.0            0.0            0.0            0.0            0.0         30.590          0.201          0.007          0.000          0.000          0.000          0.000          4.312          4.312          0.000       1090.000         828.46          3.000           0.68           0.82          -0.00                 1.66                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     27/09/1992         ingham        1992-93          2.000           1992            271             33          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000          10.06          10.06           6.11           3.85           1.66          0.057          1.000          1.000           0.11            0.11           0.00           0.08           0.03           0.01           0.01           0.01           0.01          1.000          174.9           22.4            7.3            6.2            6.2            6.4            6.5            0.0         76.049          8.305          2.624          1.432          1.423          1.419          1.436           53.6            0.5            0.0            0.0            0.0            0.0            0.0         23.294          0.199          0.007          0.000          0.000          0.000          0.000          4.480          4.480          0.000       1100.000         826.95          3.000           0.74           0.89           0.00                 1.66                 0.00                0.00
 "3 Ingham 1992_93 Q117 1R"        paddock     28/09/1992         ingham        1992-93          2.000           1992            272             34          alive              1          0.000            0.0          0.000          0.000          0.001           0.10           0.00          0.000          0.000          0.000          10.87          10.87           6.62           4.15           1.65          0.063          1.000          1.000           0.12            0.12           0.00           0.09           0.03           0.01           0.01           0.01           0.01          1.000          189.3           22.6            7.4            6.2            6.2            6.4            6.5            0.0         82.294          8.388          2.625          1.429          1.423          1.418          1.435           39.7            0.5            0.0            0.0            0.0            0.0            0.0         17.257          0.197          0.007          0.000          0.000          0.000          0.000          4.655          4.655          0.000       1110.000         825.46          3.000           0.81           0.98           0.00                 1.66                 0.00                0.00
