ApsimVersion = 7.7
Title = 15) Ingham 1991-92 Q117 P
             SimulationName       ZoneName    Clock.Today           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)      no3ppm(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)      nh4ppm(7)         leaves   green_leaves    dead_leaves     root_depth    rootgreenwt     stage_code         dlt_dm   dlt_dm_green   partition_xs dlt_dm_detached_root dlt_dm_detached_leaf dlt_dm_detached_cab
                         ()             ()   (dd/mm/yyyy)             ()             ()             ()         (year)          (day)         (days)             ()             ()             ()        (kg/ha)           (mm)           (mm)         (t/ha)        (g/m^2)        (g/m^2)          (g/g)            (%)          (g/g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)             ()             ()             ()           (mm)        (g/m^2)             ()        (g/m^2)        (g/m^2)        (g/m^2)              (g/m^2)              (g/m^2)             (g/m^2)
 "15 Ingham 1991_92 Q117 P"        paddock     05/08/1991         ingham        1991-92          1.000           1991            217             21          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           29.2           11.6            6.0            6.6            6.6            6.7            6.8            0.0         12.708          4.282          2.153          1.517          1.509          1.497          1.501            1.3            0.8            0.1            0.0            0.0            0.0            0.0          0.573          0.285          0.042          0.007          0.005          0.003          0.003          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     06/08/1991         ingham        1991-92          1.000           1991            218             22          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           29.6           11.8            6.1            6.6            6.6            6.7            6.8            0.0         12.891          4.372          2.166          1.519          1.511          1.498          1.502            1.2            0.8            0.1            0.0            0.0            0.0            0.0          0.533          0.281          0.040          0.007          0.005          0.002          0.002          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     07/08/1991         ingham        1991-92          1.000           1991            219             23          alive              0          0.000            0.0          0.000          0.300          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           30.0           12.0            6.1            6.6            6.6            6.7            6.8            0.0         13.062          4.460          2.178          1.521          1.512          1.499          1.503            1.1            0.8            0.1            0.0            0.0            0.0            0.0          0.499          0.279          0.039          0.006          0.004          0.002          0.002          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     08/08/1991         ingham        1991-92          1.000           1991            220             24          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           30.4           12.3            6.1            6.6            6.6            6.7            6.8            0.0         13.232          4.552          2.190          1.523          1.514          1.499          1.503            1.1            0.7            0.1            0.0            0.0            0.0            0.0          0.467          0.276          0.038          0.006          0.004          0.002          0.002          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     09/08/1991         ingham        1991-92          1.000           1991            221             25          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           30.8           12.5            6.2            6.6            6.6            6.7            6.8            0.0         13.398          4.646          2.203          1.525          1.515          1.500          1.504            1.0            0.7            0.1            0.0            0.0            0.0            0.0          0.439          0.273          0.037          0.005          0.004          0.001          0.001          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     10/08/1991         ingham        1991-92          1.000           1991            222             26          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           31.2           12.8            6.2            6.6            6.6            6.7            6.8            0.0         13.547          4.734          2.215          1.526          1.516          1.500          1.504            1.0            0.7            0.1            0.0            0.0            0.0            0.0          0.417          0.272          0.037          0.005          0.003          0.001          0.001          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     11/08/1991         ingham        1991-92          1.000           1991            223             27          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           31.5           13.0            6.2            6.6            6.6            6.8            6.8            0.0         13.682          4.817          2.226          1.528          1.517          1.500          1.504            0.9            0.7            0.1            0.0            0.0            0.0            0.0          0.399          0.271          0.036          0.005          0.003          0.001          0.001          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     12/08/1991         ingham        1991-92          1.000           1991            224             28          alive              0          0.000            0.0          0.000          0.300          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           31.8           13.2            6.3            6.7            6.6            6.8            6.8            0.0         13.806          4.895          2.236          1.530          1.518          1.500          1.505            0.9            0.7            0.1            0.0            0.0            0.0            0.0          0.385          0.272          0.036          0.005          0.003          0.001          0.001          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     13/08/1991         ingham        1991-92          1.000           1991            225             29          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           32.0           13.4            6.3            6.7            6.6            6.8            6.8            0.0         13.917          4.968          2.246          1.531          1.519          1.501          1.505            0.9            0.7            0.1            0.0            0.0            0.0            0.0          0.373          0.273          0.036          0.005          0.003          0.001          0.001          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "15 Ingham 1991_92 Q117 P"        paddock     14/08/1991         ingham        1991-92          1.000           1991            226             30          alive              0          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000           32.3           13.6            6.3            6.7            6.6            6.8            6.8            0.0         14.026          5.041          2.255          1.532          1.520          1.501          1.505            0.8            0.7            0.1            0.0            0.0            0.0            0.0          0.361          0.274          0.036          0.005          0.003          0.001          0.001          0.000          0.000          0.000        900.000           0.00          2.000           0.00           0.00           0.00                 0.00                 0.00                0.00
