ApsimVersion = 7.7
Title = 6) Ayr 1993-94 Q117 1R
          SimulationName       ZoneName    Clock.Today           site         season          treat           year            day            das    crop_status      ratoon_no           samp     fertiliser     irrigation           rain         canefw        cane_wt     sucrose_wt         scmstf            ccs          scmst        biomass  green_biomass        leaf_wt     cabbage_wt       trash_wt            lai    swdef_photo    nfact_photo      biomass_n green_biomass_n         cane_N         leaf_N          cab_N        trash_N    n_conc_cane    n_conc_leaf     n_conc_cab       cane_dmc         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)    flow_no3(6)      no3ppm(1)      no3ppm(2)      no3ppm(3)      no3ppm(4)      no3ppm(5)      no3ppm(6)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)      nh4ppm(1)      nh4ppm(2)      nh4ppm(3)      nh4ppm(4)      nh4ppm(5)      nh4ppm(6)         leaves   green_leaves    dead_leaves     root_depth    rootgreenwt     stage_code         dlt_dm   dlt_dm_green   partition_xs dlt_dm_detached_root dlt_dm_detached_leaf dlt_dm_detached_cab
                      ()             ()   (dd/mm/yyyy)             ()             ()             ()         (year)          (day)         (days)             ()             ()             ()        (kg/ha)           (mm)           (mm)         (t/ha)        (g/m^2)        (g/m^2)          (g/g)            (%)          (g/g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)             ()             ()             ()           (mm)        (g/m^2)             ()        (g/m^2)        (g/m^2)        (g/m^2)              (g/m^2)              (g/m^2)             (g/m^2)
 "6 Ayr 1993_94 Q117 1R"        paddock     20/08/1993            ayr        1993-94          2.000           1993            232             20          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.5            7.9            5.0            6.1            6.2            6.5            0.0          3.130          3.144          1.927          1.494          1.483          1.490            0.1            0.1            0.0            0.0            0.0            0.0          0.054          0.039          0.000          0.004          0.000          0.000          0.000          0.000          0.000        900.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "6 Ayr 1993_94 Q117 1R"        paddock     21/08/1993            ayr        1993-94          2.000           1993            233             21          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.5            7.9            5.0            6.1            6.2            6.5            0.0          3.136          3.157          1.927          1.495          1.483          1.490            0.1            0.1            0.0            0.0            0.0            0.0          0.054          0.040          0.000          0.003          0.000          0.000          0.000          0.000          0.000        900.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "6 Ayr 1993_94 Q117 1R"        paddock     22/08/1993            ayr        1993-94          2.000           1993            234             22          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.5            7.9            5.0            6.1            6.2            6.5            0.0          3.142          3.170          1.926          1.496          1.482          1.490            0.1            0.1            0.0            0.0            0.0            0.0          0.054          0.040          0.000          0.003          0.000          0.000          0.000          0.000          0.000        900.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "6 Ayr 1993_94 Q117 1R"        paddock     23/08/1993            ayr        1993-94          2.000           1993            235             23          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.6            8.0            5.0            6.1            6.2            6.5            0.0          3.147          3.183          1.927          1.497          1.482          1.490            0.1            0.1            0.0            0.0            0.0            0.0          0.054          0.041          0.000          0.004          0.000          0.000          0.000          0.000          0.000        900.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "6 Ayr 1993_94 Q117 1R"        paddock     24/08/1993            ayr        1993-94          2.000           1993            236             24          alive              1          0.000            0.0          0.000          3.300          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.6            8.0            5.0            6.1            6.2            6.5            0.0          3.152          3.196          1.927          1.498          1.482          1.490            0.1            0.1            0.0            0.0            0.0            0.0          0.054          0.042          0.000          0.004          0.000          0.000          0.000          0.000          0.000        900.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "6 Ayr 1993_94 Q117 1R"        paddock     25/08/1993            ayr        1993-94          2.000           1993            237             25          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.6            8.0            5.0            6.1            6.2            6.5            0.0          3.156          3.209          1.927          1.500          1.482          1.490            0.1            0.1            0.0            0.0            0.0            0.0          0.054          0.043          0.001          0.004          0.000          0.000          0.000          0.000          0.000        900.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "6 Ayr 1993_94 Q117 1R"        paddock     26/08/1993            ayr        1993-94          2.000           1993            238             26          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.6            8.1            5.0            6.1            6.2            6.5            0.0          3.159          3.223          1.927          1.501          1.482          1.490            0.1            0.1            0.0            0.0            0.0            0.0          0.055          0.043          0.001          0.004          0.000          0.000          0.000          0.000          0.000        900.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "6 Ayr 1993_94 Q117 1R"        paddock     27/08/1993            ayr        1993-94          2.000           1993            239             27          alive              1          0.000            0.0          0.000          0.000          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.6            8.1            5.0            6.1            6.2            6.5            0.0          3.162          3.239          1.928          1.502          1.482          1.490            0.1            0.1            0.0            0.0            0.0            0.0          0.055          0.044          0.001          0.004          0.000          0.000          0.000          0.000          0.000        900.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "6 Ayr 1993_94 Q117 1R"        paddock     28/08/1993            ayr        1993-94          2.000           1993            240             28          alive              1          0.000            0.0          0.000          1.500          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.6            8.1            5.0            6.1            6.2            6.5            0.0          3.164          3.255          1.928          1.503          1.482          1.490            0.1            0.1            0.0            0.0            0.0            0.0          0.055          0.044          0.002          0.004          0.000          0.000          0.000          0.000          0.000        900.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
 "6 Ayr 1993_94 Q117 1R"        paddock     29/08/1993            ayr        1993-94          2.000           1993            241             29          alive              1          0.000            0.0          0.000          7.800          0.000           0.00           0.00          0.000          0.000          0.000           0.00           0.00           0.00           0.00           0.00          0.000          1.000          0.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00          0.000            7.6            8.2            5.0            6.1            6.2            6.5            0.0          3.182          3.271          1.929          1.505          1.482          1.490            0.1            0.1            0.0            0.0            0.0            0.0          0.055          0.045          0.002          0.004          0.000          0.000          0.000          0.000          0.000        900.000           0.00          1.000           0.00           0.00           0.00                 0.00                 0.00                0.00
