Title	Experiment	dd/mm/yyyy	SW(1)	SW(2)	SW(3)	SW(4)	SW(5)	sw(6)	sw(7)	Profile_SW
()	()	()	(mm3/mm3)	(mm3/mm3)	(mm3/mm3)	(mm3/mm3)	(mm3/mm3)	(mm3/mm3)	(mm3/mm3)	(mm)
SCRI_1984_0N	SCRI_1984	29/08/1984	0.366	0.355	0.312	0.379	0.390	0.415	0.454	312.85
SCRI_1984_0N	SCRI_1984	29/08/1984	0.288	0.253	0.210	0.264	0.261	0.212	0.212	206
SCRI_1984_0N	SCRI_1984	29/08/1984	0.334	0.325	0.288	0.380	0.503	0.606	0.307	316.05
SCRI_1984_0N	SCRI_1984	13/09/1984	0.388	0.352	0.326	0.401	0.385	0.410	0.452	319.9
SCRI_1984_0N	SCRI_1984	13/09/1984	0.353	0.347	0.290	0.365	0.360	0.305	0.276	273.65
SCRI_1984_0N	SCRI_1984	13/09/1984	0.383	0.348	0.312	0.429	0.487	0.604	0.308	335.05
SCRI_1986_irr	SCRI_1986	30/05/1986	0.303	0.364	0.328	0.398	0.274	0.228	0.186	246.05
SCRI_1986_irr	SCRI_1986	30/05/1986	0.283	0.363	0.353	0.422	0.361	0.268	0.225	262.8
SCRI_1986_irr	SCRI_1986	30/05/1986	0.275	0.357	0.346	0.414	0.356	0.278	0.212	258.25
SCRI_1986_irr	SCRI_1986	30/05/1986	0.299	0.340	0.343	0.433	0.327	0.223	0.195	253.3
SCRI_1986_dry	SCRI_1986	30/05/1986	0.273	0.333	0.321	0.379	0.341	0.305	0.267	255.95
SCRI_1986_dry	SCRI_1986	30/05/1986	0.251	0.329	0.334	0.387	0.315	0.221	0.206	235.75
SCRI_1986_dry	SCRI_1986	30/05/1986	0.237	0.329	0.272	0.278	0.187	0.166	0.190	195.6
SCRI_1986_dry	SCRI_1986	30/05/1986	0.262	0.326	0.325	0.353	0.264	0.191	0.157	220.55
SCRI_1986_irr	SCRI_1986	23/06/1986	0.303	0.354	0.321	0.385	0.266	0.244	0.183	243.4
SCRI_1986_irr	SCRI_1986	23/06/1986	0.281	0.340	0.345	0.429	0.363	0.270	0.239	261.9
SCRI_1986_irr	SCRI_1986	23/06/1986	0.251	0.347	0.333	0.432	0.348	0.276	0.213	251.45
SCRI_1986_irr	SCRI_1986	23/06/1986	0.291	0.339	0.351	0.418	0.324	0.227	0.190	250.3
SCRI_1986_dry	SCRI_1986	23/06/1986	0.256	0.334	0.321	0.380	0.330	0.307	0.250	249.8
SCRI_1986_dry	SCRI_1986	23/06/1986	0.243	0.328	0.333	0.376	0.294	0.209	0.205	229.1
SCRI_1986_dry	SCRI_1986	23/06/1986	0.238	0.322	0.267	0.261	0.190	0.162	0.184	192.15
SCRI_1986_dry	SCRI_1986	23/06/1986	0.251	0.314	0.314	0.347	0.257	0.187	0.151	213.55
SCRI_1986_irr	SCRI_1986	1/07/1986	0.299	0.348	0.320	0.361	0.271	0.209	0.174	235.5
SCRI_1986_irr	SCRI_1986	1/07/1986	0.275	0.337	0.344	0.408	0.322	0.252	0.201	248.35
SCRI_1986_irr	SCRI_1986	1/07/1986	0.247	0.346	0.329	0.415	0.345	0.259	0.203	245.2
SCRI_1986_irr	SCRI_1986	1/07/1986	0.277	0.333	0.344	0.397	0.313	0.215	0.172	239.65
SCRI_1986_dry	SCRI_1986	1/07/1986	0.300	0.336	0.309	0.349	0.301	0.267	0.227	246.4
SCRI_1986_dry	SCRI_1986	1/07/1986	0.274	0.342	0.324	0.324	0.259	0.196	0.197	225.85
SCRI_1986_dry	SCRI_1986	1/07/1986	0.267	0.313	0.246	0.237	0.182	0.171	0.177	192.75
SCRI_1986_dry	SCRI_1986	1/07/1986	0.275	0.321	0.293	0.301	0.224	0.153	0.133	204.3
SCRI_1986_irr	SCRI_1986	11/07/1986	0.313	0.346	0.312	0.361	0.240	0.201	0.152	231.7
SCRI_1986_irr	SCRI_1986	11/07/1986	0.263	0.332	0.337	0.380	0.274	0.215	0.176	230.65
SCRI_1986_irr	SCRI_1986	11/07/1986	0.253	0.345	0.328	0.402	0.331	0.238	0.182	239.6
SCRI_1986_irr	SCRI_1986	11/07/1986	0.253	0.337	0.354	0.436	0.335	0.254	0.208	249.4
SCRI_1986_dry	SCRI_1986	11/07/1986	0.223	0.300	0.280	0.313	0.276	0.230	0.205	210.65
SCRI_1986_dry	SCRI_1986	11/07/1986	0.229	0.307	0.289	0.302	0.232	0.188	0.200	203.4
SCRI_1986_dry	SCRI_1986	11/07/1986	0.207	0.279	0.225	0.216	0.165	0.161	0.189	170
SCRI_1986_dry	SCRI_1986	11/07/1986	0.239	0.291	0.274	0.273	0.201	0.159	0.134	186.9
SCRI_1986_irr	SCRI_1986	16/07/1986	0.312	0.346	0.314	0.343	0.248	0.203	0.168	232.4
SCRI_1986_irr	SCRI_1986	16/07/1986	0.259	0.329	0.321	0.368	0.280	0.216	0.177	227.3
SCRI_1986_irr	SCRI_1986	16/07/1986	0.245	0.345	0.324	0.388	0.335	0.244	0.175	236.15
SCRI_1986_irr	SCRI_1986	16/07/1986	0.287	0.343	0.348	0.420	0.306	0.223	0.168	245.3
SCRI_1986_dry	SCRI_1986	16/07/1986	0.223	0.293	0.267	0.291	0.252	0.222	0.189	201.5
SCRI_1986_dry	SCRI_1986	16/07/1986	0.217	0.295	0.281	0.285	0.221	0.172	0.197	193.85
SCRI_1986_dry	SCRI_1986	16/07/1986	0.201	0.269	0.210	0.208	0.159	0.155	0.179	163.3
SCRI_1986_dry	SCRI_1986	16/07/1986	0.239	0.290	0.257	0.229	0.197	0.152	0.127	178.9
SCRI_1986_irr	SCRI_1986	25/07/1986	0.297	0.344	0.310	0.351	0.254	0.201	0.157	228.6
SCRI_1986_irr	SCRI_1986	25/07/1986	0.254	0.328	0.306	0.356	0.263	0.203	0.173	220.05
SCRI_1986_irr	SCRI_1986	25/07/1986	0.248	0.338	0.307	0.373	0.304	0.216	0.172	226.8
SCRI_1986_irr	SCRI_1986	25/07/1986	0.277	0.325	0.340	0.395	0.303	0.210	0.164	235.95
SCRI_1986_dry	SCRI_1986	25/07/1986	0.212	0.267	0.245	0.257	0.213	0.194	0.168	182.1
SCRI_1986_dry	SCRI_1986	25/07/1986	0.209	0.277	0.251	0.247	0.199	0.172	0.183	180
SCRI_1986_dry	SCRI_1986	25/07/1986	0.193	0.252	0.200	0.197	0.154	0.158	0.175	156.95
SCRI_1986_dry	SCRI_1986	25/07/1986	0.217	0.270	0.226	0.199	0.165	0.147	0.124	161.85
SCRI_1986_irr	SCRI_1986	1/08/1986	0.345	0.367	0.331	0.396	0.289	0.238	0.206	260.4
SCRI_1986_irr	SCRI_1986	1/08/1986	0.311	0.354	0.345	0.409	0.360	0.276	0.246	269.05
SCRI_1986_irr	SCRI_1986	1/08/1986	0.301	0.365	0.348	0.434	0.375	0.274	0.214	268.8
SCRI_1986_irr	SCRI_1986	1/08/1986	0.344	0.348	0.351	0.429	0.323	0.250	0.213	268.8
SCRI_1986_dry	SCRI_1986	1/08/1986	0.212	0.267	0.221	0.231	0.213	0.186	0.166	176.1
SCRI_1986_dry	SCRI_1986	1/08/1986	0.205	0.275	0.238	0.228	0.187	0.160	0.179	172.75
SCRI_1986_dry	SCRI_1986	1/08/1986	0.184	0.244	0.198	0.184	0.154	0.147	0.172	151.3
SCRI_1986_dry	SCRI_1986	1/08/1986	0.211	0.259	0.214	0.191	0.158	0.136	0.125	155.85
SCRI_1986_irr	SCRI_1986	13/08/1986	0.298	0.348	0.325	0.377	0.274	0.238	0.200	243.25
SCRI_1986_irr	SCRI_1986	13/08/1986	0.303	0.348	0.348	0.422	0.341	0.267	0.227	263.4
SCRI_1986_irr	SCRI_1986	13/08/1986  0.265  0.346  0.338  0.426  0.372  0.289  0.218  258.6
SCRI_1986_irr  SCRI_1986  13/08/1986  0.303  0.343  0.340  0.294  0.324  0.236  0.203  242.25
SCRI_1986_dry  SCRI_1986  13/08/1986  0.193  0.239  0.178  0.169  0.135  0.143  0.173  147.2
SCRI_1986_dry  SCRI_1986  13/08/1986  0.205  0.237  0.188  0.161  0.146  0.129  0.120  144.3
SCRI_1986_dry  SCRI_1986  13/08/1986  0.183  0.252  0.187  0.189  0.169  0.158  0.177  154.3
SCRI_1986_dry  SCRI_1986  13/08/1986  0.195  0.248  0.220  0.221  0.176  0.161  0.182  164.6
SCRI_1986_irr  SCRI_1986  22/08/1986  0.303  0.350  0.328  0.387  0.271  0.232  0.185  243.4
SCRI_1986_irr  SCRI_1986  22/08/1986  0.309  0.353  0.342  0.422  0.337  0.260  0.202  261.05
SCRI_1986_irr  SCRI_1986  22/08/1986  0.267  0.349  0.333  0.422  0.362  0.269  0.213  254.95
SCRI_1986_irr  SCRI_1986  22/08/1986  0.314  0.340  0.342  0.411  0.322  0.222  0.195  253.85
SCRI_1986_dry  SCRI_1986  22/08/1986  0.198  0.234  0.201  0.197  0.184  0.176  0.163  160.05
SCRI_1986_dry  SCRI_1986  22/08/1986  0.195  0.245  0.215  0.197  0.186  0.155  0.180  161.75
SCRI_1986_dry  SCRI_1986  22/08/1986  0.178  0.233  0.182  0.174  0.145  0.132  0.165  143.15
SCRI_1986_dry  SCRI_1986  22/08/1986  0.207  0.236  0.186  0.162  0.147  0.129  0.111  143.75
SCRI_1986_irr  SCRI_1986  28/08/1986  0.289  0.343  0.313  0.350  0.250  0.210  0.172  228.9
SCRI_1986_irr  SCRI_1986  28/08/1986  0.271  0.339  0.334  0.391  0.329  0.242  0.199  244.3
SCRI_1986_irr  SCRI_1986  28/08/1986  0.250  0.331  0.322  0.400  0.340  0.251  0.193  239.95
SCRI_1986_irr  SCRI_1986  28/08/1986  0.286  0.321  0.335  0.415  0.294  0.208  0.175  239.15
SCRI_1986_dry  SCRI_1986  28/08/1986  0.195  0.230  0.197  0.191  0.164  0.147  0.161  152.95
SCRI_1986_dry  SCRI_1986  28/08/1986  0.195  0.241  0.207  0.195  0.173  0.156  0.175  158.5
SCRI_1986_dry  SCRI_1986  28/08/1986  0.182  0.230  0.177  0.164  0.124  0.134  0.167  140.55
SCRI_1986_dry  SCRI_1986  28/08/1986  0.200  0.227  0.189  0.158  0.139  0.126  0.123  141.2
SCRI_1986_irr  SCRI_1986  8/09/1986  0.295  0.333  0.297  0.326  0.221  0.179  0.147  216.6
SCRI_1986_irr  SCRI_1986  8/09/1986  0.269  0.327  0.318  0.350  0.270  0.211  0.179  225.95
SCRI_1986_irr  SCRI_1986  8/09/1986  0.235  0.329  0.306  0.351  0.285  0.216  0.175  219
SCRI_1986_irr  SCRI_1986  8/09/1986  0.275  0.320  0.314  0.358  0.257  0.181  0.151  220.05
SCRI_1986_dry  SCRI_1986  8/09/1986  0.191  0.220  0.187  0.182  0.155  0.146  0.154  147.3
SCRI_1986_dry  SCRI_1986  8/09/1986  0.186  0.231  0.202  0.194  0.170  0.152  0.169  153.65
SCRI_1986_dry  SCRI_1986  8/09/1986  0.167  0.227  0.175  0.164  0.135  0.131  0.160  136.7
SCRI_1986_dry  SCRI_1986  8/09/1986  0.187  0.212  0.177  0.151  0.143  0.124  0.110  133.85
