SimulationName   Clock.Today  PotatoHarvestRule.Script.FinalTag  Potato.Leaf.Live.Nconc  Potato.Stem.Live.Nconc  Potato.Tuber.Live.Nconc  Potato.Leaf.Live.Wt  Potato.Stem.Live.Wt  Potato.Tuber.Live.Wt  Potato.Summariser.Total.Live.Wt  Potato.Leaf.LAI  Potato.Leaf.LiveN  Potato.Stem.Live.N  Potato.Tuber.Live.N  Potato.Total.Live.N  Potato.Tuber.DMconc  Potato.Tuber.LiveFWt  Potato.Summariser.AboveGround.Live.Wt  Potato.Summariser.Aboveground.Live.N  ExtraVariables.Script.AccumTtemerg  Potato.Summariser.AboveGround.Dead.N  Potato.Summariser.AboveGroundDeadWt  Potato.Leaf.SpecificArea
()  (yyyy-mm-dd)  ()  (%)  (%)  (%)  (g/m2)  (g/m2)  (g/m2)  (g/m2)  ()  (g/m2)  (g/m2)  (g/m2)  (g/m2)  (%)  (g/m2)  (g/m2)  (g/m2)  (oCd)  (g/m2)  (g/m2)  (mm^2/g)
BaxtersSowing2NovPopulation4  1999-02-15  *  *  *  *  97.34  172.36  835.04  1374.44  3.25  *  *  *  *  0.240  3537.08  269.70  *  1011.58  *  *  33300.72
BaxtersSowing2NovPopulation4  1999-03-01  *  *  *  *  79.87  186.36  1370.97  1903.43  2.72  *  *  *  *  0.235  5827.34  266.23  *  1188.04  *  *  34000.00
BaxtersSowing2NovPopulation4  1999-03-16  *  *  *  *  63.03  252.12  1757.01  2387.32  2.14  *  *  *  *  0.240  7314.49  315.15  *  1381.80  *  *  34000.00
BaxtersSowing2NovPopulation4  1999-04-27  yield  *  *  *  *  *  1469.33  1469.33  *  *  *  *  *  0.239  6147.18  *  *  1854.28  *  *  *
BaxtersSowing23NovPopulation4  1999-01-05  *  *  *  *  88.48  66.21  47.20  356.58  2.29  *  *  *  *  0.169  279.36  154.69  *  290.65  *  *  25892.53
BaxtersSowing23NovPopulation4  1999-01-18  *  *  *  *  132.95  135.09  262.48  798.56  4.42  *  *  *  *  0.186  1388.09  268.04  *  466.87  *  *  33172.85
BaxtersSowing23NovPopulation4  1999-02-01  *  *  *  *  162.59  233.01  507.04  1298.24  5.38  *  *  *  *  0.192  2584.99  395.60  *  657.65  *  *  32893.30
BaxtersSowing23NovPopulation4  1999-02-15  *  *  *  *  134.48  182.62  798.76  1432.96  4.52  *  *  *  *  0.231  3402.31  317.10  *  853.00  *  *  33591.13
BaxtersSowing23NovPopulation4  1999-03-01  *  *  *  *  94.55  220.61  1139.93  1770.23  3.21  *  *  *  *  0.228  4991.12  315.15  *  1029.46  *  *  34000.00
BaxtersSowing23NovPopulation4  1999-03-16  *  *  *  *  54.99  219.97  1446.40  1996.33  1.87  *  *  *  *  0.232  6289.39  274.96  *  1223.22  *  *  34000.00
BaxtersSowing23NovPopulation4  1999-03-28  *  *  *  *  55.87  223.49  2093.80  2652.53  1.90  *  *  *  *  0.232  8960.52  279.36  *  1378.36  *  *  34000.00
BaxtersSowing23NovPopulation4  1999-04-27  yield  *  *  *  *  *  1415.11  1415.11  *  *  *  *  *  0.240  5886.00  *  *  1695.70  *  *  *
BaxtersSowing23NovPopulation2  1999-01-05  *  *  *  *  68.71  49.08  33.83  269.40  1.71  *  *  *  *  0.165  198.23  117.78  *  290.65  *  *  24631.86
BaxtersSowing23NovPopulation2  1999-01-18  *  *  *  *  110.29  103.60  167.97  595.74  3.47  *  *  *  *  0.163  1021.39  213.89  *  466.87  *  *  31103.23
BaxtersSowing23NovPopulation2  1999-02-01  *  *  *  *  135.33  202.58  379.32  1055.15  4.43  *  *  *  *  0.187  1982.07  337.91  *  657.65  *  *  32452.85
BaxtersSowing23NovPopulation2  1999-02-15  *  *  *  *  127.15  186.74  598.81  1226.59  4.20  *  *  *  *  0.222  2726.33  313.89  *  853.00  *  *  33078.12
BaxtersSowing23NovPopulation2  1999-03-01  *  *  *  *  91.04  212.42  1038.55  1645.48  2.82  *  *  *  *  0.214  4840.94  303.46  *  1029.46  *  *  31000.00
BaxtersSowing23NovPopulation2  1999-03-16  *  *  *  *  42.81  171.26  1061.21  1489.35  1.33  *  *  *  *  0.229  4644.19  214.07  *  1223.22  *  *  31000.00
BaxtersSowing23NovPopulation2  1999-03-28  *  *  *  *  23.80  95.21  1002.70  1240.72  0.74  *  *  *  *  0.243  4104.22  119.01  *  1378.36  *  *  31000.00
BaxtersSowing23NovPopulation2  1999-04-27  yield  *  *  *  *  *  1056.03  1056.03  *  *  *  *  *  0.232  4554.34  *  *  1695.70  *  *  *
FUEFertiliser150early  1999-12-15  *  0.0666  0.0451  0.0193  116.94  59.54  67.83  244.31  2.87  7.79  2.68  1.31  11.77  *  *  176.49  1.05  344.72  *  *  22594.55
FUEFertiliser150early  1999-12-28  *  0.0556  0.0308  0.0157  183.73  99.82  300.13  583.68  4.57  10.18  3.08  4.70  17.95  *  *  283.55  1.33  488.09  *  *  24764.60
FUEFertiliser150early  2000-01-11  *  0.0499  0.0212  0.0152  158.81  162.50  688.40  1009.70  4.49  7.91  3.46  10.45  21.83  *  *  321.31  1.14  652.68  *  *  28163.51
FUEFertiliser150early  2000-01-24  *  0.0394  0.0149  0.0135  142.76  152.36  1050.48  1345.60  5.05  5.64  2.30  14.02  21.97  *  *  295.11  0.79  821.99  *  *  35153.62
