dd/mm/yyyy  Sowing  Popn  treatment  leafsize(1)  leafsize(2)  leafsize(3)  leafsize(4)  leafsize(5)  leafsize(6)  leafsize(7)  leafsize(8)  leafsize(9)  leafsize(10)  leafsize(11)  leafsize(12)  leafsize(13)  leafsize(14)  leafsize(15)  leafsize(16)  leafsize(17)  leafsize(18)  leafsize(19)  leafsize(20)  leafsize(21)  leafsize(22)  leafsize(23)  leafsize(24)  leafsize(25)  leafsize(26)  leafsize(27)  leafsize(28)  leafsize(29)  leafsize(30)  leafsize(31)  leafsize(32)  leafsize(33)  leafsize(34)  leafsize(35)
()  ()  ()  ()  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)  (mm2)
15/02/1999  2Nov  Pop2  2Nov_Pop2  *  *  *  *  *  16138  *  19864  24103  18978  23683  23285  31647  22631  23951  17338  24142  20556  18018  13514  13195  7611  11397  9392  10788  7596  6787  8839  7930  7440  3909  2494  2895  857  529
1/03/1999  2Nov  Pop2  2Nov_Pop2  *  *  *  *  *  *  *  *  14730  *  12374  12492  28065  13873  20538  20668  13698  17897  16400  14488  10247  12258  8240  6326  3522  3139  2282  1306  1023  525  *  *  *  *  *
16/03/1999  2Nov  Pop2  2Nov_Pop2  *  *  *  *  *  *  642  *  *  3178  6187  6246  11226  4624  4108  4134  3424  2983  2733  2415  1708  *  *  *  *  *  *  *  *  *  *  *  *  *  *
27/04/1999  2Nov  Pop2  2Nov_Pop2  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *
5/01/1999  23Nov  Pop2  23Nov_Pop2  1030  4040  5187  13408  16885  18175  22503  22792  25277  22127  19468  15780  11635  7458  4793  4707  1990  1430  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *
18/01/1999  23Nov  Pop2  23Nov_Pop2  2240  *  9010  7845  14023  22233  18395  26395  30215  33835  31192  30412  28465  18845  19715  13588  10537  8407  5017  2858  1810  1075  1100  *  *  *  *  *  *  *  *  *  *  *  *
1/02/1999  23Nov  Pop2  23Nov_Pop2  *  *  *  *  13750  *  20540  19113  35230  27336  31505  32810  31120  29030  21754  22932  24308  19662  19414  13446  11050  9114  4240  2726  1568  890  1760  *  *  *  *  *  *  *  *
15/02/1999  23Nov  Pop2  23Nov_Pop2  *  *  *  *  *  14340  25406  16496  31170  32470  30480  35600  30873  25842  31343  19183  24991  19556  21703  16937  14230  10843  10152  7626  7572  5662  3757  8073  3609  3098  1569  *  *  *  *
1/03/1999  23Nov  Pop2  23Nov_Pop2  *  *  *  *  *  *  *  *  *  4556  10502  10937  20747  19353  14503  22932  24308  19662  19414  13446  11050  9114  4240  2272  1045  445  293  *  *  *  *  *  *  *  *
16/03/1999  23Nov  Pop2  23Nov_Pop2  *  *  *  *  *  *  *  *  5872  4556  5251  10937  20747  4838  7251  11466  12154  13108  12943  8964  7367  6076  2120  909  523  148  *  *  *  *  *  *  *  *  *
28/03/1999  23Nov  Pop2  23Nov_Pop2  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *
27/04/1999  23Nov  Pop2  23Nov_Pop2  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *
