SimulationName  Clock.Today  Structure.MainStemNodeNo
()  (yyyy-mm-dd)  ()
Lincoln1993Sowing23Nov1993CultivarSolara  1993-12-31  7.47
Lincoln1993Sowing23Nov1993CultivarSolara  1994-01-05  8.70
Lincoln1993Sowing23Nov1993CultivarSolara  1994-01-10  11.27
Lincoln1993Sowing23Nov1993CultivarSolara  1994-01-14  13.30
Lincoln1993Sowing23Nov1993CultivarSolara  1994-01-18  14.43
Lincoln1993Sowing23Nov1993CultivarSolara  1994-01-21  15.73
Lincoln1993Sowing21Dec1993CultivarMassey  1994-01-10  2.60
Lincoln1993Sowing21Dec1993CultivarMassey  1994-01-14  4.10
Lincoln1993Sowing21Dec1993CultivarMassey  1994-01-18  5.20
Lincoln1993Sowing21Dec1993CultivarMassey  1994-01-21  6.63
Lincoln1993Sowing21Dec1993CultivarMassey  1994-01-25  7.63
Lincoln1993Sowing21Dec1993CultivarMassey  1994-01-28  8.33
Lincoln1993Sowing21Dec1993CultivarMassey  1994-02-01  9.43
Lincoln1993Sowing21Dec1993CultivarMassey  1994-02-04  10.40
Lincoln1993Sowing21Dec1993CultivarMassey  1994-02-08  10.73
Lincoln1993Sowing21Dec1993CultivarMassey  1994-02-11  11.97
Lincoln1993Sowing21Dec1993CultivarMassey  1994-02-15  12.67
Lincoln1993Sowing21Dec1993CultivarMassey  1994-02-18  13.18
Lincoln1993Sowing21Dec1993CultivarMassey  1994-02-22  12.91
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-01-10  2.63
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-01-14  4.30
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-01-18  5.60
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-01-21  6.63
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-01-25  8.00
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-01-28  8.93
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-02-01  10.77
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-02-04  11.80
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-02-08  12.90
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-02-11  14.30
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-02-15  15.76
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-02-18  16.96
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-02-22  17.56
Lincoln1993Sowing21Dec1993CultivarTrounce  1994-02-25  18.42
Lincoln1993Sowing21Dec1993CultivarRovar  1994-01-10  2.90
Lincoln1993Sowing21Dec1993CultivarRovar  1994-01-14  4.60
Lincoln1993Sowing21Dec1993CultivarRovar  1994-01-18  6.07
Lincoln1993Sowing21Dec1993CultivarRovar  1994-01-21  7.37
Lincoln1993Sowing21Dec1993CultivarRovar  1994-01-25  9.07
Lincoln1993Sowing21Dec1993CultivarRovar  1994-01-28  9.43
Lincoln1993Sowing21Dec1993CultivarRovar  1994-02-01  11.80
Lincoln1993Sowing21Dec1993CultivarRovar  1994-02-04  12.13
Lincoln1993Sowing21Dec1993CultivarRovar  1994-02-08  13.33
Lincoln1993Sowing21Dec1993CultivarRovar  1994-02-11  15.43
Lincoln1993Sowing21Dec1993CultivarRovar  1994-02-15  16.70
Lincoln1993Sowing21Dec1993CultivarRovar  1994-02-18  17.41
Lincoln1993Sowing21Dec1993CultivarRovar  1994-02-22  17.72
Lincoln1993Sowing21Dec1993CultivarRovar  1994-02-25  18.31
Lincoln1993Sowing21Dec1993CultivarRovar  1994-03-03  18.88
Lincoln1993Sowing21Dec1993CultivarWhero  1994-01-10  3.63
Lincoln1993Sowing21Dec1993CultivarWhero  1994-01-14  5.10
Lincoln1993Sowing21Dec1993CultivarWhero  1994-01-18  6.33
Lincoln1993Sowing21Dec1993CultivarWhero  1994-01-21  7.80
Lincoln1993Sowing21Dec1993CultivarWhero  1994-01-25  9.53
Lincoln1993Sowing21Dec1993CultivarWhero  1994-01-28  10.53
Lincoln1993Sowing21Dec1993CultivarWhero  1994-02-01  12.13
Lincoln1993Sowing21Dec1993CultivarWhero  1994-02-04  13.60
Lincoln1993Sowing21Dec1993CultivarWhero  1994-02-08  15.13
Lincoln1993Sowing21Dec1993CultivarWhero  1994-02-11  17.53
Lincoln1993Sowing21Dec1993CultivarWhero  1994-02-15  19.00
Lincoln1993Sowing21Dec1993CultivarWhero  1994-02-18  20.76
Lincoln1993Sowing21Dec1993CultivarWhero  1994-02-22  22.54
