SimulationName  FieldPeaHarvestRule.Script.FinalLeafTag  NFF  FNN  FN
Lincoln1993Sowing24May1994CultivarRovar  FinalLeaf  13.65384615  19.11538462  5.461538462
Lincoln1993Sowing24May1994CultivarWhero  FinalLeaf  17.79310345  24  6.206896552
Lincoln1993Sowing24May1994CultivarPatea  FinalLeaf  12.03703704  17.83333333  5.796296296
Lincoln1993Sowing17Jul1994CultivarMassey  FinalLeaf  8.2  11.51724138  3.317241379
Lincoln1993Sowing17Jul1994CultivarTrounce  FinalLeaf  13.23333333  17  3.766666667
Lincoln1993Sowing17Jul1994CultivarRovar  FinalLeaf  13.10344828  16.92857143  3.825123153
Lincoln1993Sowing17Jul1994CultivarWhero  FinalLeaf  16.6  20.04347826  3.443478261
Lincoln1993Sowing17Jul1994CultivarPatea  FinalLeaf  11.8  15.34482759  3.544827586
Lincoln1993Sowing15Aug1994CultivarMassey  FinalLeaf  7.8  11.53333333  3.733333333
Lincoln1993Sowing15Aug1994CultivarTrounce  FinalLeaf  13.2  16.86666667  3.666666667
Lincoln1993Sowing15Aug1994CultivarRovar  FinalLeaf  13.125  15.125  2
Lincoln1993Sowing15Aug1994CultivarWhero  FinalLeaf  17.95833333  20.375  2.416666667
Lincoln1993Sowing15Aug1994CultivarPatea  FinalLeaf  11.06666667  14.51851852  3.451851852
Lincoln1993Sowing15Sep1994CultivarMassey  FinalLeaf  7.933333333  10.93333333  3
Lincoln1993Sowing15Sep1994CultivarTrounce  FinalLeaf  12.6  16.5  3.9
Lincoln1993Sowing15Sep1994CultivarRovar  FinalLeaf  12.93333333  16.33333333  3.4
Lincoln1993Sowing15Sep1994CultivarWhero  FinalLeaf  17.125  20.68  3.555
Lincoln1993Sowing15Sep1994CultivarPatea  FinalLeaf  11.06666667  15.79310345  4.726436782
Lincoln1993Sowing12Oct1994CultivarMassey  FinalLeaf  7.466666667  11.27586207  3.809195402
Lincoln1993Sowing12Oct1994CultivarTrounce  FinalLeaf  12.42307692  15.57692308  3.153846154
Lincoln1993Sowing12Oct1994CultivarRovar  FinalLeaf  12.64285714  15.46428571  2.821428571
Lincoln1993Sowing12Oct1994CultivarWhero  FinalLeaf  17.91304348  20.60869565  2.695652174
Lincoln1993Sowing12Oct1994CultivarPatea  FinalLeaf  11.16666667  14.4  3.233333333
