Title Treatment dd/mmm/yyyy sw(1) sw(2) sw(3) sw(4) sw(5) sw(6) sw(7) sw(8) sw_dep()
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 28/12/2004 0.228 0.255 0.260 0.223 0.226 0.166 0.225 0.252 366.93
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 28/12/2004 0.227 0.249 0.239 0.221 0.228 0.161 0.164 0.235 345.00
RS_Peas_0405_Full_T1 Full_T1 3/01/2005 0.276 0.254 0.244 0.203 0.175 0.142 0.217 0.268 355.60
RS_Peas_0405_Nil_T2 Nil_T2 3/01/2005 0.108 0.174 0.245 0.244 0.235 0.240 0.227 0.247 344.00
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 3/01/2005 0.210 0.218 0.219 0.216 0.201 0.175 0.189 0.239 333.20
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 3/01/2005 0.094 0.171 0.207 0.197 0.169 0.213 0.149 0.148 269.67
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 3/01/2005 0.108 0.188 0.216 0.219 0.212 0.186 0.244 0.216 318.00
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 3/01/2005 0.122 0.187 0.230 0.222 0.201 0.200 0.222 0.239 324.27
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 3/01/2005 0.249 0.260 0.262 0.226 0.195 0.166 0.223 0.248 365.73
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 3/01/2005 0.247 0.255 0.240 0.219 0.224 0.159 0.163 0.232 348.00
RS_Peas_0405_Full_T1 Full_T1 10/01/2005 0.288 0.258 0.244 0.203 0.174 0.142 0.220 0.271 359.73
RS_Peas_0405_Nil_T2 Nil_T2 10/01/2005 0.102 0.166 0.237 0.231 0.230 0.234 0.224 0.247 334.17
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 10/01/2005 0.233 0.232 0.225 0.212 0.196 0.172 0.189 0.239 339.87
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 10/01/2005 0.082 0.161 0.195 0.182 0.159 0.207 0.148 0.148 256.33
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 10/01/2005 0.100 0.182 0.194 0.199 0.207 0.183 0.243 0.214 304.60
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 10/01/2005 0.121 0.170 0.204 0.208 0.196 0.199 0.220 0.235 310.53
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 10/01/2005 0.253 0.258 0.256 0.221 0.197 0.165 0.223 0.244 363.67
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 10/01/2005 0.249 0.252 0.236 0.216 0.226 0.159 0.162 0.235 347.07
RS_Peas_0405_Full_T1 Full_T1 17/01/2005 0.239 0.225 0.229 0.188 0.169 0.140 0.219 0.270 335.80
RS_Peas_0405_Nil_T2 Nil_T2 17/01/2005 0.082 0.151 0.212 0.212 0.222 0.230 0.225 0.245 315.67
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 17/01/2005 0.164 0.206 0.214 0.205 0.191 0.168 0.188 0.238 314.60
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 17/01/2005 0.093 0.175 0.171 0.169 0.148 0.199 0.145 0.145 249.13
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 17/01/2005 0.085 0.168 0.165 0.174 0.198 0.177 0.241 0.214 284.60
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 17/01/2005 0.093 0.147 0.177 0.182 0.187 0.194 0.218 0.233 286.27
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 17/01/2005 0.165 0.196 0.236 0.204 0.190 0.165 0.221 0.244 324.07
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 17/01/2005 0.169 0.223 0.218 0.206 0.220 0.156 0.160 0.232 316.93
RS_Peas_0405_Full_T1 Full_T1 24/01/2005 0.264 0.244 0.229 0.185 0.163 0.139 0.218 0.268 342.00
RS_Peas_0405_Nil_T2 Nil_T2 24/01/2005 0.084 0.150 0.201 0.193 0.214 0.225 0.224 0.247 307.87
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 24/01/2005 0.199 0.232 0.221 0.202 0.188 0.169 0.188 0.239 327.60
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 24/01/2005 0.197 0.211 0.197 0.168 0.141 0.195 0.142 0.146 279.40
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 24/01/2005 0.079 0.167 0.152 0.158 0.190 0.175 0.243 0.216 275.93
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 24/01/2005 0.087 0.139 0.151 0.160 0.179 0.192 0.217 0.234 271.67
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 24/01/2005 0.128 0.172 0.183 0.175 0.184 0.162 0.225 0.247 295.53
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 24/01/2005 0.222 0.239 0.199 0.199 0.215 0.155 0.162 0.235 325.13
RS_Peas_0405_Full_T1 Full_T1 31/01/2005 0.252 0.271 0.250 0.191 0.166 0.143 0.230 0.279 356.47
RS_Peas_0405_Nil_T2 Nil_T2 31/01/2005 0.073 0.158 0.209 0.193 0.210 0.231 0.229 0.255 311.73
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 31/01/2005 0.214 0.263 0.237 0.211 0.188 0.170 0.194 0.250 345.53
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 31/01/2005 0.240 0.269 0.225 0.180 0.147 0.201 0.150 0.150 312.40
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 31/01/2005 0.078 0.173 0.157 0.161 0.187 0.175 0.251 0.224 281.27
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 31/01/2005 0.078 0.142 0.151 0.154 0.175 0.192 0.222 0.239 270.80
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 31/01/2005 0.110 0.166 0.166 0.153 0.175 0.162 0.230 0.257 284.13
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 31/01/2005 0.249 0.266 0.237 0.206 0.220 0.158 0.167 0.242 348.93
RS_Peas_0405_Full_T1 Full_T1 7/02/2005 0.298 0.270 0.246 0.188 0.154 0.136 0.221 0.267 356.07
RS_Peas_0405_Nil_T2 Nil_T2 7/02/2005 0.094 0.157 0.202 0.186 0.194 0.216 0.219 0.246 302.93
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 7/02/2005 0.247 0.263 0.236 0.202 0.180 0.163 0.188 0.241 344.00
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 7/02/2005 0.288 0.285 0.241 0.183 0.145 0.192 0.142 0.144 324.07
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 7/02/2005 0.205 0.187 0.160 0.160 0.179 0.168 0.240 0.213 302.33
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 7/02/2005 0.081 0.138 0.146 0.147 0.164 0.182 0.210 0.230 259.60
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 7/02/2005 0.130 0.158 0.153 0.134 0.159 0.155 0.219 0.246 270.53
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 7/02/2005 0.182 0.220 0.217 0.189 0.207 0.150 0.159 0.232 310.93
RS_Peas_0405_Full_T1 Full_T1 14/02/2005 0.305 0.281 0.258 0.198 0.162 0.136 0.220 0.271 366.07
RS_Peas_0405_Nil_T2 Nil_T2 14/02/2005 0.083 0.165 0.211 0.190 0.193 0.214 0.219 0.244 303.80
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 14/02/2005 0.275 0.283 0.246 0.217 0.185 0.164 0.185 0.241 358.93
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 14/02/2005 0.297 0.295 0.272 0.218 0.160 0.202 0.141 0.145 346.07
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 14/02/2005 0.231 0.233 0.182 0.163 0.178 0.167 0.241 0.211 321.13
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 14/02/2005 0.079 0.143 0.152 0.150 0.162 0.180 0.211 0.229 261.13
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 14/02/2005 0.110 0.160 0.156 0.134 0.154 0.148 0.219 0.249 265.87
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 14/02/2005 0.149 0.204 0.209 0.181 0.202 0.144 0.157 0.232 295.67
RS_Peas_0405_Full_T1 Full_T1 21/02/2005 0.301 0.289 0.264 0.211 0.163 0.137 0.220 0.270 370.73
RS_Peas_0405_Nil_T2 Nil_T2 21/02/2005 0.078 0.167 0.214 0.189 0.191 0.209 0.217 0.245 301.87
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 21/02/2005 0.282 0.292 0.259 0.232 0.187 0.162 0.184 0.248 369.33
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 21/02/2005 0.280 0.299 0.276 0.234 0.181 0.209 0.142 0.142 352.73
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 21/02/2005 0.241 0.261 0.207 0.172 0.181 0.166 0.240 0.212 335.87
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 21/02/2005 0.076 0.144 0.152 0.151 0.161 0.178 0.209 0.227 259.47
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 21/02/2005 0.098 0.161 0.156 0.132 0.149 0.144 0.213 0.246 260.07
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 21/02/2005 0.113 0.203 0.205 0.178 0.199 0.142 0.151 0.230 284.27
RS_Peas_0405_Full_T1 Full_T1 28/02/2005 0.215 0.282 0.262 0.209 0.169 0.143 0.228 0.277 357.20
RS_Peas_0405_Nil_T2 Nil_T2 28/02/2005 * * * * * * * * *
RS_Peas_0405_Nil3_Full9_T3 Nil3_Full9_T3 28/02/2005 0.198 0.287 0.258 0.234 0.196 0.173 0.192 0.253 358.00
RS_Peas_0405_Nil6_Full6_T4 Nil6_Full6_T4 28/02/2005 * * * * * * * * *
RS_Peas_0405_Nil9_Full3_T5 Nil9_Full3_T5 28/02/2005 * * * * * * * * *
RS_Peas_0405_Full3_Nil9_T6 Full3_Nil9_T6 28/02/2005 * * * * * * * * *
RS_Peas_0405_Full6_Nil6_T7 Full6_Nil6_T7 28/02/2005 * * * * * * * * *
RS_Peas_0405_Full9_Nil3_T8 Full9_Nil3_T8 28/02/2005 0.119 0.209 0.213 0.182 0.203 0.145 0.159 0.236 293.13
