SimulationName	Clock.Today	TotalAboveGroundWt	Barley.Leaf.Live.Wt	Barley.Stem.Wt	Barley.Dead.Wt	Barley.Ear.Wt	Barley.Grain.Wt	Barley.Leaf.LAI	[Barley].Phenology.Zadok.Stage
RS_Barley_1415_CvDashLow	2015-01-14	*	*	*	*	*	*	*	83
RS_Barley_1415_CvDashLow	2015-01-16	*	*	*	*	*	*	*	86
RS_Barley_1415_CvDashLow	2015-01-19	*	*	*	*	*	*	*	88
RS_Barley_1415_CvDashLow	2015-01-22	*	*	*	*	*	*	*	92
RS_Barley_1415_CvDashLow	2015-01-26	*	*	*	*	*	*	*	92
RS_Barley_1415_CvDashLow	2015-01-29	*	*	*	*	*	*	*	*
RS_Barley_1415_CvDashLow	2015-02-04	*	*	*	*	*	*	*	*
RS_Barley_1415_CvDashLow	2015-02-10	*	*	*	*	*	*	*	*
RS_Barley_1415_CvDashMid	2014-11-04	*	*	*	*	*	*	*	12
RS_Barley_1415_CvDashMid	2014-11-07	*	*	*	*	*	*	*	21
RS_Barley_1415_CvDashMid	2014-11-13	*	*	*	*	*	*	*	22
RS_Barley_1415_CvDashMid	2014-11-17	*	*	*	*	*	*	*	23
RS_Barley_1415_CvDashMid	2014-11-21	*	*	*	*	*	*	*	30
RS_Barley_1415_CvDashMid	2014-11-24	*	*	*	*	*	*	*	31
RS_Barley_1415_CvDashMid	2014-11-27	*	*	*	*	*	*	*	32
RS_Barley_1415_CvDashMid	2014-12-05	*	*	*	*	*	*	*	41
RS_Barley_1415_CvDashMid	2014-12-08	*	*	*	*	*	*	*	41
RS_Barley_1415_CvDashMid	2014-12-12	*	*	*	*	*	*	*	42
RS_Barley_1415_CvDashMid	2014-12-16	*	*	*	*	*	*	*	47
RS_Barley_1415_CvDashMid	2014-12-18	*	*	*	*	*	*	*	59
RS_Barley_1415_CvDashMid	2014-12-23	*	*	*	*	*	*	*	70.8
RS_Barley_1415_CvDashMid	2014-12-30	*	*	*	*	*	*	*	81
RS_Barley_1415_CvDashMid	2015-01-06	*	*	*	*	*	*	*	83
RS_Barley_1415_CvDashMid	2015-01-14	*	*	*	*	*	*	*	83
RS_Barley_1415_CvDashMid	2015-01-16	*	*	*	*	*	*	*	85
RS_Barley_1415_CvDashMid	2015-01-19	*	*	*	*	*	*	*	87
RS_Barley_1415_CvDashMid	2015-01-22	*	*	*	*	*	*	*	88
RS_Barley_1415_CvDashMid	2015-01-26	*	*	*	*	*	*	*	89
RS_Barley_1415_CvDashMid	2015-01-29	*	*	*	*	*	*	*	92
RS_Barley_1415_CvDashMid	2015-02-04	*	*	*	*	*	*	*	92
RS_Barley_1415_CvDashMid	2015-02-10	*	*	*	*	*	*	*	93
RS_Barley_1415_CvDashHigh	2014-11-04	*	*	*	*	*	*	*	12
RS_Barley_1415_CvDashHigh	2014-11-07	*	*	*	*	*	*	*	21
RS_Barley_1415_CvDashHigh	2014-11-13	*	*	*	*	*	*	*	22
RS_Barley_1415_CvDashHigh	2014-11-17	*	*	*	*	*	*	*	24
RS_Barley_1415_CvDashHigh	2014-11-21	*	*	*	*	*	*	*	30
RS_Barley_1415_CvDashHigh	2014-11-24	*	*	*	*	*	*	*	31
RS_Barley_1415_CvDashHigh	2014-11-27	*	*	*	*	*	*	*	31
RS_Barley_1415_CvDashHigh	2014-12-05	*	*	*	*	*	*	*	38
RS_Barley_1415_CvDashHigh	2014-12-08	*	*	*	*	*	*	*	41
RS_Barley_1415_CvDashHigh	2014-12-12	*	*	*	*	*	*	*	42
RS_Barley_1415_CvDashHigh	2014-12-16	*	*	*	*	*	*	*	43
RS_Barley_1415_CvDashHigh	2014-12-18	*	*	*	*	*	*	*	59
RS_Barley_1415_CvDashHigh	2014-12-23	*	*	*	*	*	*	*	70.5
RS_Barley_1415_CvDashHigh	2014-12-30	*	*	*	*	*	*	*	81
RS_Barley_1415_CvDashHigh	2015-01-06	*	*	*	*	*	*	*	82
RS_Barley_1415_CvDashHigh	2015-01-14	*	*	*	*	*	*	*	82
RS_Barley_1415_CvDashHigh	2015-01-16	*	*	*	*	*	*	*	85
RS_Barley_1415_CvDashHigh	2015-01-19	*	*	*	*	*	*	*	85
RS_Barley_1415_CvDashHigh	2015-01-22	*	*	*	*	*	*	*	86
RS_Barley_1415_CvDashHigh	2015-01-26	*	*	*	*	*	*	*	87
RS_Barley_1415_CvDashHigh	2015-01-29	*	*	*	*	*	*	*	91
RS_Barley_1415_CvDashHigh	2015-02-04	*	*	*	*	*	*	*	92
RS_Barley_1415_CvDashHigh	2015-02-10	*	*	*	*	*	*	*	93
RS_Barley_1415_CvOmakaLow	2014-11-04	*	*	*	*	*	*	*	12
RS_Barley_1415_CvOmakaLow	2014-11-07	*	*	*	*	*	*	*	21
RS_Barley_1415_CvOmakaLow	2014-11-13	*	*	*	*	*	*	*	22
RS_Barley_1415_CvOmakaLow	2014-11-17	*	*	*	*	*	*	*	24
RS_Barley_1415_CvOmakaLow	2014-11-21	*	*	*	*	*	*	*	30
RS_Barley_1415_CvOmakaLow	2014-11-24	*	*	*	*	*	*	*	31
RS_Barley_1415_CvOmakaLow	2014-11-27	*	*	*	*	*	*	*	31
RS_Barley_1415_CvOmakaLow	2014-12-05	*	*	*	*	*	*	*	38
RS_Barley_1415_CvOmakaLow	2014-12-08	*	*	*	*	*	*	*	41
RS_Barley_1415_CvOmakaLow	2014-12-12	*	*	*	*	*	*	*	43
RS_Barley_1415_CvOmakaLow	2014-12-16	*	*	*	*	*	*	*	45
RS_Barley_1415_CvOmakaLow	2014-12-18	*	*	*	*	*	*	*	59
RS_Barley_1415_CvOmakaLow	2014-12-23	*	*	*	*	*	*	*	70.5
RS_Barley_1415_CvOmakaLow	2014-12-30	*	*	*	*	*	*	*	81
RS_Barley_1415_CvOmakaLow	2015-01-06	*	*	*	*	*	*	*	83
RS_Barley_1415_CvOmakaLow	2015-01-14	*	*	*	*	*	*	*	85
RS_Barley_1415_CvOmakaLow	2015-01-16	*	*	*	*	*	*	*	85
RS_Barley_1415_CvOmakaLow	2015-01-19	*	*	*	*	*	*	*	91
RS_Barley_1415_CvOmakaLow	2015-01-22	*	*	*	*	*	*	*	92
RS_Barley_1415_CvOmakaLow	2015-01-26	*	*	*	*	*	*	*	92
RS_Barley_1415_CvOmakaLow	2015-01-29	*	*	*	*	*	*	*	*
RS_Barley_1415_CvOmakaLow	2015-02-04	*	*	*	*	*	*	*	*
RS_Barley_1415_CvOmakaLow	2015-02-10	*	*	*	*	*	*	*	*
RS_Barley_1415_CvOmakaMid	2014-11-04	*	*	*	*	*	*	*	12
RS_Barley_1415_CvOmakaMid	2014-11-07	*	*	*	*	*	*	*	21
RS_Barley_1415_CvOmakaMid	2014-11-13	*	*	*	*	*	*	*	22
RS_Barley_1415_CvOmakaMid	2014-11-17	*	*	*	*	*	*	*	23
RS_Barley_1415_CvOmakaMid	2014-11-21	*	*	*	*	*	*	*	30
RS_Barley_1415_CvOmakaMid	2014-11-24	*	*	*	*	*	*	*	31
RS_Barley_1415_CvOmakaMid	2014-11-27	*	*	*	*	*	*	*	31
RS_Barley_1415_CvOmakaMid	2014-12-05	*	*	*	*	*	*	*	38
RS_Barley_1415_CvOmakaMid	2014-12-08	*	*	*	*	*	*	*	41
RS_Barley_1415_CvOmakaMid	2014-12-12	*	*	*	*	*	*	*	43
RS_Barley_1415_CvOmakaMid	2014-12-16	*	*	*	*	*	*	*	45
RS_Barley_1415_CvOmakaMid	2014-12-18	*	*	*	*	*	*	*	59
RS_Barley_1415_CvOmakaMid	2014-12-23	*	*	*	*	*	*	*	70.5
RS_Barley_1415_CvOmakaMid	2014-12-30	*	*	*	*	*	*	*	81
RS_Barley_1415_CvOmakaMid	2015-01-06	*	*	*	*	*	*	*	82
RS_Barley_1415_CvOmakaMid	2015-01-14	*	*	*	*	*	*	*	84
RS_Barley_1415_CvOmakaMid	2015-01-16	*	*	*	*	*	*	*	84
RS_Barley_1415_CvOmakaMid	2015-01-19	*	*	*	*	*	*	*	87
RS_Barley_1415_CvOmakaMid	2015-01-22	*	*	*	*	*	*	*	88
RS_Barley_1415_CvOmakaMid	2015-01-26	*	*	*	*	*	*	*	89
RS_Barley_1415_CvOmakaMid	2015-01-29	*	*	*	*	*	*	*	92
RS_Barley_1415_CvOmakaMid	2015-02-04	*	*	*	*	*	*	*	92
RS_Barley_1415_CvOmakaMid	2015-02-10	*	*	*	*	*	*	*	93
RS_Barley_1415_CvOmakaHigh	2014-11-04	*	*	*	*	*	*	*	12
RS_Barley_1415_CvOmakaHigh	2014-11-07	*	*	*	*	*	*	*	21
RS_Barley_1415_CvOmakaHigh	2014-11-13	*	*	*	*	*	*	*	22
RS_Barley_1415_CvOmakaHigh	2014-11-17	*	*	*	*	*	*	*	24
RS_Barley_1415_CvOmakaHigh	2014-11-21	*	*	*	*	*	*	*	30
RS_Barley_1415_CvOmakaHigh	2014-11-24	*	*	*	*	*	*	*	31
RS_Barley_1415_CvOmakaHigh	2014-11-27	*	*	*	*	*	*	*	31
RS_Barley_1415_CvOmakaHigh	2014-12-05	*	*	*	*	*	*	*	38
RS_Barley_1415_CvOmakaHigh	2014-12-08	*	*	*	*	*	*	*	41
RS_Barley_1415_CvOmakaHigh	2014-12-12	*	*	*	*	*	*	*	42
RS_Barley_1415_CvOmakaHigh	2014-12-16	*	*	*	*	*	*	*	43
RS_Barley_1415_CvOmakaHigh	2014-12-18	*	*	*	*	*	*	*	59
RS_Barley_1415_CvOmakaHigh	2014-12-23	*	*	*	*	*	*	*	70.5
RS_Barley_1415_CvOmakaHigh	2014-12-30	*	*	*	*	*	*	*	81
RS_Barley_1415_CvOmakaHigh	2015-01-06	*	*	*	*	*	*	*	82
RS_Barley_1415_CvOmakaHigh	2015-01-14	*	*	*	*	*	*	*	82
RS_Barley_1415_CvOmakaHigh	2015-01-16	*	*	*	*	*	*	*	84
RS_Barley_1415_CvOmakaHigh	2015-01-19	*	*	*	*	*	*	*	85
RS_Barley_1415_CvOmakaHigh	2015-01-22	*	*	*	*	*	*	*	86
RS_Barley_1415_CvOmakaHigh	2015-01-26	*	*	*	*	*	*	*	87
RS_Barley_1415_CvOmakaHigh	2015-01-29	*	*	*	*	*	*	*	91
RS_Barley_1415_CvOmakaHigh	2015-02-04	*	*	*	*	*	*	*	92
RS_Barley_1415_CvOmakaHigh	2015-02-10	*	*	*	*	*	*	*	93
