SimulationName	Clock.Today	Barley.AboveGround.Wt	Barley.Leaf.Live.Wt	Barley.Stem.Wt	Barley.Dead.Wt	Barley.Ear.Wt	Barley.Grain.Wt	Barley.Leaf.LAI	Barley.Phenology.Zadok.Stage	Barley.Phenology.CurrentStageName
RS2014_15CultDashIrrMed	2014-11-21								30	
RS2014_15CultDashIrrMed	2014-11-24								31	
RS2014_15CultDashIrrMed	2014-11-27								32	
RS2014_15CultDashIrrMed	2014-12-05								41	
RS2014_15CultDashIrrMed	2014-12-08								41	
RS2014_15CultDashIrrMed	2014-12-12								42	
RS2014_15CultDashIrrMed	2014-12-16								47	
RS2014_15CultDashIrrMed	2014-12-18								59	
RS2014_15CultDashIrrMed	2014-12-23								70.8	
RS2014_15CultDashIrrMed	2014-12-30								81	
RS2014_15CultDashIrrMed	2015-01-06								83	
RS2014_15CultDashIrrMed	2015-01-14								83	
RS2014_15CultDashIrrMed	2015-01-16								85	
RS2014_15CultDashIrrMed	2015-01-19								87	
RS2014_15CultDashIrrMed	2015-01-22								88	
RS2014_15CultDashIrrMed	2015-01-26								89	
RS2014_15CultDashIrrMed	2015-01-29								92	
RS2014_15CultDashIrrMed	2015-02-04								92	
RS2014_15CultDashIrrMed	2015-02-10								93	
RS2014_15CultDashIrrHigh	2014-11-04								12	
RS2014_15CultDashIrrHigh	2014-11-07								21	
RS2014_15CultDashIrrHigh	2014-11-13								22	
RS2014_15CultDashIrrHigh	2014-11-17								24	
RS2014_15CultDashIrrHigh	2014-11-21								30	
RS2014_15CultDashIrrHigh	2014-11-24								31	
RS2014_15CultDashIrrHigh	2014-11-27								31	
RS2014_15CultDashIrrHigh	2014-12-05								38	
RS2014_15CultDashIrrHigh	2014-12-08								41	
RS2014_15CultDashIrrHigh	2014-12-12								42	
RS2014_15CultDashIrrHigh	2014-12-16								43	
RS2014_15CultDashIrrHigh	2014-12-18								59	
RS2014_15CultDashIrrHigh	2014-12-23								70.5	
RS2014_15CultDashIrrHigh	2014-12-30								81	
RS2014_15CultDashIrrHigh	2015-01-06								82	
RS2014_15CultDashIrrHigh	2015-01-14								82	
RS2014_15CultDashIrrHigh	2015-01-16								85	
RS2014_15CultDashIrrHigh	2015-01-19								85	
RS2014_15CultDashIrrHigh	2015-01-22								86	
RS2014_15CultDashIrrHigh	2015-01-26								87	
RS2014_15CultDashIrrHigh	2015-01-29								91	
RS2014_15CultDashIrrHigh	2015-02-04								92	
RS2014_15CultDashIrrHigh	2015-02-10								93	
RS2014_15CultOmakaIrrLow	2014-11-04								12	
RS2014_15CultOmakaIrrLow	2014-11-07								21	
RS2014_15CultOmakaIrrLow	2014-11-13								22	
RS2014_15CultOmakaIrrLow	2014-11-17								24	
RS2014_15CultOmakaIrrLow	2014-11-21								30	
RS2014_15CultOmakaIrrLow	2014-11-24								31	
RS2014_15CultOmakaIrrLow	2014-11-27								31	
RS2014_15CultOmakaIrrLow	2014-12-05								38	
RS2014_15CultOmakaIrrLow	2014-12-08								41	
RS2014_15CultOmakaIrrLow	2014-12-12								43	
RS2014_15CultOmakaIrrLow	2014-12-16								45	
RS2014_15CultOmakaIrrLow	2014-12-18								59	
RS2014_15CultOmakaIrrLow	2014-12-23								70.5	
RS2014_15CultOmakaIrrLow	2014-12-30								81	
RS2014_15CultOmakaIrrLow	2015-01-06								83	
RS2014_15CultOmakaIrrLow	2015-01-14								85	
RS2014_15CultOmakaIrrLow	2015-01-16								85	
RS2014_15CultOmakaIrrLow	2015-01-19								91	
RS2014_15CultOmakaIrrLow	2015-01-22								92	
RS2014_15CultOmakaIrrLow	2015-01-26								92	
RS2014_15CultOmakaIrrLow	2015-01-29									
RS2014_15CultOmakaIrrLow	2015-02-04									
RS2014_15CultOmakaIrrLow	2015-02-10									
RS2014_15CultOmakaIrrMed	2014-11-04								12	
RS2014_15CultOmakaIrrMed	2014-11-07								21	
RS2014_15CultOmakaIrrMed	2014-11-13								22	
RS2014_15CultOmakaIrrMed	2014-11-17								23	
RS2014_15CultOmakaIrrMed	2014-11-21								30	
RS2014_15CultOmakaIrrMed	2014-11-24								31	
RS2014_15CultOmakaIrrMed	2014-11-27								31	
RS2014_15CultOmakaIrrMed	2014-12-05								38	
RS2014_15CultOmakaIrrMed	2014-12-08								41	
RS2014_15CultOmakaIrrMed	2014-12-12								43	
RS2014_15CultOmakaIrrMed	2014-12-16								45	
RS2014_15CultOmakaIrrMed	2014-12-18								59	
RS2014_15CultOmakaIrrMed	2014-12-23								70.5	
RS2014_15CultOmakaIrrMed	2014-12-30								81	
RS2014_15CultOmakaIrrMed	2015-01-06								82	
RS2014_15CultOmakaIrrMed	2015-01-14								84	
RS2014_15CultOmakaIrrMed	2015-01-16								84	
RS2014_15CultOmakaIrrMed	2015-01-19								87	
RS2014_15CultOmakaIrrMed	2015-01-22								88	
RS2014_15CultOmakaIrrMed	2015-01-26								89	
RS2014_15CultOmakaIrrMed	2015-01-29								92	
RS2014_15CultOmakaIrrMed	2015-02-04								92	
RS2014_15CultOmakaIrrMed	2015-02-10								93	
RS2014_15CultOmakaIrrHigh	2014-11-04								12	
RS2014_15CultOmakaIrrHigh	2014-11-07								21	
RS2014_15CultOmakaIrrHigh	2014-11-13								22	
RS2014_15CultOmakaIrrHigh	2014-11-17								24	
RS2014_15CultOmakaIrrHigh	2014-11-21								30	
RS2014_15CultOmakaIrrHigh	2014-11-24								31	
RS2014_15CultOmakaIrrHigh	2014-11-27								31	
RS2014_15CultOmakaIrrHigh	2014-12-05								38	
RS2014_15CultOmakaIrrHigh	2014-12-08								41	
RS2014_15CultOmakaIrrHigh	2014-12-12								42	
RS2014_15CultOmakaIrrHigh	2014-12-16								43	
RS2014_15CultOmakaIrrHigh	2014-12-18								59	
RS2014_15CultOmakaIrrHigh	2014-12-23								70.5	
RS2014_15CultOmakaIrrHigh	2014-12-30								81	
RS2014_15CultOmakaIrrHigh	2015-01-06								82	
RS2014_15CultOmakaIrrHigh	2015-01-14								82	
RS2014_15CultOmakaIrrHigh	2015-01-16								84	
RS2014_15CultOmakaIrrHigh	2015-01-19								85	
RS2014_15CultOmakaIrrHigh	2015-01-22								86	
RS2014_15CultOmakaIrrHigh	2015-01-26								87	
RS2014_15CultOmakaIrrHigh	2015-01-29								91	
RS2014_15CultOmakaIrrHigh	2015-02-04								92	
RS2014_15CultOmakaIrrHigh	2015-02-10								93	
