SimulationName	Treatment	Clock.Today	Barley.Leaf.Live.Wt	Barley.Stem.Wt	Barley.Ear.Wt	Barley.Grain.Wt	Barley.Chaff.Wt	TotalAboveGroundWt	Barley.Leaf.CoverGreen	Barley.Leaf.LAI
()	()	()	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	()	(m2/m2)
RS_Barley_8889_MiddleDrought1	6	1988-12-13	*	*	*	*	*	11620	578	6.18632
RS_Barley_8889_MiddleDrought2	7	1988-12-13	*	*	*	*	*	12600	572	4.4339
RS_Barley_8889_MiddleDrought3	8	1988-12-13	*	*	*	*	*	12240	538	1.91619
RS_Barley_8889_MiddleDrought4	9	1988-12-13	*	*	*	*	*	10190	*	2.46848
RS_Barley_8889_LateDrought1	10	1988-12-13	*	*	*	*	*	11830	554	2.16441
RS_Barley_8889_LateDrought2	11	1988-12-13	*	*	*	*	*	12350	572	3.11886
RS_Barley_8889_LateDrought3	12	1988-12-13	*	*	*	*	*	10810	582	5.49703
RS_Barley_8889_Control	1	1988-12-16	*	*	*	*	*	13660	601	5.10461
RS_Barley_8889_EarlyDrought1	2	1988-12-16	*	*	*	*	*	*	*	4.84
RS_Barley_8889_EarlyDrought2	3	1988-12-16	*	*	*	*	*	6910	485	6.28
RS_Barley_8889_EarlyDrought3	4	1988-12-16	*	*	*	*	*	*	*	3.69
RS_Barley_8889_EarlyDrought4	5	1988-12-16	*	*	*	*	*	6380	429	1.85
RS_Barley_8889_MiddleDrought1	6	1988-12-16	*	*	*	*	*	13420	608	5.43746
RS_Barley_8889_MiddleDrought2	7	1988-12-16	*	*	*	*	*	11590	599	3.5296
RS_Barley_8889_MiddleDrought3	8	1988-12-16	*	*	*	*	*	9190	557	2.8287
RS_Barley_8889_MiddleDrought4	9	1988-12-16	*	*	*	*	*	10370	*	1.03019
RS_Barley_8889_LateDrought1	10	1988-12-16	*	*	*	*	*	12710	567	0.32875
RS_Barley_8889_LateDrought2	11	1988-12-16	*	*	*	*	*	14130	590	0.84381
RS_Barley_8889_LateDrought3	12	1988-12-16	*	*	*	*	*	12330	607	1.61074
RS_Barley_8889_Control	1	1988-12-22	*	*	*	*	*	16120	673	4.19798
RS_Barley_8889_EarlyDrought1	2	1988-12-22	*	*	*	*	*	*	*	4.18
RS_Barley_8889_EarlyDrought2	3	1988-12-22	*	*	*	*	*	10270	557	3.65
RS_Barley_8889_EarlyDrought3	4	1988-12-22	*	*	*	*	*	*	*	4
RS_Barley_8889_EarlyDrought4	5	1988-12-22	*	*	*	*	*	8670	480	2.25
RS_Barley_8889_MiddleDrought1	6	1988-12-22	*	*	*	*	*	13720	659	0.41
RS_Barley_8889_MiddleDrought2	7	1988-12-22	*	*	*	*	*	11150	658	2.18195
RS_Barley_8889_MiddleDrought3	8	1988-12-22	*	*	*	*	*	14340	588	0
RS_Barley_8889_MiddleDrought4	9	1988-12-22	*	*	*	*	*	12960	*	0
RS_Barley_8889_LateDrought1	10	1988-12-22	*	*	*	*	*	14470	572	0
RS_Barley_8889_LateDrought2	11	1988-12-22	*	*	*	*	*	13320	602	0
RS_Barley_8889_LateDrought3	12	1988-12-22	*	*	*	*	*	14970	628	0
RS_Barley_8889_Control	1	1988-12-27	*	*	*	*	*	16540	719	1.84275
RS_Barley_8889_EarlyDrought1	2	1988-12-27	*	*	*	*	*	*	*	5.03
RS_Barley_8889_EarlyDrought2	3	1988-12-27	*	*	*	*	*	11180	614	4.35
RS_Barley_8889_EarlyDrought3	4	1988-12-27	*	*	*	*	*	*	*	3.98
RS_Barley_8889_EarlyDrought4	5	1988-12-27	*	*	*	*	*	7180	523	*
RS_Barley_8889_MiddleDrought1	6	1988-12-27	*	*	*	*	*	14060	675	0.74569
RS_Barley_8889_MiddleDrought2	7	1988-12-27	*	*	*	*	*	15470	687	0.82395
RS_Barley_8889_MiddleDrought3	8	1988-12-27	*	*	*	*	*	12460	588	*
RS_Barley_8889_MiddleDrought4	9	1988-12-27	*	*	*	*	*	12430	*	*
RS_Barley_8889_LateDrought1	10	1988-12-27	*	*	*	*	*	15050	572	*
RS_Barley_8889_LateDrought2	11	1988-12-27	*	*	*	*	*	14510	602	*
RS_Barley_8889_LateDrought3	12	1988-12-27	*	*	*	*	*	12430	628	*
RS_Barley_8889_Control	1	1989-01-05	*	*	*	*	*	15800	749	0.09692
RS_Barley_8889_EarlyDrought1	2	1989-01-05	*	*	*	*	*	*	*	1.32
RS_Barley_8889_EarlyDrought2	3	1989-01-05	*	*	*	*	*	12330	695	3.87
