SimulationName OldName Clock.Today FodderBeet.Phenology.Stage FodderBeet.Phenology.StageX FodderBeet.Phenology.AccumulatedThermalTime.Value FodderBeet.Summariser.LiveDM FodderBeet.Bulb.Live.Wt FodderBeet.Petiole.Live.Wt FodderBeet.Leaf.Live.Wt FodderBeet.Total.Wt FodderBeet.TotalDead.Wt FodderBeet.Leaf.LAI FodderBeet.Leaf.PlantAppearedGreenLeafNo FodderBeet.Leaf.PlantAppearedLeafNo FodderBeet.Leaf.PlantSenescedLeafNo FodderBeet.Leaf.CoverGreen
() () () () () (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (m2/m2) () () () (0-1)
Lincoln2014CvRiv_Dec FRNLRivageSD4 2015-04-07 * * 1938.9 1123.6 857.9 121.8 143.9 1262.5 138.9 2.0 * * * *
Lincoln2014CvRiv_Dec FRNLRivageSD4 2015-04-29 * * 2213.4 1607.6 1343.0 121.5 143.1 1749.9 142.3 2.3 * * * *
Lincoln2014CvRiv_Dec FRNLRivageSD4 2015-05-18 * * 2439.1 1511.2 1184.6 142.7 183.9 1671.0 159.8 2.6 * * * *
Lincoln2014CvRiv_Dec FRNLRivageSD4 2015-06-15 * * 2656.9 1606.5 1383.1 92.8 130.6 1844.1 237.6 1.9 * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2015-02-02 * * 905.6 87.8 19.3 18.2 50.3 89.4 1.6 0.9 * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2015-02-23 * * 1242.0 468.4 200.1 91.7 176.6 477.4 9.0 4.5 * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2015-03-16 * * 1608.4 965.9 662.8 130.8 172.2 1034.3 68.4 3.2 * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2015-04-07 * * 1938.9 1052.6 784.9 126.6 141.1 1214.4 161.8 1.7 * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2015-04-29 * * 2213.4 1150.2 914.5 110.2 125.6 1269.9 119.7 2.0 * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2015-05-18 * * 2439.1 1273.4 1038.7 106.7 128.0 1422.3 148.9 2.1 * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2015-06-15 * * 2656.9 1349.6 1168.2 86.1 95.3 1568.8 219.2 1.5 * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2015-07-16 * * * 1284.3 1123.5 67.8 92.9 1449.0 164.7 1.1 * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2015-08-13 * * * 1583.6 1420.6 62.7 100.3 1798.6 215.0 1.1 * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2015-09-15 * * * 1615.0 1411.5 90.3 113.2 1845.9 231.0 1.3 * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2014-10-05 3 emergence * * * * * * * * * * * *
Lincoln2014CvRiv_Oct FRNLRivageSD2 2014-11-05 3 emergence * * * * * * * * * * * *
Lincoln2014CvRiv_Nov FRNLRivageSD3 2014-11-22 3 emergence * * * * * * * * * * * *
Lincoln2014CvRiv_Dec FRNLRivageSD4 2014-12-22 3 emergence * * * * * * * * * * * *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2014-10-08 3 emergence * * * * * * * * * * * *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2014-11-04 3 emergence * * * * * * * * * * * *
Lincoln2014CvBri_Nov FRNLBrigadierSD3 2014-11-22 3 emergence * * * * * * * * * * * *
Lincoln2014CvBri_Dec FRNLBrigadierSD4 2014-12-26 3 emergence * * * * * * * * * * * *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2014-11-07 * * * * * * * * * * 6.2 6.2 0.0 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2014-11-13 * * * * * * * * * * 8.4 8.4 0.0 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2014-11-21 * * * * * * * * * * 10.4 10.4 0.0 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2014-11-27 * * * * * * * * * * 12.5 12.9 0.4 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2014-12-04 * * * * * * * * * * 13.8 15.6 1.8 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2014-12-11 * * * * * * * * * * 15.4 18.1 2.7 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2014-12-18 * * * * * * * * * * 17.1 20.9 3.8 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2014-12-26 * * * * * * * * * * 19.6 24.0 4.4 *
