SimulationName	Clock.Today	FodderBeet.Leaf.LAI	FodderBeet.Leaf.Live.Nconc	FodderBeet.Leaf.Live.Wt	FodderBeet.Petiole.Live.Wt	FodderBeet.Petiole.Live.Nconc	FodderBeet.TotalDead.Wt	FodderBeet.TotalDead.Nconc	FodderBeet.StorageRoot.Live.Wt	FodderBeet.StorageRoot.Live.Nconc	FodderBeet.AboveGround.Wt	FodderBeet.AboveGround.N	FodderBeet.Leaf.Live.N	FodderBeet.Petiole.Live.N	FodderBeet.StorageRoot.Live.N	FodderBeet.Phenology.Stage	FodderBeet.Structure.LeafTipsAppeared	FodderBeet.Leaf.CoverTotal	Soil.Temperature(1)	Soil.Temperature(2)	Soil.Temperature(3)	Soil.Temperature(4)	Soil.Temperature(5)	Soil.Temperature(6)	Soil.Temperature(7)	Soil.SoilNitrogen.mineral_n(1)	Soil.SoilNitrogen.mineral_n(2)	Soil.SoilNitrogen.mineral_n(3)	Soil.SoilNitrogen.mineral_n(4)	Soil.SoilNitrogen.mineral_n(5)	Soil.SoilNitrogen.mineral_n(6)	Soil.SoilNitrogen.NH4(1)	Soil.SoilNitrogen.NH4(2)	Soil.SoilNitrogen.NH4(3)	Soil.SoilNitrogen.NH4(4)	Soil.SoilNitrogen.NH4(5)	Soil.SoilNitrogen.NH4(6)	Soil.SoilNitrogen.NO3(1)	Soil.SoilNitrogen.NO3(2)	Soil.SoilNitrogen.NO3(3)	Soil.SoilNitrogen.NO3(4)	Soil.SoilNitrogen.NO3(5)	Soil.SoilNitrogen.NO3(6)	Soil.SoilNitrogen.ProfileMineralN	Soil.SoilNitrogen.ProfileNO3	Soil.SoilNitrogen.ProfileNH4	Soil.SoilWater.SW(1)	Soil.SoilWater.SW(2)	Soil.SoilWater.SW(3)	Soil.SoilWater.SW(4)	Soil.SoilWater.SW(5)	Soil.SoilWater.SW(6)	Soil.SoilWater.SW(7)	Soil.SoilWater.ProfileWater	Nit	Irr
LincolnRS2016IrrFullNit300	2016-11-17	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	12.03759909	15.29229036	16.09014792	15.74503229	15.00986745	14.32530052	13.85463854	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.221078125	0.22746875	0.26736875	0.313575	0.282325	0.21151875	0.1480875	434.1445313	300	Full
LincolnRS2016IrrNilNit300	2016-11-17	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	12.42363529	15.61442109	16.22875781	15.81485729	15.04290469	14.28527708	13.89059896	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.21303125	0.26759375	0.24503125	0.28795	0.28275625	0.28444375	0.2045375	463.509375	300	Nil
LincolnRS2016IrrFullNit50	2016-11-17	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	12.12996719	15.31105807	16.14578021	15.72721979	14.98779635	14.32218203	13.83735313	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.223646875	0.24218125	0.2501125	0.30505625	0.2678	0.2410125	0.13518125	429.6229688	50	Full
LincolnRS2016IrrNilNit50	2016-11-17	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	12.32497656	15.56555052	16.1734987	15.84082109	15.07138333	14.33707786	13.88361771	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.208321875	0.23774375	0.24886875	0.2767125	0.2616875	0.252225	0.12235625	415.4648438	50	Nil
LincolnRS2016IrrFullNit0	2016-11-18	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	15.50361732	15.69446016	15.43367578	15.5798862	15.1389625	14.39571458	13.92720417	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.21080625	0.24735625	0.2430125	0.23799375	0.219875	0.2645875	0.176425	411.2925	0	Full
LincolnRS2016IrrNilNit0	2016-11-18	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	15.40360573	15.60662188	15.34932188	15.51072656	15.1401849	14.4023849	13.8984099	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.21281875	0.24130625	0.2436625	0.23995	0.26649375	0.2848	0.187225	434.758125	0	Nil
LincolnRS2016IrrFullNit300	2016-11-18	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	15.08254701	15.42005156	15.28056432	15.4491724	15.039275	14.37155182	13.8906849	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.220190625	0.2285125	0.26715625	0.31320625	0.2821125	0.21151875	0.1480875	433.9298438	300	Full
LincolnRS2016IrrNilNit300	2016-11-18	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	15.4849569	15.51926641	15.40422786	15.51515677	15.07018672	14.32966536	13.92727292	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.212290625	0.2683625	0.24500625	0.28751875	0.2827125	0.28443125	0.2045375	463.3598438	300	Nil
LincolnRS2016IrrFullNit50	2016-11-18	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	15.33093086	15.58198021	15.34008307	15.43894948	15.01996797	14.36837422	13.87125677	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.223171875	0.2430375	0.2498375	0.3047125	0.26766875	0.24099375	0.1351875	429.4514063	50	Full
LincolnRS2016IrrNilNit50	2016-11-18	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	15.26152214	15.5672487	15.41409115	15.53673932	15.1090125	14.37929271	13.91780365	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.2070875	0.23819375	0.2487125	0.27629375	0.261525	0.2521875	0.12245	415.1428125	50	Nil
