Date	species	dorm_t	seed_dorm_time	germ_index	shoot_dm	seedl_dm	estab_dm	senc_dm	dead_dm	litter_dm	green_dm	dry_dm	leaf_dm	stem_dm	avail_dm	root_dm	seed_dm	rlv[1]	rlv[2]	rlv[3]	rlv[4]	rlv[5]	rlv[6]
1990-08-12	Perennial Ryegrass	-999.9	-1	0	3429.7	0.0	1720.9	0.0	1684.46	24.35	1720.86	1709	1265.51	2164.16	3026.08	472.28	0.0	0.039	0.015	0.007	0.003	0.001	0.000
1990-08-13	Perennial Ryegrass	-999.9	-1	0	3417.2	0.0	1733.5	0.0	1679.15	4.50	1733.51	1684	1264.19	2152.97	3014.22	478.77	0.0	0.039	0.015	0.007	0.003	0.001	0.000
1990-08-14	Perennial Ryegrass	-999.9	-1	0	3434.5	0.0	1756.2	0.0	1670.01	8.33	1756.18	1678	1276.86	2157.66	3029.29	491.00	0.0	0.040	0.015	0.007	0.003	0.001	0.000
1990-08-15	Perennial Ryegrass	-999.9	-1	0	3434.2	0.0	1765.0	0.0	1652.01	17.20	1765.02	1669	1279.19	2155.04	3032.22	495.14	0.0	0.041	0.016	0.007	0.003	0.001	0.000
1990-08-16	Perennial Ryegrass	-999.9	-1	0	3437.6	0.0	1783.9	0.0	1651.23	2.46	1783.95	1654	1286.29	2151.34	3033.34	506.40	0.0	0.042	0.016	0.007	0.003	0.001	0.000
1990-08-17	Perennial Ryegrass	-999.9	-1	0	3455.2	0.0	1799.8	0.0	1652.97	2.46	1799.82	1655	1298.57	2156.68	3051.69	517.20	0.0	0.042	0.016	0.007	0.003	0.001	0.000
1990-08-18	Perennial Ryegrass	-999.9	-1	0	3470.9	0.0	1816.8	0.0	1651.67	2.46	1816.78	1654	1309.59	2161.32	3067.14	526.76	0.0	0.043	0.017	0.007	0.003	0.001	0.000
1990-08-19	Perennial Ryegrass	-999.9	-1	0	3484.3	0.0	1830.7	0.0	1630.98	22.67	1830.68	1654	1319.16	2165.16	3081.26	534.97	0.0	0.044	0.017	0.007	0.003	0.001	0.000
1990-08-20	Perennial Ryegrass	-999.9	-1	0	3468.7	0.0	1838.4	0.0	1610.22	20.00	1838.44	1630	1315.49	2153.17	3066.97	538.23	0.0	0.044	0.017	0.008	0.003	0.001	0.000
1990-08-21	Perennial Ryegrass	-999.9	-1	0	3470.4	0.0	1860.9	0.0	1602.40	7.05	1860.95	1609	1322.33	2148.07	3065.50	549.51	0.0	0.045	0.017	0.008	0.003	0.001	0.000
1990-08-22	Perennial Ryegrass	-999.9	-1	0	3475.2	0.0	1873.5	0.0	1591.07	10.56	1873.52	1602	1327.60	2147.56	3072.45	555.30	0.0	0.045	0.018	0.008	0.003	0.001	0.000
1990-08-23	Perennial Ryegrass	-999.9	-1	0	3487.9	0.0	1897.1	0.0	1588.44	2.36	1897.07	1591	1338.95	2148.91	3082.84	567.23	0.0	0.046	0.018	0.008	0.003	0.001	0.000
1990-08-24	Perennial Ryegrass	-999.9	-1	0	3511.9	0.0	1924.2	0.0	1585.33	2.35	1924.19	1588	1355.30	2156.57	3106.15	580.67	0.0	0.047	0.019	0.008	0.003	0.001	0.000
1990-08-25	Perennial Ryegrass	-999.9	-1	0	3524.9	0.0	1940.4	0.0	1573.28	11.29	1940.37	1585	1364.62	2160.32	3121.58	588.16	0.0	0.048	0.019	0.008	0.003	0.001	0.000
1990-08-26	Perennial Ryegrass	-999.9	-1	0	3535.1	0.0	1962.5	0.0	1570.22	2.33	1962.54	1573	1374.54	2160.55	3130.51	598.77	0.0	0.049	0.019	0.008	0.004	0.001	0.000
1990-08-27	Perennial Ryegrass	-999.9	-1	0	3547.6	0.0	1978.1	0.0	1567.15	2.32	1978.10	1569	1383.47	2164.10	3144.40	605.81	0.0	0.049	0.019	0.009	0.004	0.001	0.000
1990-08-28	Perennial Ryegrass	-999.9	-1	0	3566.5	0.0	2000.1	0.0	1564.08	2.32	2000.10	1566	1396.54	2169.96	3162.05	616.16	0.0	0.050	0.020	0.009	0.004	0.001	0.000
1990-08-29	Perennial Ryegrass	-999.9	-1	0	3574.2	0.0	2010.9	0.0	1559.19	4.14	2010.86	1563	1402.39	2171.80	3172.04	620.59	0.0	0.050	0.020	0.009	0.004	0.001	0.000
1990-08-30	Perennial Ryegrass	-999.9	-1	0	3602.0	0.0	2043.5	0.0	1551.64	6.80	2043.54	1558	1421.65	2180.33	3195.48	636.32	0.0	0.052	0.021	0.009	0.004	0.001	0.000
1990-08-31	Perennial Ryegrass	-999.9	-1	0	3603.0	0.0	2052.1	0.0	1508.77	42.13	2052.09	1551	1424.46	2178.53	3201.32	639.48	0.0	0.052	0.021	0.009	0.004	0.001	0.000
1990-09-01	Perennial Ryegrass	-999.9	-1	0	3592.0	0.0	2084.0	0.0	1505.83	2.22	2083.97	1508	1429.51	2162.51	3185.81	654.59	0.0	0.053	0.021	0.009	0.004	0.001	0.000
1990-09-02	Perennial Ryegrass	-999.9	-1	0	3637.4	0.0	2132.3	0.0	1489.04	16.07	2132.31	1505	1459.52	2177.91	3228.15	677.93	0.0	0.055	0.022	0.010	0.004	0.001	0.000
1990-09-03	Perennial Ryegrass	-999.9	-1	0	3656.2	0.0	2167.9	0.0	1468.86	19.47	2167.88	1488	1476.42	2179.79	3249.54	694.49	0.0	0.056	0.023	0.010	0.004	0.001	0.000
1990-09-04	Perennial Ryegrass	-999.9	-1	0	3673.4	0.0	2205.3	0.0	1466.01	2.15	2205.26	1468	1493.31	2180.12	3266.53	711.80	0.0	0.057	0.023	0.010	0.004	0.001	0.000
1990-09-05	Perennial Ryegrass	-999.9	-1	0	3711.8	0.0	2246.4	0.0	1463.17	2.15	2246.45	1465	1518.75	2193.02	3304.29	730.82	0.0	0.059	0.024	0.010	0.004	0.001	0.000
1990-09-06	Perennial Ryegrass	-999.9	-1	0	3745.7	0.0	2283.2	0.0	1460.33	2.15	2283.20	1462	1541.33	2204.34	3339.12	747.45	0.0	0.060	0.024	0.011	0.004	0.001	0.000
1990-09-07	Perennial Ryegrass	-999.9	-1	0	3775.3	0.0	2315.7	0.0	1457.49	2.14	2315.67	1460	1561.18	2214.13	3369.62	761.83	0.0	0.061	0.025	0.011	0.005	0.001	0.000
1990-09-08	Perennial Ryegrass	-999.9	-1	0	3807.7	0.0	2350.9	0.0	1454.67	2.14	2350.88	1457	1582.76	2224.92	3401.60	777.44	0.0	0.062	0.026	0.011	0.005	0.001	0.000
1990-09-09	Perennial Ryegrass	-999.9	-1	0	3840.7	0.0	2386.7	0.0	1451.84	2.13	2386.68	1454	1604.72	2235.93	3434.56	793.21	0.0	0.064	0.026	0.011	0.005	0.001	0.000
1990-09-10	Perennial Ryegrass	-999.9	-1	0	3868.5	0.0	2417.3	0.0	1449.03	2.13	2417.34	1451	1623.39	2245.11	3463.36	806.37	0.0	0.065	0.027	0.012	0.005	0.001	0.000
1990-09-11	Perennial Ryegrass	-999.9	-1	0	3888.6	0.0	2440.3	0.0	1446.22	2.12	2440.28	1448	1637.13	2251.50	3484.83	815.72	0.0	0.065	0.027	0.012	0.005	0.001	0.000
1990-09-12	Perennial Ryegrass	-999.9	-1	0	3907.5	0.0	2462.0	0.0	1381.57	63.97	2461.98	1446	1650.06	2257.46	3503.96	824.43	0.0	0.066	0.027	0.012	0.005	0.002	0.000
1990-09-13	Perennial Ryegrass	-999.9	-1	0	3857.1	0.0	2476.2	0.0	1348.24	32.68	2476.17	1381	1636.74	2220.34	3454.78	829.53	0.0	0.066	0.027	0.012	0.005	0.002	0.000
1990-09-14	Perennial Ryegrass	-999.9	-1	0	3859.3	0.0	2511.7	0.0	1345.65	1.96	2511.68	1348	1648.21	2211.07	3453.54	844.79	0.0	0.067	0.028	0.012	0.005	0.002	0.000
1990-09-15	Perennial Ryegrass	-999.9	-1	0	3907.5	0.0	2562.5	0.0	1343.06	1.95	2562.50	1345	1679.83	2227.68	3499.42	867.24	0.0	0.069	0.029	0.012	0.005	0.002	0.000
1990-09-16	Perennial Ryegrass	-999.9	-1	0	3955.5	0.0	2613.1	0.0	1337.42	5.00	2613.11	1342	1711.30	2244.24	3547.64	889.40	0.0	0.071	0.030	0.013	0.005	0.002	0.000
1990-09-17	Perennial Ryegrass	-999.9	-1	0	3993.2	0.0	2656.4	0.0	1334.86	1.94	2656.38	1337	1737.06	2256.11	3586.55	907.92	0.0	0.072	0.030	0.013	0.005	0.002	0.000
1990-09-18	Perennial Ryegrass	-999.9	-1	0	4030.2	0.0	2696.0	0.0	1332.30	1.93	2696.01	1334	1761.52	2268.72	3624.27	924.60	0.0	0.074	0.031	0.013	0.006	0.002	0.000
1990-09-19	Perennial Ryegrass	-999.9	-1	0	4056.5	0.0	2724.8	0.0	1328.21	3.46	2724.81	1332	1779.06	2277.41	3652.20	936.11	0.0	0.074	0.031	0.013	0.006	0.002	0.000
1990-09-20	Perennial Ryegrass	-999.9	-1	0	4098.0	0.0	2770.5	0.0	1302.39	25.19	2770.46	1328	1806.84	2291.21	3691.35	955.41	0.0	0.076	0.032	0.014	0.006	0.002	0.000
1990-09-21	Perennial Ryegrass	-999.9	-1	0	4129.0	0.0	2827.2	0.0	1299.90	1.88	2827.20	1302	1834.48	2294.50	3720.79	979.70	0.0	0.078	0.033	0.014	0.006	0.002	0.000
1990-09-22	Perennial Ryegrass	-999.9	-1	0	4161.6	0.0	2862.3	0.0	1297.41	1.88	2862.29	1299	1856.04	2305.54	3756.62	993.83	0.0	0.079	0.033	0.014	0.006	0.002	0.000
1990-09-23	Perennial Ryegrass	-999.9	-1	0	4190.3	0.0	2893.5	0.0	1294.93	1.87	2893.52	1297	1875.13	2315.19	3785.96	1006.08	0.0	0.080	0.034	0.015	0.006	0.002	0.000
1990-09-24	Perennial Ryegrass	-999.9	-1	0	4216.0	0.0	2921.7	0.0	1292.46	1.87	2921.67	1294	1892.27	2323.73	3812.10	1016.82	0.0	0.080	0.034	0.015	0.006	0.002	0.000
1990-09-25	Perennial Ryegrass	-999.9	-1	0	4230.3	0.0	2938.4	0.0	1285.64	6.21	2938.43	1292	1902.15	2328.13	3827.98	1022.24	0.0	0.081	0.035	0.015	0.006	0.002	0.000
1990-09-26	Perennial Ryegrass	-999.9	-1	0	4243.0	0.0	2958.0	0.0	1283.18	1.86	2957.96	1285	1912.40	2330.60	3840.34	1028.89	0.0	0.081	0.035	0.015	0.006	0.002	0.000
1990-09-27	Perennial Ryegrass	-999.9	-1	0	4259.8	0.0	2977.2	0.0	1280.73	1.85	2977.17	1283	1923.85	2335.91	3857.15	1035.40	0.0	0.082	0.035	0.015	0.006	0.002	0.000
1990-09-28	Perennial Ryegrass	-999.9	-1	0	4275.1	0.0	2995.0	0.0	1278.29	1.85	2994.99	1280	1934.42	2340.71	3872.73	1041.26	0.0	0.082	0.035	0.015	0.006	0.002	0.000
1990-09-29	Perennial Ryegrass	-999.9	-1	0	4288.6	0.0	3010.9	0.0	1275.84	1.84	3010.93	1278	1943.79	2344.83	3886.49	1046.24	0.0	0.083	0.036	0.015	0.006	0.002	0.000
1990-09-30	Perennial Ryegrass	-999.9	-1	0	4309.4	0.0	3034.1	0.0	1273.41	1.84	3034.13	1275	1957.78	2351.60	3906.29	1054.57	0.0	0.083	0.036	0.015	0.006	0.002	0.000
1990-10-01	Perennial Ryegrass	-999.9	-1	0	4325.4	0.0	3052.6	0.0	1270.98	1.84	3052.58	1273	1968.75	2356.65	3922.96	1060.67	0.0	0.083	0.036	0.016	0.006	0.002	0.000
1990-10-02	Perennial Ryegrass	-999.9	-1	0	4338.0	0.0	3067.6	0.0	1268.56	1.83	3067.61	1270	1977.55	2360.45	3936.03	1065.19	0.0	0.083	0.037	0.016	0.006	0.002	0.000
1990-10-03	Perennial Ryegrass	-999.9	-1	0	4347.0	0.0	3079.0	0.0	1264.69	3.28	3079.01	1268	1984.04	2362.93	3945.49	1068.04	0.0	0.083	0.037	0.016	0.006	0.002	0.000
1990-10-04	Perennial Ryegrass	-999.9	-1	0	4353.0	0.0	3088.9	0.0	1262.28	1.82	3088.92	1264	1989.12	2363.89	3951.73	1070.18	0.0	0.083	0.037	0.016	0.006	0.002	0.000
1990-10-05	Perennial Ryegrass	-999.9	-1	0	4348.6	0.0	3086.9	0.0	1228.28	33.41	3086.90	1262	1986.83	2361.75	3948.85	1067.27	0.0	0.082	0.037	0.016	0.006	0.002	0.000
1990-10-06	Perennial Ryegrass	-999.9	-1	0	4335.3	0.0	3107.6	0.0	1225.95	1.76	3107.57	1228	1989.10	2346.18	3932.60	1074.37	0.0	0.083	0.037	0.016	0.006	0.002	0.000
1990-10-07	Perennial Ryegrass	-999.9	-1	0	4350.2	0.0	3124.8	0.0	1223.62	1.76	3124.81	1225	1999.34	2350.85	3947.97	1079.88	0.0	0.083	0.038	0.016	0.006	0.002	0.000
1990-10-08	Perennial Ryegrass	-999.9	-1	0	4357.1	0.0	3134.1	0.0	1177.69	45.36	3134.09	1223	2004.54	2352.61	3955.95	1081.70	0.0	0.084	0.038	0.016	0.006	0.002	0.000
1990-10-09	Perennial Ryegrass	-999.9	-1	0	4353.3	0.0	3176.1	0.0	1174.13	3.01	3176.12	1177	2016.80	2336.47	3947.90	1098.69	0.0	0.085	0.038	0.016	0.007	0.002	0.000
1990-10-10	Perennial Ryegrass	-999.9	-1	0	4376.0	0.0	3202.4	0.0	1137.50	36.08	3202.40	1174	2032.40	2343.59	3972.68	1108.32	0.0	0.086	0.039	0.017	0.007	0.002	0.000
1990-10-11	Perennial Ryegrass	-999.9	-1	0	4376.8	0.0	3239.8	0.0	1121.56	15.42	3239.78	1137	2044.92	2331.84	3972.09	1123.00	0.0	0.087	0.039	0.017	0.007	0.002	0.000
1990-10-12	Perennial Ryegrass	-999.9	-1	0	4399.1	0.0	3278.0	0.0	1119.45	1.59	3278.02	1121	2064.40	2334.66	3994.34	1138.03	0.0	0.088	0.040	0.017	0.007	0.002	0.000
1990-10-13	Perennial Ryegrass	-999.9	-1	0	4431.3	0.0	3312.4	0.0	1117.34	1.59	3312.41	1119	2085.59	2345.75	4027.14	1151.23	0.0	0.089	0.041	0.017	0.007	0.002	0.000
1990-10-14	Perennial Ryegrass	-999.9	-1	0	4459.7	0.0	3342.9	0.0	1115.24	1.59	3342.85	1117	2104.28	2355.40	4056.00	1162.59	0.0	0.090	0.041	0.017	0.007	0.002	0.000
1990-10-15	Perennial Ryegrass	-999.9	-1	0	4479.7	0.0	3365.0	0.0	1105.99	8.74	3364.99	1115	2117.71	2362.02	4077.07	1170.06	0.0	0.091	0.041	0.018	0.007	0.002	0.000
1990-10-16	Perennial Ryegrass	-999.9	-1	0	4501.4	0.0	3395.9	0.0	1103.91	1.57	3395.93	1105	2134.58	2366.83	4097.73	1181.53	0.0	0.091	0.042	0.018	0.007	0.002	0.000
1990-10-17	Perennial Ryegrass	-999.9	-1	0	4517.2	0.0	3413.8	0.0	1101.84	1.56	3413.80	1103	2145.31	2371.89	4115.10	1186.93	0.0	0.092	0.042	0.018	0.007	0.002	0.000
1990-10-18	Perennial Ryegrass	-999.9	-1	0	4532.4	0.0	3431.1	0.0	1097.32	4.01	3431.09	1101	2155.67	2376.75	4130.39	1192.03	0.0	0.092	0.042	0.018	0.007	0.002	0.000
1990-10-19	Perennial Ryegrass	-999.9	-1	0	4522.4	0.0	3425.6	0.0	1042.68	54.14	3425.62	1097	2150.03	2372.41	4123.08	1187.86	0.0	0.092	0.042	0.018	0.007	0.002	0.000
1990-10-20	Perennial Ryegrass	-999.9	-1	0	4513.1	0.0	3470.9	0.0	1034.10	8.11	3470.93	1042	2162.70	2350.43	4107.84	1205.97	0.0	0.093	0.043	0.018	0.007	0.002	0.000
1990-10-21	Perennial Ryegrass	-999.9	-1	0	4544.0	0.0	3510.4	0.0	996.95	36.67	3510.36	1034	2185.25	2358.74	4139.44	1221.32	0.0	0.095	0.043	0.018	0.007	0.002	0.000
1990-10-22	Perennial Ryegrass	-999.9	-1	0	4542.8	0.0	3546.3	0.0	995.10	1.40	3546.31	996	2197.53	2345.27	4138.71	1235.03	0.0	0.096	0.044	0.019	0.007	0.002	0.000
1990-10-23	Perennial Ryegrass	-999.9	-1	0	4576.1	0.0	3581.4	0.0	993.25	1.39	3581.42	995	2219.25	2356.82	4172.11	1248.29	0.0	0.097	0.044	0.019	0.007	0.002	0.000
1990-10-24	Perennial Ryegrass	-999.9	-1	0	4607.3	0.0	3614.5	0.0	991.41	1.39	3614.48	993	2239.67	2367.62	4203.59	1260.55	0.0	0.098	0.045	0.019	0.007	0.002	0.000
1990-10-25	Perennial Ryegrass	-999.9	-1	0	4634.7	0.0	3643.7	0.0	989.57	1.39	3643.73	991	2257.67	2377.02	4231.45	1271.00	0.0	0.098	0.045	0.019	0.007	0.002	0.000
1990-10-26	Perennial Ryegrass	-999.9	-1	0	4659.8	0.0	3670.7	0.0	987.74	1.38	3670.67	989	2274.21	2385.58	4256.83	1280.32	0.0	0.099	0.046	0.019	0.007	0.002	0.000
1990-10-27	Perennial Ryegrass	-999.9	-1	0	4681.4	0.0	3694.1	0.0	985.91	1.38	3694.07	987	2288.52	2392.84	4278.81	1287.92	0.0	0.100	0.046	0.019	0.007	0.002	0.000
1990-10-28	Perennial Ryegrass	-999.9	-1	0	4696.4	0.0	3710.9	0.0	984.08	1.38	3710.93	985	2298.69	2397.69	4294.56	1292.41	0.0	0.100	0.046	0.020	0.007	0.002	0.000
1990-10-29	Perennial Ryegrass	-999.9	-1	0	4708.4	0.0	3724.8	0.0	982.26	1.38	3724.79	984	2306.98	2401.45	4306.93	1295.42	0.0	0.100	0.046	0.020	0.007	0.002	0.000
1990-10-30	Perennial Ryegrass	-999.9	-1	0	4717.4	0.0	3735.6	0.0	980.44	1.37	3735.60	982	2313.20	2404.21	4316.25	1296.61	0.0	0.100	0.046	0.020	0.007	0.002	0.000
1990-10-31	Perennial Ryegrass	-999.9	-1	0	4727.3	0.0	3747.3	0.0	978.65	1.37	3747.29	980	2319.95	2407.36	4326.06	1298.04	0.0	0.100	0.047	0.020	0.007	0.002	0.000
1990-11-01	Perennial Ryegrass	-999.9	-1	0	4739.9	0.0	3761.1	0.0	977.45	1.37	3761.07	979	2328.31	2411.58	4338.41	1300.44	0.0	0.100	0.047	0.020	0.007	0.002	0.000
1990-11-02	Perennial Ryegrass	-999.9	-1	0	4752.1	0.0	3773.8	0.0	976.89	1.37	3773.82	978	2336.37	2415.71	4350.72	1302.54	0.0	0.100	0.047	0.020	0.007	0.002	0.000
1990-11-03	Perennial Ryegrass	-999.9	-1	0	4754.2	0.0	3775.9	0.0	976.94	1.37	3775.86	978	2338.27	2415.91	4353.96	1300.44	0.0	0.100	0.047	0.020	0.007	0.002	0.000
1990-11-04	Perennial Ryegrass	-999.9	-1	0	4765.8	0.0	3786.7	0.0	934.40	44.74	3786.70	979	2345.90	2419.93	4364.68	1302.10	0.0	0.099	0.047	0.020	0.007	0.002	0.000
1990-11-05	Perennial Ryegrass	-999.9	-1	0	4755.3	0.0	3817.8	0.0	936.19	1.31	3817.79	937	2354.14	2401.14	4352.00	1311.81	0.0	0.100	0.047	0.020	0.008	0.002	0.000
1990-11-06	Perennial Ryegrass	-999.9	-1	0	4776.3	0.0	3836.0	0.0	939.04	1.31	3835.99	940	2367.20	2409.13	4374.43	1316.62	0.0	0.100	0.048	0.020	0.008	0.002	0.000
1990-11-07	Perennial Ryegrass	-999.9	-1	0	4795.0	0.0	3850.7	0.0	943.02	1.32	3850.69	944	2378.74	2416.29	4393.50	1320.24	0.0	0.101	0.048	0.020	0.008	0.002	0.000
1990-11-08	Perennial Ryegrass	-999.9	-1	0	4808.8	0.0	3858.5	0.0	947.98	2.39	3858.48	950	2387.31	2421.53	4408.04	1321.79	0.0	0.101	0.048	0.020	0.008	0.002	0.000
1990-11-09	Perennial Ryegrass	-999.9	-1	0	4826.7	0.0	3870.8	0.0	941.80	14.09	3870.81	956	2398.36	2428.35	4425.43	1324.72	0.0	0.101	0.048	0.020	0.008	0.002	0.000
1990-11-10	Perennial Ryegrass	-999.9	-1	0	4844.5	0.0	3897.0	0.0	941.47	5.97	3897.02	947	2412.27	2432.20	4441.76	1330.97	0.0	0.101	0.048	0.021	0.008	0.002	0.000
1990-11-11	Perennial Ryegrass	-999.9	-1	0	4865.0	0.0	3919.5	0.0	944.19	1.35	3919.47	946	2425.39	2439.62	4462.70	1335.31	0.0	0.102	0.049	0.021	0.008	0.002	0.000
1990-11-12	Perennial Ryegrass	-999.9	-1	0	4879.5	0.0	3929.2	0.0	948.92	1.36	3929.22	950	2433.90	2445.60	4478.50	1336.33	0.0	0.102	0.049	0.021	0.008	0.002	0.000
1990-11-13	Perennial Ryegrass	-999.9	-1	0	4889.3	0.0	3931.1	0.0	956.88	1.37	3931.06	958	2439.74	2449.57	4489.12	1335.81	0.0	0.102	0.049	0.021	0.008	0.002	0.000
1990-11-14	Perennial Ryegrass	-999.9	-1	0	4880.2	0.0	3909.8	0.0	962.21	8.17	3909.81	970	2433.03	2447.16	4482.35	1329.77	0.0	0.101	0.048	0.021	0.008	0.002	0.000
1990-11-15	Perennial Ryegrass	-999.9	-1	0	4877.3	0.0	3899.7	0.0	962.38	15.19	3899.70	978	2433.20	2444.07	4478.30	1327.23	0.0	0.101	0.048	0.021	0.008	0.002	0.000
1990-11-16	Perennial Ryegrass	-999.9	-1	0	4877.5	0.0	3900.9	0.0	975.18	1.42	3900.93	977	2436.10	2441.43	4477.41	1326.81	0.0	0.101	0.048	0.020	0.008	0.002	0.000
1990-11-17	Perennial Ryegrass	-999.9	-1	0	4881.8	0.0	3893.4	0.0	986.94	1.45	3893.36	988	2438.60	2443.16	4482.53	1324.15	0.0	0.101	0.048	0.020	0.008	0.002	0.000
1990-11-18	Perennial Ryegrass	-999.9	-1	0	4890.6	0.0	3894.6	0.0	994.51	1.48	3894.65	996	2443.43	2447.21	4490.50	1322.39	0.0	0.101	0.048	0.020	0.008	0.002	0.000
1990-11-19	Perennial Ryegrass	-999.9	-1	0	4898.9	0.0	3893.2	0.0	1004.21	1.50	3893.24	1006	2447.91	2451.03	4499.09	1320.49	0.0	0.101	0.048	0.020	0.008	0.002	0.000
1990-11-20	Perennial Ryegrass	-999.9	-1	0	4898.8	0.0	3878.6	0.0	1018.70	1.52	3878.57	1020	2448.08	2450.71	4500.29	1317.06	0.0	0.100	0.048	0.020	0.008	0.002	0.000
1990-11-21	Perennial Ryegrass	-999.9	-1	0	4880.6	0.0	3841.9	0.0	1037.12	1.55	3841.91	1039	2433.81	2446.77	4484.35	1308.37	0.0	0.100	0.048	0.020	0.008	0.002	0.000
1990-11-22	Perennial Ryegrass	-999.9	-1	0	4861.7	0.0	3804.1	0.0	1056.05	1.59	3804.09	1058	2419.03	2442.71	4465.67	1299.50	0.0	0.099	0.047	0.020	0.007	0.002	0.000
1990-11-23	Perennial Ryegrass	-999.9	-1	0	4842.2	0.0	3764.9	0.0	1075.72	1.63	3764.87	1077	2403.76	2438.45	4446.34	1290.47	0.0	0.098	0.047	0.020	0.007	0.002	0.000
1990-11-24	Perennial Ryegrass	-999.9	-1	0	4832.5	0.0	3737.0	0.0	1093.87	1.67	3736.99	1096	2396.67	2435.86	4435.49	1284.50	0.0	0.098	0.047	0.020	0.007	0.002	0.000
1990-11-25	Perennial Ryegrass	-999.9	-1	0	4825.2	0.0	3709.1	0.0	1114.42	1.70	3709.06	1116	2391.52	2433.66	4428.17	1279.27	0.0	0.097	0.047	0.020	0.007	0.002	0.000
1990-11-26	Perennial Ryegrass	-999.9	-1	0	4800.6	0.0	3654.2	0.0	1144.66	1.74	3654.19	1146	2372.30	2428.30	4406.51	1268.76	0.0	0.097	0.046	0.020	0.007	0.002	0.000
1990-11-27	Perennial Ryegrass	-999.9	-1	0	4773.2	0.0	3590.2	0.0	1181.22	1.80	3590.20	1183	2350.90	2422.31	4380.22	1257.36	0.0	0.096	0.046	0.019	0.007	0.002	0.000
1990-11-28	Perennial Ryegrass	-999.9	-1	0	4742.9	0.0	3516.3	0.0	1224.80	1.87	3516.27	1227	2327.29	2415.64	4351.17	1244.95	0.0	0.095	0.045	0.019	0.007	0.002	0.000
1990-11-29	Perennial Ryegrass	-999.9	-1	0	4702.0	0.0	3422.3	0.0	1277.76	1.94	3422.30	1280	2295.31	2406.70	4312.70	1229.04	0.0	0.094	0.045	0.019	0.007	0.002	0.000
1990-11-30	Perennial Ryegrass	-999.9	-1	0	4667.9	0.0	3334.5	0.0	1331.37	2.04	3334.49	1333	2269.02	2398.87	4278.16	1215.07	0.0	0.093	0.044	0.019	0.007	0.002	0.000
1990-12-01	Perennial Ryegrass	-999.9	-1	0	4630.0	0.0	3237.1	0.0	1390.69	2.13	3237.14	1393	2239.92	2390.05	4241.64	1199.70	0.0	0.091	0.044	0.019	0.007	0.002	0.000
