Region  Soil ForageNo ForageName YearNum    Year CutNum   Month       Growth   NPerCent Priority    BP1     BP2
   ()     ()      ()       ()       ()        ()  ()       ()           ()          ()      ()      ()      ()
    1      3     2    Panicum        2      2002   5        9            0           0       2       0       0
    1      3     2    Panicum        2      2002   6        10        1000         1.6       2       0       0
    1      3     2    Panicum        3      2003   1        5            0           0       2       0       0
    1      3     2    Panicum        3      2003   2        6            0           0       2       0       0
    1      3     2    Panicum        3      2003   3        7            0           0       2       0       0
    1      3     2    Panicum        3      2003   4        8         2000         1.4       2       0       0
    1      3     2    Panicum        3      2003   5        9            0           0       2       0       0
    1      3     2    Panicum        3      2003   6        10        2000           1       2       0       0
    1      3     2    Panicum        4      2004   1        5            0           0       2       0       0
    1      3     2    Panicum        4      2004   2        6            0           0       2       0       0
    1      3     2    Panicum        4      2004   3        7            0           0       2       0       0
    1      3     2    Panicum        4      2004   4        8         2000         1.4       2       0       0
    1      3     2    Panicum        4      2004   5        9            0           0       2       0       0
    1      3     2    Panicum        4      2004   6        10        2000         1.4       2       0       0
    1      3     2    Panicum        5      2005   1        5            0           0       2       0       0
    1      3     2    Panicum        5      2005   2        6            0           0       2       0       0
    1      3     2    Panicum        5      2005   3        7            0           0       2       0       0
    1      3     2    Panicum        5      2005   4        8         2000           1       2       0       0
    1      3     2    Panicum        5      2005   5        9            0           0       2       0       0
    1      3     2    Panicum        5      2005   6        10        2000           1       2       0       0
    1      3     2    Panicum        6      2006   1        5            0           0       2       0       0
    1      3     2    Panicum        6      2006   2        6            0           0       2       0       0
    1      3     2    Panicum        6      2006   3        7            0           0       2       0       0
    1      3     2    Panicum        6      2006   4        8         3000         1.2       2       0       0
    1      3     2    Panicum        6      2006   5        9            0           0       2       0       0
    1      3     2    Panicum        6      2006   6        10        3000         1.2       2       0       0
    1      3     2    Panicum        7      2007   1        5            0           0       2       0       0
    1      3     2    Panicum        7      2007   2        6            0           0       2       0       0
    1      3     2    Panicum        7      2007   3        7            0           0       2       0       0
    1      3     2    Panicum        7      2007   4        8         2000           1       2       0       0
    1      3     2    Panicum        7      2007   5        9            0           0       2       0       0
    1      3     2    Panicum        7      2007   6        10        2000         1.4       2       0       0
    1      3     2    Panicum        8      2008   1        5            0           0       2       0       0
    1      3     2    Panicum        8      2008   2        6            0           0       2       0       0
    1      3     2    Panicum        8      2008   3        7            0           0       2       0       0
    1      3     2    Panicum        8      2008   4        8         2000         1.4       2       0       0
    1      3     2    Panicum        8      2008   5        9            0           0       2       0       0
    1      3     2    Panicum        8      2008   6        10        2000           1       2       0       0
    1      3     2    Panicum        9      2009   1        5            0           0       2       0       0
    1      3     2    Panicum        9      2009   2        6            0           0       2       0       0
    1      3     2    Panicum        9      2009   3        7            0           0       2       0       0
    1      3     2    Panicum        9      2009   4        8         1000         1.6       2       0       0
    1      3     2    Panicum        9      2009   5        9            0           0       2       0       0
    1      3     2    Panicum        9      2009   6        10        1000         1.6       2       0       0
    1      3     2    Panicum        10     2010   1        5            0           0       2       0       0
    1      3     2    Panicum        10     2010   2        6            0           0       2       0       0
    1      3     2    Panicum        10     2010   3        7            0           0       2       0       0
    1      3     2    Panicum        10     2010   4        8         3000         1.2       2       0       0
    1      3     2    Panicum        10     2010   5        9            0           0       2       0       0
    1      3     2    Panicum        10     2010   6        10        3000         1.2       2       0       0
    1      3     3    Cowpea         1      2001   1        5            0         0.0       1       0       0
    1      3     3    Cowpea         1      2001   2        6            0         0.0       1       0       0
    1      3     3    Cowpea         1      2001   3        7            0         0.0       1       0       0
    1      3     3    Cowpea         1      2001   4        8          250         3.0       1       0       0
    1      3     3    Cowpea         1      2001   5        9            0         0.0       1       0       0
    1      3     3    Cowpea         1      2001   6        10         250         3.0       1       0       0
    1      3     3    Cowpea         2      2002   1        5            0         0.0       1       0       0
    1      3     3    Cowpea         2      2002   2        6            0         0.0       1       0       0
    1      3     3    Cowpea         2      2002   3        7            0         0.0       1       0       0
    1      3     3    Cowpea         2      2002   4        8          250         3.0       1       0       0
    1      3     3    Cowpea         2      2002   5        9            0         0.0       1       0       0
    1      3     3    Cowpea         2      2002   6        10         250         3.0       1       0       0
    1      3     3    Cowpea         3      2003   1        5            0         0.0       1       0       0
    1      3     3    Cowpea         3      2003   2        6            0         0.0       1       0       0
    1      3     3    Cowpea         3      2003   3        7            0         0.0       1       0       0
    1      3     3    Cowpea         3      2003   4        8          500         3.0       1       0       0
    1      3     3    Cowpea         3      2003   5        9            0         0.0       1       0       0
    1      3     3    Cowpea         3      2003   6        10         500         3.0       1       0       0
    1      3     3    Cowpea         4      2004   1        5            0         0.0       1       0       0
    1      3     3    Cowpea         4      2004   2        6            0         0.0       1       0       0
    1      3     3    Cowpea         4      2004   3        7            0         0.0       1       0       0
    1      3     3    Cowpea         4      2004   4        8          500         3.0       1       0       0
    1      3     3    Cowpea         4      2004   5        9            0         0.0       1       0       0
    1      3     3    Cowpea         4      2004   6        10         500         3.0       1       0       0
    1      3     3    Cowpea         5      2005   1        5            0         0.0       1       0       0
    1      3     3    Cowpea         5      2005   2        6            0         0.0       1       0       0
    1      3     3    Cowpea         5      2005   3        7            0         0.0       1       0       0
    1      3     3    Cowpea         5      2005   4        8          500         3.0       1       0       0
    1      3     3    Cowpea         5      2005   5        9            0         0.0       1       0       0
    1      3     3    Cowpea         5      2005   6        10         500         3.0       1       0       0
    1      3     3    Cowpea         6      2006   1        5            0         0.0       1       0       0
    1      3     3    Cowpea         6      2006   2        6            0         0.0       1       0       0
    1      3     3    Cowpea         6      2006   3        7            0         0.0       1       0       0
    1      3     3    Cowpea         6      2006   4        8         1000         3.0       1       0       0
    1      3     3    Cowpea         6      2006   5        9            0         0.0       1       0       0
    1      3     3    Cowpea         6      2006   6        10        1000         3.0       1       0       0
    1      3     3    Cowpea         7      2007   1        5            0         0.0       1       0       0
    1      3     3    Cowpea         7      2007   2        6            0         0.0       1       0       0
    1      3     3    Cowpea         7      2007   3        7            0         0.0       1       0       0
    1      3     3    Cowpea         7      2007   4        8          500         3.0       1       0       0
    1      3     3    Cowpea         7      2007   5        9            0         0.0       1       0       0
    1      3     3    Cowpea         7      2007   6        10         500         3.0       1       0       0
    1      3     3    Cowpea         8      2008   1        5            0         0.0       1       0       0
    1      3     3    Cowpea         8      2008   2        6            0         0.0       1       0       0
    1      3     3    Cowpea         8      2008   3        7            0         0.0       1       0       0
    1      3     3    Cowpea         8      2008   4        8          500         3.0       1       0       0
    1      3     3    Cowpea         8      2008   5        9            0         0.0       1       0       0
    1      3     3    Cowpea         8      2008   6        10         500         3.0       1       0       0
    1      3     3    Cowpea         9      2009   1        5            0         0.0       1       0       0
    1      3     3    Cowpea         9      2009   2        6            0         0.0       1       0       0
    1      3     3    Cowpea         9      2009   3        7            0         0.0       1       0       0
    1      3     3    Cowpea         9      2009   4        8          250         3.0       1       0       0
    1      3     3    Cowpea         9      2009   5        9            0         0.0       1       0       0
    1      3     3    Cowpea         9      2009   6        10         250         3.0       1       0       0
    1      3     3    Cowpea         10     2010   1        5            0         0.0       1       0       0
    1      3     3    Cowpea         10     2010   2        6            0         0.0       1       0       0
    1      3     3    Cowpea         10     2010   3        7            0         0.0       1       0       0
    1      3     3    Cowpea         10     2010   4        8         1000         3.0       1       0       0
    1      3     3    Cowpea         10     2010   5        9            0         0.0       1       0       0
    1      3     3    Cowpea         10     2010   6        10        1000         3.0       1       0       0
    1      3     4    Mucuna         1      2001   1        5            0         0.0       1       0       0
    1      3     4    Mucuna         1      2001   2        6            0         0.0       1       0       0
    1      3     4    Mucuna         1      2001   3        7            0         0.0       1       0       0
    1      3     4    Mucuna         1      2001   4        8          165         3.0       1       0       0
    1      3     4    Mucuna         1      2001   5        9            0         0.0       1       0       0
    1      3     4    Mucuna         1      2001   6        10         165         3.0       1     100       0
    1      3     4    Mucuna         2      2002   1        5            0         0.0       1       0       0
    1      3     4    Mucuna         2      2002   2        6            0         0.0       1       0       0
    1      3     4    Mucuna         2      2002   3        7            0         0.0       1       0       0
    1      3     4    Mucuna         2      2002   4        8          165         3.0       1       0       0
    1      3     4    Mucuna         2      2002   5        9            0         0.0       1       0       0
    1      3     4    Mucuna         2      2002   6        10         165         3.0       1     100       0
    1      3     4    Mucuna         3      2003   1        5            0         0.0       1       0       0
    1      3     4    Mucuna         3      2003   2        6            0         0.0       1       0       0
    1      3     4    Mucuna         3      2003   3        7            0         0.0       1       0       0
    1      3     4    Mucuna         3      2003   4        8          385         3.0       1       0       0
    1      3     4    Mucuna         3      2003   5        9            0         0.0       1       0       0
    1      3     4    Mucuna         3      2003   6        10         385         3.0       1     300       0
    1      3     4    Mucuna         4      2004   1        5            0         0.0       1       0       0
    1      3     4    Mucuna         4      2004   2        6            0         0.0       1       0       0
    1      3     4    Mucuna         4      2004   3        7            0         0.0       1       0       0
    1      3     4    Mucuna         4      2004   4        8          385         3.0       1       0       0
    1      3     4    Mucuna         4      2004   5        9            0         0.0       1       0       0
    1      3     4    Mucuna         4      2004   6        10         385         3.0       1     300       0
    1      3     4    Mucuna         5      2005   1        5            0         0.0       1       0       0
    1      3     4    Mucuna         5      2005   2        6            0         0.0       1       0       0
    1      3     4    Mucuna         5      2005   3        7            0         0.0       1       0       0
    1      3     4    Mucuna         5      2005   4        8          385         3.0       1       0       0
    1      3     4    Mucuna         5      2005   5        9            0         0.0       1       0       0
    1      3     4    Mucuna         5      2005   6        10         385         3.0       1     300       0
    1      3     4    Mucuna         6      2006   1        5            0         0.0       1       0       0
    1      3     4    Mucuna         6      2006   2        6            0         0.0       1       0       0
    1      3     4    Mucuna         6      2006   3        7            0         0.0       1       0       0
    1      3     4    Mucuna         6      2006   4        8          550         3.0       1       0       0
    1      3     4    Mucuna         6      2006   5        9            0         0.0       1       0       0
    1      3     4    Mucuna         6      2006   6        10         550         3.0       1     600       0
    1      3     4    Mucuna         7      2007   1        5            0         0.0       1       0       0
    1      3     4    Mucuna         7      2007   2        6            0         0.0       1       0       0
    1      3     4    Mucuna         7      2007   3        7            0         0.0       1       0       0
    1      3     4    Mucuna         7      2007   4        8          385         3.0       1       0       0
    1      3     4    Mucuna         7      2007   5        9            0         0.0       1       0       0
    1      3     4    Mucuna         7      2007   6        10         385         3.0       1     300       0
    1      3     4    Mucuna         8      2008   1        5            0         0.0       1       0       0
    1      3     4    Mucuna         8      2008   2        6            0         0.0       1       0       0
    1      3     4    Mucuna         8      2008   3        7            0         0.0       1       0       0
    1      3     4    Mucuna         8      2008   4        8          385         3.0       1       0       0
    1      3     4    Mucuna         8      2008   5        9            0         0.0       1       0       0
    1      3     4    Mucuna         8      2008   6        10         385         3.0       1     300       0
    1      3     4    Mucuna         9      2009   1        5            0         0.0       1       0       0
    1      3     4    Mucuna         9      2009   2        6            0         0.0       1       0       0
    1      3     4    Mucuna         9      2009   3        7            0         0.0       1       0       0
    1      3     4    Mucuna         9      2009   4        8          165         3.0       1       0       0
    1      3     4    Mucuna         9      2009   5        9            0         0.0       1       0       0
