date,Eo
16/04/1900,3
17/04/1900,6
18/04/1900,2
19/04/1900,1
20/04/1900,7
21/04/1900,0.1
22/04/1900,0.1
23/04/1900,0.1
24/04/1900,0.2
25/04/1900,6
26/04/1900,4
27/04/1900,3
28/04/1900,2
29/04/1900,6
30/04/1900,6
1/05/1900,3
2/05/1900,6
3/05/1900,2
4/05/1900,1
5/05/1900,7
6/05/1900,0.1
7/05/1900,0.1
8/05/1900,0.1
9/05/1900,0.2
10/05/1900,6
11/05/1900,4
12/05/1900,3
13/05/1900,2
14/05/1900,6
15/05/1900,6
16/05/1900,3
17/05/1900,6
18/05/1900,2
19/05/1900,1
20/05/1900,7
21/05/1900,0.1
22/05/1900,0.1
23/05/1900,0.1
24/05/1900,0.2
25/05/1900,6
26/05/1900,4
27/05/1900,3
28/05/1900,2
29/05/1900,6
30/05/1900,6
31/05/1900,3
1/06/1900,6
2/06/1900,2
3/06/1900,1
4/06/1900,7
5/06/1900,0.1
6/06/1900,0.1
7/06/1900,0.1
8/06/1900,0.2
9/06/1900,6
10/06/1900,4
11/06/1900,3
12/06/1900,2
13/06/1900,6
14/06/1900,6
15/06/1900,3
16/06/1900,6
17/06/1900,2
18/06/1900,1
19/06/1900,7
20/06/1900,0.1
21/06/1900,0.1
22/06/1900,0.1
23/06/1900,0.2
24/06/1900,6
25/06/1900,4
26/06/1900,3
27/06/1900,2
28/06/1900,6
29/06/1900,0.5
30/06/1900,0.2
1/07/1900,6
2/07/1900,3
3/07/1900,6
4/07/1900,2
5/07/1900,1
6/07/1900,7
7/07/1900,0.1
8/07/1900,0.1
9/07/1900,0.1
10/07/1900,0.2
11/07/1900,6
12/07/1900,4
13/07/1900,3
14/07/1900,2
15/07/1900,6
16/07/1900,6
17/07/1900,3
18/07/1900,6
19/07/1900,2
20/07/1900,1
21/07/1900,7
22/07/1900,0.1
23/07/1900,0.1
24/07/1900,0.1
25/07/1900,0.2
26/07/1900,6
27/07/1900,4
28/07/1900,3
29/07/1900,2
30/07/1900,6
31/07/1900,6
1/08/1900,3
2/08/1900,6
3/08/1900,2
4/08/1900,1
5/08/1900,7
6/08/1900,0.1
7/08/1900,0.1
8/08/1900,0.1
9/08/1900,0.2
10/08/1900,6
11/08/1900,4
12/08/1900,3
13/08/1900,2
14/08/1900,6
15/08/1900,6
16/08/1900,3
17/08/1900,6
18/08/1900,2
19/08/1900,1
20/08/1900,7
21/08/1900,0.1
22/08/1900,0.1
23/08/1900,0.1
24/08/1900,0.2
25/08/1900,6
26/08/1900,4
27/08/1900,3
28/08/1900,2
29/08/1900,6
30/08/1900,6
31/08/1900,3
1/09/1900,6
2/09/1900,2
3/09/1900,1
4/09/1900,7
5/09/1900,0.1
6/09/1900,0.1
7/09/1900,0.1
8/09/1900,0.2
9/09/1900,6
10/09/1900,4
11/09/1900,3
12/09/1900,2
13/09/1900,6
14/09/1900,6
15/09/1900,3
16/09/1900,6
17/09/1900,2
18/09/1900,1
19/09/1900,7
20/09/1900,0.1
21/09/1900,0.1
22/09/1900,0.1
23/09/1900,0.2
24/09/1900,6
25/09/1900,4
26/09/1900,3
27/09/1900,2
28/09/1900,6
29/09/1900,6
30/09/1900,3
1/10/1900,6
2/10/1900,2
3/10/1900,1
4/10/1900,7
5/10/1900,0.1
6/10/1900,0.1
7/10/1900,0.1
8/10/1900,0.2
9/10/1900,6
10/10/1900,4
11/10/1900,3
12/10/1900,2
13/10/1900,6
14/10/1900,6
15/10/1900,3
16/10/1900,6
17/10/1900,2
18/10/1900,1
19/10/1900,7
20/10/1900,0.1
21/10/1900,0.1
22/10/1900,0.1
23/10/1900,0.2
24/10/1900,6
25/10/1900,4
26/10/1900,3
27/10/1900,2
28/10/1900,6
29/10/1900,6
30/10/1900,3
31/10/1900,6
1/11/1900,2
2/11/1900,1
3/11/1900,7
4/11/1900,0.1
5/11/1900,0.1
6/11/1900,0.1
7/11/1900,0.2
8/11/1900,6
9/11/1900,4
10/11/1900,3
11/11/1900,2
12/11/1900,6
13/11/1900,6
14/11/1900,3
15/11/1900,6
16/11/1900,2
17/11/1900,1
18/11/1900,7
19/11/1900,0.1
20/11/1900,0.1
21/11/1900,0.1
22/11/1900,0.2
23/11/1900,6
24/11/1900,4
25/11/1900,3
26/11/1900,2
27/11/1900,6
28/11/1900,6
29/11/1900,3
30/11/1900,6
1/12/1900,2
2/12/1900,1
3/12/1900,7
4/12/1900,0.1
5/12/1900,0.1
6/12/1900,0.1
7/12/1900,0.2
8/12/1900,6
9/12/1900,4
10/12/1900,3
11/12/1900,2
12/12/1900,6
13/12/1900,6
14/12/1900,3
15/12/1900,6
16/12/1900,2
17/12/1900,1
18/12/1900,7
19/12/1900,0.1
20/12/1900,0.1
21/12/1900,0.1
22/12/1900,0.2
23/12/1900,6
24/12/1900,4
25/12/1900,3
26/12/1900,2
27/12/1900,6
28/12/1900,0.5
29/12/1900,0.2
30/12/1900,0.2
31/12/1900,0.2
1/01/1901,0.2
2/01/1901,0.2
3/01/1901,0.2
4/01/1901,0.2
5/01/1901,0.2
6/01/1901,0.2
7/01/1901,0.2
8/01/1901,0.2
9/01/1901,0.2
