SimulationName,Genotype,BiomassWt,GrainNo,GrainSize,GrainGreenWt,LAIMax,GrainGreenN,NWSTEM,NWTASSEL,biomass_n,Stage,stem_wt,stemflower_wt,tassel_wt,LeafNo,DaysAfterSowing
Maize_G7N2_G7N2,Dekalb_XL82,2157.7,4090,258,1083.376623,,,,,,10,,,,19.2,119
UQGattonCvPioneer_6875,Pioneer_6875,2553.7,3205,293,961.1255411,,,,,,10,,,,22.9,120
UQGattonCvBarker,Barker,2817.9,3342,325,1114.025974,,,,,,10,,,,23,129
UQGattonUQGCvkatumani,Katumani,1865.6,2063,319,674.2857143,,,,,,10,,,,19.1,116
UQGattonUQGCvDekalb_XL82,Dekalb_XL82,2227.4,3978,286,1164.502165,,,,,,10,,,,20.7,116
DRKSowDate1991-08-14Cultivargh_5009,GH_5009,2270,3686,312,1178.268398,,,,,,10,,,,19.8,147
DRKSowDate1991-08-14Cultivarhycorn_40,Hycorn_40,1820,2583,333,881.2121212,,,,,,10,,,,18.7,140
DRKSowDate1991-08-14Cultivargh_5019wx,GH_5019WX,2300,3612,299,1106.580087,,,,,,10,,,,20.4,146
DRKSowDate1991-12-11Cultivargh_5009,GH_5009,1650,3230,291,963.1168831,,,,,,10,,,,18.4,130
DRKSowDate1991-12-11Cultivarhycorn_40,Hycorn_40,1140,2278,281,655.7575758,,,,,,10,,,,18.3,105
DRKSowDate1991-12-11Cultivargh_5019wx,GH_5019WX,1970,3345,281,963.1168831,,,,,,10,,,,20.3,134
DRKSowDate1991-02-20Cultivargh_5009,GH_5009,1420,2182,275,614.8051948,,,,,,10,,,,17.8,155
DRKSowDate1991-02-20Cultivarhycorn_40,Hycorn_40,1570,2607,280,748.0519481,,,,,,10,,,,16.7,133
DRKSowDate1991-02-20Cultivarhycorn_50,Hycorn_50,1460,2941,255,768.3982684,,,,,,10,,,,16.3,150
DRKSowDate1991-02-20Cultivargh_5019wx,GH_5019WX,1460,2297,283,665.974026,,,,,,10,,,,19,160
DRKSowDate1991-01-31Cultivargh_5009,GH_5009,1770,3201,303,993.8528139,,,,,,10,,,,19,145
DRKSowDate1991-01-31Cultivarhycorn_40,Hycorn_40,1600,2507,339,1003.982684,,,,,,10,,,,18.1,127
DRKSowDate1991-01-31Cultivarhycorn_50,Hycorn_50,1650,3185,292,952.9004329,,,,,,10,,,,17.3,144
DRKSowDate1991-01-31Cultivargh_5019wx,GH_5019WX,1690,2781,302,860.6926407,,,,,,10,,,,20.5,152
DRKSowDate1991-03-12Cultivargh_5009,GH_5009,1570,3029,274,850.3896104,,,,,,10,,,,18.1,166
DRKSowDate1991-03-12Cultivarhycorn_40,Hycorn_40,1390,2681,276,758.1818182,,,,,,10,,,,17.4,154
DRKSowDate1991-03-12Cultivarhycorn_50,Hycorn_50,1520,3132,265,850.3896104,,,,,,10,,,,16.5,157
DRKSowDate1991-03-12Cultivargh_5019wx,GH_5019WX,1580,2790,276,788.9177489,,,,,,10,,,,19.1,173
DRKSowDate1991-11-07Cultivargh_5009,GH_5009,2110,3819,288,1127.012987,,,,,,10,,,,19.3,109
DRKSowDate1991-11-07Cultivarhycorn_40,Hycorn_40,1760,2951,305,922.0779221,,,,,,10,,,,18.5,101
DRKSowDate1991-11-07Cultivargh_5019wx,GH_5019WX,1970,3396,265,922.0779221,,,,,,10,,,,19.8,110
DRKSowDate1991-10-10Cultivargh_5009,GH_5009,2290,3725,298,1137.316017,,,,,,10,,,,19.2,117
DRKSowDate1991-10-10Cultivarhycorn_40,Hycorn_40,1980,3079,302,952.9004329,,,,,,10,,,,18.6,109
DRKSowDate1991-10-10Cultivargh_5019wx,GH_5019WX,2150,3299,288,1034.891775,,,,,,10,,,,20,118
DRKSowDate1991-09-19Cultivargh_5009,GH_5009,2110,3825,285,1116.796537,,,,,,10,,,,19.2,120
DRKSowDate1991-09-19Cultivarhycorn_40,Hycorn_40,1900,2961,331,1004.155844,,,,,,10,,,,17.9,114
DRKSowDate1991-09-19Cultivargh_5019wx,GH_5019WX,2170,3594,281,1034.891775,,,,,,10,,,,19.6,120
K841Population7IrrigationDryCultivarhycorn_9,Hycorn_9,1461.7,2355,305,735.4112554,,,,,,10,,,,19.1,108
K841Population7IrrigationWetCultivarhycorn_9,Hycorn_9,1634.5,2664,286,779.7402597,,,,,,10,,,,19.1,107
K841Population3IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,439.5670996,,,,,,10,,,,,102
K841Population3IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,534.4588745,,,,,,10,,,,,102
K841Population5IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,597.4891775,,,,,,10,,,,,102
K841Population5IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,854.025974,,,,,,10,,,,,102
K841Population7IrrigationDryCultivardekalb_xl82,Dekalb_XL82,1411.1,2694,275,760,,,,,,10,,,,17.9,104
K841Population7IrrigationWetCultivardekalb_xl82,Dekalb_XL82,1703.6,3187,261,851.9480519,,,,,,10,,,,17.9,100
K841Population9IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,772.2943723,,,,,,10,,,,,102
K841Population9IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,848.3982684,,,,,,10,,,,,102
K841Population7IrrigationDryCultivarQK_694,QK_694,1744.6,2554,309,807.012987,,,,,,10,,,,19.7,119
K841Population7IrrigationWetCultivarQK_694,QK_694,1716.1,2412,316,779.2207792,,,,,,10,,,,19.7,113
K841Population7IrrigationDryCultivarsargeant,Sargeant,1419.5,2991,265,811.2554113,,,,,,10,,,,17,105
Maize_K841_K841SARW,Sargeant,1719.3,3424,259,909.6969697,,,,,,10,,,,17,100
Maize_K88_K88BRKR,Barker,1908.9,2856,349,1020.2,,,,,,11,,,,20.7,104
Maize_K88_K88KCB,Katumani,1028.5,1508,276,425.6,,,,,,11,,,,17.9,84
Maize_K88_K88P6875,Pioneer_6875,1924.1,3383,305,1056.4,,,,,,11,,,,21.2,110
Maize_K88_K88XL82,Dekalb_XL82,1286.9,2223,246,560.5,,,,,,11,,,,18.9,97
K842Population7IrrigationDryCultivarhycorn_9,Hycorn_9,1045.7,2267,150,351.9480519,,,,,,11,,,,18.9,90
K842Population7IrrigationWetCultivarhycorn_9,Hycorn_9,1780.6,2916,289,864.4155844,,,,,,11,,,,18.9,109
K842Population3IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,325.4545455,,,,,,11,,,,,106
K842Population3IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,499.3939394,,,,,,11,,,,,106
K842Population5IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,390.995671,,,,,,11,,,,,106
K842Population5IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,710.4761905,,,,,,11,,,,,106
K842Population7IrrigationDryCultivardekalb_xl82,Dekalb_XL82,1084.4,2787,150,430.2164502,,,,,,11,,,,18.5,111
K842Population7IrrigationWetCultivardekalb_xl82,Dekalb_XL82,1629.3,3674,220,828.6580087,,,,,,11,,,,18.5,99
K842Population9IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,405.1082251,,,,,,11,,,,,106
K842Population9IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,909.4372294,,,,,,11,,,,,106
K842Population7IrrigationDryCultivarQK_694,QK_694,1273,1422,162,245.8874459,,,,,,11,,,,21.1,119
K842Population7IrrigationWetCultivarQK_694,QK_694,1795.4,2258,314,722.0779221,,,,,,11,,,,21.1,119
K842Population7IrrigationDryCultivarsargeant,Sargeant,1202.9,3053,146,456.6233766,,,,,,11,,,,18.2,109
K842Population7IrrigationWetCultivarsargeant,Sargeant,1644.3,4070,184,763.2034632,,,,,,11,,,,18.2,101
Maize_MSN_M1S1,Dekalb_XL82,1738.9,2830,289,817,,13.4,,,19.2,11,,,,18.3,99
Maize_MSN_M2S1,Dekalb_XL82,651.7,0,0,0,,,,,8,,,,,18.3,99
Maize_MSN_M3S1,Dekalb_XL82,835.2,530,155,86,,1.8,,,10.3,11,,,,18.3,99
Maize_MSN_M1S2,Dekalb_XL82,1592,3240,249,809,,12.2,,,16.9,11,,,,17.5,110
Maize_MSN_M2S2,Dekalb_XL82,1606.7,3020,256,773,,12.1,,,17.7,11,,,,17.5,110
Maize_MSN_M3S2,Dekalb_XL82,1219,2620,226,591,,9.1,,,12.4,11,,,,17.5,104
Maize_MSN_M1S3,Dekalb_XL82,1775.3,3220,237,763,,12,,,19,11,,,,19.2,109
Maize_MSN_M2S3,Dekalb_XL82,1170.5,2050,254,522,,8.9,,,14.5,11,,,,19.2,110
Maize_MSN_M3S3,Dekalb_XL82,991.5,1260,134,171,,3.2,,,10.8,11,,,,19.2,111
Maize_MSN_M1S4N5,Dekalb_XL82,1870.5,3276,265,854,,14,,,20.6,11,,,,18.2,102
Maize_MSN_M1S5N3,Dekalb_XL82,1861,3215,255,840.1,,12.5,,,17.9,11,,,,,103
Maize_MSN_M2S5N3,Dekalb_XL82,1363.1,2325,267,636.2,,9.7,,,15.1,11,,,,,103
BMW1SiteTreatment1,Katumani,1032.3,856,380,328.1,,,,,,10,,,,,113
BMW1SiteTreatment2,Katumani,1773.5,2215,340,747.7,,,,,,10,,,,,113
BMW1SiteTreatment3,Katumani,1483.5,1832,330,597.6,,,,,,10,,,,,113
BMW1SiteTreatment4,Katumani,819.6,1004,360,364.4,,,,,,10,,,,,113
BMW1SiteTreatment5,Katumani,1050.6,1476,250,368.9,,,,,,10,,,,,103
BMW1SiteTreatment6,Katumani,608.4,934,260,242.4,,,,,,10,,,,,103
BMW1SiteTreatment7,Katumani,671.5,894,260,235.9,,,,,,10,,,,,103
BMW1SiteTreatment8,Katumani,1068.8,1925,220,426.9,,,,,,10,,,,,103
BMW1SiteTreatment9,Katumani,458,879,210,183.6,,,,,,10,,,,,101
BMW1SiteTreatment10,Katumani,602.8,1287,170,214.6,,,,,,10,,,,,93
BMW1SiteTreatment11,Katumani,612.8,635,180,113.6,,,,,,10,,,,,93
BMW1SiteTreatment12,Katumani,512.8,815,200,164.9,,,,,,10,,,,,101
BMW1SiteTreatment13,Katumani,607.6,898,290,256.3,,,,,,10,,,,,103
BMW1SiteTreatment14,Katumani,905.8,1583,210,332.3,,,,,,10,,,,,103
BMW1SiteTreatment15,Katumani,673.4,1066,230,246.7,,,,,,10,,,,,103
BMW1SiteTreatment16,Katumani,1000.7,2014,200,399.8,,,,,,10,,,,,103
BMW1SiteTreatment17,Katumani,805.8,1279,180,234.3,,,,,,10,,,,,101
BMW1SiteTreatment18,Katumani,605.5,778,270,213.4,,,,,,10,,,,,101
BMW1SiteTreatment19,Katumani,631.6,657,220,146.3,,,,,,10,,,,,101
BMW1SiteTreatment20,Katumani,551.6,879,170,145.5,,,,,,10,,,,,101
BMW1SiteTreatment21,Katumani,718.5,956,340,327.6,,,,,,10,,,,,113
BMW1SiteTreatment22,Katumani,898.5,957,350,333.8,,,,,,10,,,,,113
BMW1SiteTreatment23,Katumani,1382.8,2044,310,628.8,,,,,,10,,,,,113
BMW1SiteTreatment24,Katumani,1442.5,2220,280,611.9,,,,,,10,,,,,113
BMW2SiteTreatment9,Katumani,864.8,509,310,157.7,,,,,,10,,,,,107
BMW2SiteTreatment10,Katumani,546.7,202,230,46.4,,,,,,10,,,,,104
BMW2SiteTreatment11,Katumani,724.8,207,210,42.8,,,,,,10,,,,,105
BMW2SiteTreatment12,Katumani,324.4,57,220,12.6,,,,,,10,,,,,105
BMW2SiteTreatment17,Katumani,639.1,711,350,251.7,,,,,,10,,,,,107
BMW2SiteTreatment18,Katumani,543.3,759,320,241.3,,,,,,10,,,,,104
BMW2SiteTreatment19,Katumani,518.7,495,320,156.9,,,,,,10,,,,,104
BMW2SiteTreatment20,Katumani,440,564,240,135.6,,,,,,10,,,,,100
BMW2SiteTreatment37,Katumani,442.4,545,290,160.6,,,,,,10,,,,,107
BMW2SiteTreatment38,Katumani,384.7,362,270,96.6,,,,,,10,,,,,104
BMW2SiteTreatment39,Katumani,315.7,269,260,69.1,,,,,,10,,,,,104
BMW2SiteTreatment40,Katumani,199.1,49,200,10,,,,,,10,,,,,100
BMW2SiteTreatment57,Katumani,1127.9,964,300,289.7,,,,,,10,,,,,107
BMW2SiteTreatment58,Katumani,851.2,231,260,59.6,,,,,,10,,,,,104
BMW2SiteTreatment59,Katumani,587.6,265,260,69.4,,,,,,10,,,,,104
BMW2SiteTreatment60,Katumani,261.1,83,180,14.6,,,,,,10,,,,,104
JMW2KatumaniPopulation1.1FertiliserN0,Katumani,337.1,424,400,167.3,,,,,,10,,,,,128
JMW2KatumaniPopulation2.17FertiliserN0,Katumani,577.5,813,340,278.3,,,,,,10,,,,,123
JMW2KatumaniPopulation4.19FertiliserN0,Katumani,749.7,1257,290,366.7,,,,,,10,,,,,119
JMW2KatumaniPopulation6.26FertiliserN0,Katumani,782.2,1345,260,345.6,,,,,,10,,,,,122
JMW2KatumaniPopulation7.33FertiliserN0,Katumani,563.2,853,250,210.1,,,,,,10,,,,,119
JMW2KatumaniPopulation1.1FertiliserN120,Katumani,420.7,522,380,199.4,,,,,,10,,,,,128
JMW2KatumaniPopulation2.17FertiliserN120,Katumani,843,1111,340,374.1,,,,,,10,,,,,126
JMW2KatumaniPopulation4.19FertiliserN120,Katumani,958.7,1585,280,455.3,,,,,,10,,,,,122
JMW2KatumaniPopulation6.26FertiliserN120,Katumani,1026.9,1611,270,440.8,,,,,,10,,,,,115
JMW2KatumaniPopulation7.33FertiliserN120,Katumani,1016.9,1612,260,424.8,,,,,,10,,,,,115
JMW2KibokoPopulation1.1FertiliserN0,Katumani,321,434,360,157.2,,,,,,10,,,,,104
JMW2KibokoPopulation2.18FertiliserN0,Katumani,542.4,699,360,254.4,,,,,,10,,,,,106
JMW2KibokoPopulation4.23FertiliserN0,Katumani,524.6,616,300,186.5,,,,,,10,,,,,106
JMW2KibokoPopulation6.22FertiliserN0,Katumani,576.8,509,260,132.3,,,,,,10,,,,,105
JMW2KibokoPopulation7.91FertiliserN0,Katumani,517.2,356,240,83.3,,,,,,10,,,,,104
JMW2KibokoPopulation1.1FertiliserN120,Katumani,393,452,390,174.7,,,,,,10,,,,,106
JMW2KibokoPopulation2.18FertiliserN120,Katumani,666.8,786,370,293,,,,,,10,,,,,106
JMW2KibokoPopulation4.23FertiliserN120,Katumani,1033.9,1252,380,469.7,,,,,,10,,,,,109
JMW2KibokoPopulation6.22FertiliserN120,Katumani,1176.5,1364,360,489,,,,,,10,,,,,109
JMW2KibokoPopulation7.91FertiliserN120,Katumani,1174.3,1462,310,453.6,,,,,,10,,,,,104
Quincy_Year1978Population9,usa_18leaf,,,,828,,,,,,10,,,,,119
Quincy_Year1978Population6,usa_18leaf,,,,879,,,,,,10,,,,,119
Quincy_Year1977Population9,usa_18leaf,,,,1225,,,,,,10,,,,,118
Quincy_Year1977Population6,usa_18leaf,,,,1073,,,,,,10,,,,,118
Gjunct_Year1982,usa_18leaf,,,,1734,,,,,,10,,,,,162
Gjunct_Year1983,usa_18leaf,,,,1516,,,,,,10,,,,,162
Gjunct_Year1984,usa_18leaf,,,,1647,,,,,,10,,,,,151
Gjunct_Year1985,usa_18leaf,,,,1521,,,,,,10,,,,,166
Gjunct_Year1986,usa_18leaf,,,,1483,,,,,,10,,,,,169
Champ82,usa_18leaf,2200,,,1101,,,,,,10,,,,,129
Champ83,usa_18leaf,2160,4030.3,251,1080,,,,,,10,,,,,122
Gains_Year1982,usa_18leaf,2200.1,,,1038.2,,,,,26.8,10,,,,18,128
Gains_Year1983,usa_18leaf,2041,3271,265.4,867,,,,,,,,,,,109
Maize_Gatton-89_m1g5n1,Dekalb_XL82,1320.52,1710,220,372.14,,4.32,,,8.14,10,,,,,114
Maize_Gatton-89_m1g5n2,Dekalb_XL82,2187.7,3620,270,982,,15.91,,,23.95,10,,,,18.9,114
Maize_Gatton-90-Early_m1g6n1,Dekalb_XL82,411.75,570,190,108.15,,1.25,,,2.4,10,,,,,139
Maize_Gatton-90-Early_m1g6n2,Dekalb_XL82,2257.95,4100,270,1101.88,,16.77,,,20.91,10,,,,17.7,136
Maize_Gatton-90-Late_m1g7n1,Dekalb_XL82,519.37,480,210,99.05,,0.991,,,2.458,10,,,,,124
Maize_Gatton-90-Late_m1g7n2,Dekalb_XL82,2157.65,4090,260,1057.38,,15.45,,,19.514,10,,,,19.2,118
Maize_Gatton-91_m1g8n1,Dekalb_XL82,820.6,1276,190,238,,2.934,,,5.316,10,,,,,136
Maize_Gatton-91_m1g8n2,Dekalb_XL82,2022.226,3730,260,968.75,,14.08,,,19.405,10,,,,18.4,131
Maize_Exp1 3N Yr1_1,DEA,,,,,,,,,,,,,,,
Maize_Exp1 3N Yr1_2,DEA,,,,,,,,,,,,,,,
Maize_Exp1 3N Yr1_3,DEA,,,,,,,,,,,,,,,
Maize_Exp1 3N Yr2_1,DEA,,,,,,,,,,,,,,,
Maize_Exp1 3N Yr2_2,DEA,,,,,,,,,,,,,,,
Maize_Exp1 3N Yr2_3,DEA,,,,,,,,,,,,,,,
Maize_Exp1 2ND Yr3_1,DEA,,,,,,,,,,,,,,,
Maize_Exp1 2ND Yr3_2,DEA,,,,,,,,,,,,,,,
Maize_Exp1 2ND Yr3_3,DEA,,,,,,,,,,,,,,,
Maize_Exp1 2ND Yr3_4,DEA,,,,,,,,,,,,,,,
Maize_G5N2_G5N2,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_G6N2_G6N2,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_G7N2_G7N2,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_UQG_UQG6875,Pioneer_6875,,,,,,,,,,,,,,,
Maize_UQG_UQGBARKR,Barker,,,,,,,,,,,,,,,
Maize_UQG_UQGKCB,Katumani,,,,,,,,,,,,,,,
Maize_UQG_UQGXL82,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_DRK_DRKA09,GH_5009,,,,,,,,,,,,,,,
Maize_DRK_DRKAH40,Hycorn_40,,,,,,,,,,,,,,,
Maize_DRK_DRKAWX,GH_5019WX,,,,,,,,,,,,,,,
Maize_DRK_DRKD09,GH_5009,,,,,,,,,,,,,,,
Maize_DRK_DRKDH40,Hycorn_40,,,,,,,,,,,,,,,
Maize_DRK_DRKDWX,GH_5019WX,,,,,,,,,,,,,,,
Maize_DRK_DRKF09,GH_5009,,,,,,,,,,,,,,,
Maize_DRK_DRKFH40,Hycorn_40,,,,,,,,,,,,,,,
Maize_DRK_DRKFH50,Hycorn_50,,,,,,,,,,,,,,,
Maize_DRK_DRKFWX,GH_5019WX,,,,,,,,,,,,,,,
Maize_DRK_DRKJ09,GH_5009,,,,,,,,,,,,,,,
Maize_DRK_DRKJH40,Hycorn_40,,,,,,,,,,,,,,,
Maize_DRK_DRKJH50,Hycorn_50,,,,,,,,,,,,,,,
Maize_DRK_DRKJWX,GH_5019WX,,,,,,,,,,,,,,,
Maize_DRK_DRKM09,GH_5009,,,,,,,,,,,,,,,
Maize_DRK_DRKMH40,Hycorn_40,,,,,,,,,,,,,,,
Maize_DRK_DRKMH50,Hycorn_50,,,,,,,,,,,,,,,
Maize_DRK_DRKMWX,GH_5019WX,,,,,,,,,,,,,,,
Maize_DRK_DRKN09,GH_5009,,,,,,,,,,,,,,,
Maize_DRK_DRKNH40,Hycorn_40,,,,,,,,,,,,,,,
Maize_DRK_DRKNWX,GH_5019WX,,,,,,,,,,,,,,,
Maize_DRK_DRKO09,GH_5009,,,,,,,,,,,,,,,
Maize_DRK_DRKOH40,Hycorn_40,,,,,,,,,,,,,,,
Maize_DRK_DRKOWX,GH_5019WX,,,,,,,,,,,,,,,
Maize_DRK_DRKS09,GH_5009,,,,,,,,,,,,,,,
Maize_DRK_DRKSH40,Hycorn_40,,,,,,,,,,,,,,,
Maize_DRK_DRKSWX,GH_5019WX,,,,,,,,,,,,,,,
Maize_K841_K841HY9D,Hycorn_9,,,,,,,,,,,,,,,
Maize_K841_K841HY9W,Hycorn_9,,,,,,,,,,,,,,,
Maize_K841_K841P3D,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K841_K841P3W,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K841_K841P5D,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K841_K841P5W,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K841_K841P7D,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K841_K841P7W,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K841_K841P9D,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K841_K841P9W,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K841_K841QK6D,QK_694,,,,,,,,,,,,,,,
Maize_K841_K841QK6W,QK_694,,,,,,,,,,,,,,,
Maize_K841_K841SARD,Sargeant,,,,,,,,,,,,,,,
Maize_K841_K841SARW,Sargeant,,,,,,,,,,,,,,,
Maize_K88_K88BRKR,Barker,,,,,,,,,,,,,,,
Maize_K88_K88KCB,Katumani,,,,,,,,,,,,,,,
Maize_K88_K88P6875,Pioneer_6875,,,,,,,,,,,,,,,
Maize_K88_K88XL82,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K842_K842HY9D,Hycorn_9,,,,,,,,,,,,,,,
Maize_K842_K842HY9W,Hycorn_9,,,,,,,,,,,,,,,
Maize_K842_K842P3D,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K842_K842P3W,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K842_K842P5D,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K842_K842P5W,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K842_K842P7D,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K842_K842P7W,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K842_K842P9D,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K842_K842P9W,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_K842_K842QK6D,QK_694,,,,,,,,,,,,,,,
Maize_K842_K842QK6W,QK_694,,,,,,,,,,,,,,,
Maize_K842_K842SARD,Sargeant,,,,,,,,,,,,,,,
Maize_K842_K842SARW,Sargeant,,,,,,,,,,,,,,,
Maize_MSN_M1S1,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M2S1,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M3S1,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M1S2,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M2S2,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M3S2,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M1S3,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M2S3,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M3S3,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_M_S4N5_M1S4N5,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_M_S5N3_M1S5N3,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_M_S5N3_M2S5N3,Dekalb_XL82,,,,,,,,,,,,,,,
BMW1SiteTreatment1,Katumani,,,,,1.2,,,,,,,,,,
BMW1SiteTreatment2,Katumani,,,,,2.4,,,,,,,,,,
BMW1SiteTreatment3,Katumani,,,,,2.5,,,,,,,,,,
BMW1SiteTreatment4,Katumani,,,,,0.8,,,,,,,,,,
BMW1SiteTreatment5,Katumani,,,,,2.7,,,,,,,,,,
BMW1SiteTreatment6,Katumani,,,,,0.7,,,,,,,,,,
BMW1SiteTreatment7,Katumani,,,,,1.1,,,,,,,,,,
BMW1SiteTreatment8,Katumani,,,,,2.3,,,,,,,,,,
BMW1SiteTreatment9,Katumani,,,,,0.8,,,,,,,,,,
BMW1SiteTreatment10,Katumani,,,,,1.6,,,,,,,,,,
BMW1SiteTreatment11,Katumani,,,,,1.6,,,,,,,,,,
BMW1SiteTreatment12,Katumani,,,,,0.8,,,,,,,,,,
BMW1SiteTreatment13,Katumani,,,,,1,,,,,,,,,,
BMW1SiteTreatment14,Katumani,,,,,2.2,,,,,,,,,,
BMW1SiteTreatment15,Katumani,,,,,0.9,,,,,,,,,,
BMW1SiteTreatment16,Katumani,,,,,2.7,,,,,,,,,,
BMW1SiteTreatment17,Katumani,,,,,1.3,,,,,,,,,,
BMW1SiteTreatment18,Katumani,,,,,0.7,,,,,,,,,,
BMW1SiteTreatment19,Katumani,,,,,0.8,,,,,,,,,,
BMW1SiteTreatment20,Katumani,,,,,1.4,,,,,,,,,,
BMW1SiteTreatment21,Katumani,,,,,1,,,,,,,,,,
BMW1SiteTreatment22,Katumani,,,,,1,,,,,,,,,,
BMW1SiteTreatment23,Katumani,,,,,2.4,,,,,,,,,,
BMW1SiteTreatment24,Katumani,,,,,2.8,,,,,,,,,,
BMW2SiteTreatment9,Katumani,,,,,2.3,,,,,,,,,,
BMW2SiteTreatment10,Katumani,,,,,2.2,,,,,,,,,,
BMW2SiteTreatment11,Katumani,,,,,2,,,,,,,,,,
BMW2SiteTreatment12,Katumani,,,,,1.3,,,,,,,,,,
BMW2SiteTreatment17,Katumani,,,,,0.8,,,,,,,,,,
BMW2SiteTreatment18,Katumani,,,,,0.9,,,,,,,,,,
BMW2SiteTreatment19,Katumani,,,,,0.8,,,,,,,,,,
BMW2SiteTreatment20,Katumani,,,,,0.8,,,,,,,,,,
BMW2SiteTreatment37,Katumani,,,,,0.9,,,,,,,,,,
BMW2SiteTreatment38,Katumani,,,,,0.8,,,,,,,,,,
BMW2SiteTreatment39,Katumani,,,,,0.8,,,,,,,,,,
BMW2SiteTreatment40,Katumani,,,,,0.8,,,,,,,,,,
