SimulationName,Genotype,BiomassWt,LAI,biomass_n,plants,sla,sln,stem_wt,stemflower_wt,tassel_wt,DaysAfterSowing
K842Population7IrrigationDryCultivarQK_694,QK_694,,,,,,,,,,55
K842Population7IrrigationWetCultivarQK_694,QK_694,,,,,,,,,,56
K842Population7IrrigationDryCultivarsargeant,Sargeant,,,,,,,,,,50
K842Population7IrrigationWetCultivarsargeant,Sargeant,,,,,,,,,,49
Maize_K88_K88BRKR,Barker,,3.9,,,,,,,,51
Maize_K88_K88KCB,Katumani,,2.5,,,,,,,,45
Maize_K88_K88P6875,Pioneer_6875,,3.7,,,,,,,,51
Maize_K88_K88XL82,Dekalb_XL82,,2.8,,,,,,,,48
Maize_M_S4N5_M1S4N5,Dekalb_XL82,,3.8,,,,,,,,47
Maize_M_S5N3_M1S5N3,Dekalb_XL82,,4,,,,,,,,53
Maize_M_S5N3_M2S5N3,Dekalb_XL82,,3.5,,,,,,,,55
Maize_MSN_M1S1,Dekalb_XL82,,3.7,,,,,,,,51
Maize_MSN_M1S2,Dekalb_XL82,,3.5,,,,,,,,48
Maize_MSN_M1S3,Dekalb_XL82,,3.5,,,,,,,,62
Maize_MSN_M2S1,Dekalb_XL82,,3.5,,,,,,,,51
Maize_MSN_M2S2,Dekalb_XL82,,,,,,,,,,48
Maize_MSN_M2S3,Dekalb_XL82,,3.4,,,,,,,,63
Maize_MSN_M3S1,Dekalb_XL82,,,,,,,,,,51
Maize_MSN_M3S2,Dekalb_XL82,,,,,,,,,,48
Maize_MSN_M3S3,Dekalb_XL82,,,,,,,,,,62
Maize_UQG_UQG6875,Pioneer_6875,,,,,,,,,,70
Maize_UQG_UQGBARKR,Barker,,,,,,,,,,73
Maize_UQG_UQGKCB,Katumani,,,,,,,,,,61
Maize_UQG_UQGXL82,Dekalb_XL82,,4.8,,,,,,,,63
