ApsimVersion = 7.10 r7fc53e8d02bde502a9365b74ca5d599e486e2c5e
Title = Maize_DRK_DRKFH40
           Date DaysAfterSowing          Stage        Biomass     GrainYield        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()             HI           TPLA           SPLA         Height
   (dd/mm/yyyy)          (days)             ()        (kg/ha)             ()        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()        (kg/ha)      (g(N)/m2)             ()        (mm/mm)             ()           (m2)           (m2)           (mm)
     07/03/1991              16          3.617           61.7          0.000          12.07           6.17           6.07           5.40           0.60           0.00           0.00           0.18           0.06           0.16           0.02           0.00           0.00           0.000          0.000          0.000          3.095          0.095          0.004        237.595          322.9          1.704          1.000          4.156          0.000        142.030          5.806          1.499
     08/03/1991              17          3.673           75.6          0.000          14.80           7.56           7.44           6.55           0.81           0.00           0.00           0.22           0.07           0.19           0.02           0.00           0.00           0.000          0.000          0.000          3.339          0.114          0.004        235.271          324.6          1.686          1.000          4.141          0.000        169.662          6.603          2.249
     09/03/1991              18          3.727           93.7          0.000          18.34           9.37           9.24           7.99           1.11           0.00           0.00           0.26           0.09           0.23           0.03           0.00           0.00           0.000          0.000          0.000          3.578          0.134          0.005        254.485          323.9          1.690          1.000          4.262          0.000        199.767          8.163          3.017
     10/03/1991              19          3.778          112.4          0.000          21.99          11.24          11.09           9.44           1.47           0.00           0.00           0.31           0.11           0.26           0.04           0.00           0.00           0.000          0.000          0.000          3.808          0.156          0.007        250.043          323.3          1.695          1.000          4.233          0.000        232.488          9.828          4.155
     11/03/1991              20          3.834          140.9          0.000          27.61          14.09          13.93          11.62           2.06           0.00           0.00           0.37           0.14           0.31           0.06           0.00           0.00           0.000          0.000          0.000          4.028          0.179          0.008        246.176          322.6          1.718          1.000          4.206          0.000        267.314         11.659          5.474
     12/03/1991              21          3.892          175.8          0.000          34.47          17.58          17.38          14.22           2.86           0.00           0.00           0.46           0.18           0.36           0.09           0.00           0.00           0.000          0.000          0.000          4.270          0.208          0.009        243.058          321.6          1.749          1.000          4.183          0.000        310.059         13.557          7.701
     13/03/1991              22          3.951          217.9          0.000          42.76          21.79          21.56          17.29           3.91           0.00           0.00           0.54           0.21           0.42           0.11           0.00           0.00           0.000          0.000          0.000          4.520          0.241          0.010        239.852          320.7          1.726          1.000          4.166          0.000        359.696         15.481         10.667
     14/03/1991              23          4.000          255.6          0.000          50.18          25.56          25.29          19.96           4.93           0.00           0.00           0.64           0.25           0.48           0.14           0.00           0.00           0.000          0.000          0.000          4.774          0.279          0.012        237.249          319.7          1.718          1.000          4.148          0.000        416.053         17.290         14.583
     15/03/1991              24          5.000          300.2          0.000          58.96          30.02          29.70          23.03           6.24           0.00           0.00           0.75           0.29           0.55           0.19           0.00           0.00           0.000          0.000          0.000          5.013          0.318          0.013        234.678          318.5          1.721          1.000          4.131          0.000        475.118         18.918         18.398
     16/03/1991              25          5.024          361.5          0.000          66.96          36.15          31.66          27.14           7.83           0.33           0.00           0.89           0.33           0.62           0.25           0.00           0.00           0.000          0.000          0.000          5.228          0.357          0.014        232.046          317.1          1.740          1.000          4.112          0.000        533.276         20.681         23.275
     17/03/1991              26          5.049          428.0          0.000          75.63          42.80          33.79          31.47           9.67           0.70           0.00           1.05           0.35           0.71           0.33           0.00           0.00           0.000          0.000          0.000          5.460          0.403          0.015        229.114          315.7          1.754          1.000          4.093          0.000        601.343         22.900         29.228
     18/03/1991              27          5.073          514.4          0.000          86.85          51.44          36.58          36.87          12.19           1.22           0.00           1.24           0.38           0.80           0.41           0.01           0.00           0.000          0.000          0.000          5.699          0.453          0.018        225.928          313.9          1.761          1.000          4.070          0.000        675.799         26.647         36.077
     19/03/1991              28          5.098          606.7          0.000          98.84          60.67          39.55          42.45          15.04           1.80           0.00           1.44           0.41           0.89           0.51           0.01           0.00           0.000          0.000          0.000          5.935          0.506          0.020        222.420          312.1          1.761          1.000          4.048          0.000        755.883         30.435         45.488
     20/03/1991              29          5.123          708.2          0.000         112.04          70.82          42.82          48.42          18.33           2.48           0.00           1.66           0.45           0.99           0.62           0.02           0.00           0.000          0.000          0.000          6.173          0.565          0.023        218.866          310.0          1.760          1.000          4.025          0.000        843.438         34.284         56.104
     21/03/1991              30          5.148          815.6          0.000         126.01          81.56          46.28          54.53          21.98           3.22           0.00           1.91           0.48           1.11           0.74           0.03           0.00           0.000          0.000          0.000          6.416          0.629          0.026        215.200          307.8          1.758          1.000          4.001          0.000        939.237         38.239         68.387
     22/03/1991              31          5.177          939.4          0.000         142.12          93.94          50.27          61.35          26.38           4.13           0.00           2.20           0.52           1.23           0.90           0.04           0.00           0.000          0.000          0.000          6.665          0.700          0.029        211.446          305.0          1.763          1.000          3.973          0.000       1044.617         42.612         82.011
     23/03/1991              32          5.204         1057.0          0.000         157.43         105.70          54.05          67.62          30.74           5.02           0.00           2.49           0.56           1.38           1.03           0.04           0.00           0.000          0.000          0.000          6.940          0.784          0.031        206.929          302.3          1.758          1.000          3.948          0.000       1170.058         46.761         98.424
     24/03/1991              33          5.225         1206.2          0.000         176.97         120.62          58.86          75.37          36.52           6.20           0.00           2.82           0.61           1.53           1.20           0.05           0.00           0.000          0.000          0.000          7.201          0.870          0.033        202.736          299.0          1.755          1.000          3.921          0.000       1298.263         49.995        114.713
     25/03/1991              34          5.253         1355.5          0.000         196.44         135.55          63.67          82.79          42.54           7.44           0.00           3.19           0.66           1.65           1.43           0.07           0.00           0.000          0.000          0.000          7.405          0.940          0.037        198.208          295.3          1.755          1.000          3.886          0.000       1402.406         54.480        136.287
     26/03/1991              35          5.279         1489.7          0.000         213.72         148.97          67.97          89.07          48.10           8.58           0.00           3.58           0.71           1.83           1.62           0.08           0.00           0.000          0.000          0.000          7.682          1.038          0.042        192.501          291.5          1.760          1.000          3.849          0.000       1548.930         62.093        158.737
     27/03/1991              36          5.304         1665.7          0.000         236.57         166.57          73.65          97.13          55.67          10.12           0.00           3.98           0.77           1.98           1.84           0.09           0.00           0.000          0.000          0.000          7.930          1.130          0.047        186.209          287.5          1.755          1.000          3.800          0.000       1686.946         69.510        179.495
     28/03/1991              37          5.331         1833.0          0.000         258.23         183.30          79.02         104.48          63.08          11.64           0.00           4.35           0.82           2.14           2.05           0.10           0.00           0.000          0.000          0.000          8.172          1.224          0.052        177.902          283.8          1.745          1.000          3.771          0.000       1826.690         77.468        207.728
     29/03/1991              38          5.357         1978.7          0.000         277.00         197.87          83.67         110.62          69.72          13.00           0.00           4.70           0.86           2.30           2.21           0.12           0.00           0.000          0.000          0.000          8.431          1.329          0.057        172.755          280.4          1.732          1.000          3.747          0.000       1983.257         85.255        235.386
     30/03/1991              39          5.380         2125.3          0.000         295.96         212.53          88.34         116.63          76.58          14.41           0.00           5.06           0.91           2.47           2.38           0.13           0.00           0.000          0.000          0.000          8.685          1.436          0.062        169.024          276.9          1.722          1.000          3.728          0.000       2142.752         92.145        260.133
     31/03/1991              40          5.407         2222.4          0.000         308.28         222.24          91.37         120.31          81.24          15.36           0.00           5.38           0.94           2.63           2.54           0.14           0.00           0.000          0.000          0.000          8.910          1.532          0.067        167.531          273.8          1.715          1.000          3.723          0.000       2286.293        100.097        285.743
     01/04/1991              41          5.433         2386.6          0.000         329.54         238.66          96.61         126.62          89.30          17.01           0.00           5.81           0.99           2.83           2.75           0.15           0.00           0.000          0.000          0.000          9.169          1.646          0.072        164.058          269.4          1.716          1.000          3.685          0.000       2457.074        107.926        303.141
     02/04/1991              42          5.459         2555.8          0.000         351.46         255.58         102.00         132.92          97.79          18.75           0.00           6.24           1.04           3.02           2.96           0.17           0.00           0.000          0.000          0.000          9.424          1.761          0.077        158.824          265.1          1.713          1.000          3.645          0.000       2628.758        115.658        333.201
     03/04/1991              43          5.485         2771.9          0.000         379.33         277.19         108.92         140.52         108.87          21.02           0.00           6.65           1.10           3.19           3.17           0.18           0.00           0.000          0.000          0.000          9.676          1.873          0.086        152.262          260.8          1.705          1.000          3.618          0.000       2795.520        128.757        364.894
     04/04/1991              44          5.507         2983.7          0.000         406.71         298.37         115.69         147.77         119.95          23.29           0.00           7.01           1.14           3.36           3.34           0.19           0.00           0.000          0.000          0.000          9.928          1.987          0.094        147.746          257.3          1.690          1.000          3.589          0.000       2965.272        140.311        406.234
     05/04/1991              45          5.528         3194.2          0.000         433.91         319.42         122.41         154.75         131.17          25.59           0.00           7.35           1.19           3.50           3.52           0.20           0.00           0.000          0.000          0.000         10.139          2.082          0.102        199.073          251.8          1.680          1.000          3.935          0.000       3107.201        151.576        447.572
     06/04/1991              46          5.550         3440.6          0.000         465.88         344.06         130.30         162.77         144.50          28.32           0.00           7.70           1.23           3.72           3.63           0.21           0.00           0.000          0.000          0.000         10.511          2.255          0.109        192.607          247.1          1.650          1.000          3.892          0.000       3365.575        163.190        489.433
     07/04/1991              47          5.573         3675.0          0.000         496.23         367.50         137.77         169.98         157.49          30.98           0.00           8.08           1.27           3.95           3.75           0.22           0.00           0.000          0.000          0.000         10.895          2.432          0.118        185.720          242.8          1.625          1.000          3.847          0.000       3630.072        175.401        539.163
     08/04/1991              48          5.595         3949.1          0.000         531.86         394.91         146.54         178.11         173.04          34.16           0.00           8.44           1.32           4.19           3.87           0.23           0.00           0.000          0.000          0.000         11.298          2.616          0.125        178.350          238.9          1.600          1.000          3.807          0.000       3904.448        187.231        587.655
     09/04/1991              49          5.618         4183.8          0.000         562.26         418.38         153.99         184.65         186.66          36.95           0.00           8.80           1.36           4.41           3.99           0.24           0.00           0.000          0.000          0.000         11.689          2.789          0.133        171.807          235.2          1.581          1.000          3.779          0.000       4162.069        199.105        645.674
     10/04/1991              50          5.637         4349.9          0.000         583.59         434.99         159.16         188.96         196.49          38.97           0.00           9.13           1.39           4.60           4.10           0.25           0.00           0.000          0.000          0.000         12.081          2.938          0.140        167.642          231.9          1.567          1.000          3.759          0.000       4384.508        209.524        696.501
     11/04/1991              51          5.657         4512.6          0.000         604.47         451.26         164.22         192.97         206.31          40.98           0.00           9.45           1.43           4.79           4.22           0.26           0.00           0.000          0.000          0.000         12.425          3.072          0.147        164.376          228.6          1.558          1.000          3.736          0.000       4585.345        220.044        733.173
     12/04/1991              52          5.677         4744.6          0.000         634.47         474.46         171.54         198.54         220.50          43.89           0.00           9.77           1.46           4.96           4.35           0.27           0.00           0.000          0.000          0.000         12.773          3.203          0.156        160.251          225.3          1.550          1.000          3.700          0.000       4781.107        232.538        769.797
     13/04/1991              53          5.697         5027.3          0.000         671.03         502.73         180.53         204.96         238.06          47.48           0.00          10.09           1.50           5.13           4.48           0.28           0.00           0.000          0.000          0.000         13.118          3.322          0.167        161.654          221.5          1.543          1.000          3.710          0.000       4958.464        249.634        822.772
     14/04/1991              54          5.716         5300.0          0.000         706.24         530.00         189.17         210.86         255.22          51.00           0.00          10.40           1.54           5.28           4.62           0.29           0.00           0.000          0.000          0.000         13.461          3.432          0.179        154.910          218.1          1.538          1.000          3.670          0.000       5122.111        266.542        888.274
     15/04/1991              55          5.739         5597.3          0.000         744.59         559.73         198.60         216.97         274.15          54.87           0.00          10.77           1.58           5.42           4.81           0.30           0.00           0.000          0.000          0.000         13.800          3.529          0.192        147.853          214.3          1.537          1.000          3.618          0.000       5267.750        286.283        952.296
     16/04/1991              56          5.760         5811.4          0.000         771.90         581.14         205.27         221.00         287.94          57.70           0.00          11.11           1.62           5.58           4.97           0.31           0.00           0.000          0.000          0.000         14.196          3.636          0.204        200.044          209.1          1.534          1.000          3.982          0.000       5426.753        304.878       1022.949
     17/04/1991              57          5.781         6090.5          0.000         807.87         609.05         214.07         226.24         306.14          61.43           0.00          11.45           1.67           5.71           5.15           0.33           0.00           0.000          0.000          0.000         14.570          3.724          0.217        194.227          204.4          1.533          1.000          3.933          0.000       5558.626        323.207       1074.392
     18/04/1991              58          5.803         6396.5          0.000         847.35         639.65         223.74         231.74         326.32          65.56           0.00          11.81           1.71           5.83           5.35           0.34           0.00           0.000          0.000          0.000         14.937          3.800          0.229        187.125          199.9          1.534          1.000          3.874          0.000       5671.894        342.424       1142.325
     19/04/1991              59          5.824         6704.5          0.000         887.12         670.45         233.46         237.07         346.83          69.76           0.00          12.15           1.76           5.94           5.55           0.36           0.00           0.000          0.000          0.000         15.323          3.870          0.242        178.061          196.0          1.534          1.000          3.824          0.000       5776.751        360.935       1217.595
     20/04/1991              60          5.845         6983.3          0.000         923.00         698.33         242.19         241.62         365.59          73.60           0.00          12.48           1.80           6.03           5.75           0.38           0.00           0.000          0.000          0.000         15.695          3.928          0.254        170.451          192.5          1.536          1.000          3.782          0.000       5862.752        378.847       1294.155
     21/04/1991              61          5.867         7242.4          0.000         956.16         724.24         250.26         245.54         383.17          77.20           0.00          12.83           1.85           6.12           5.99           0.40           0.00           0.000          0.000          0.000         16.054          3.974          0.267        164.158          188.8          1.540          1.000          3.741          0.000       5930.819        398.329       1364.125
     22/04/1991              62          5.889         7550.1          0.000         995.64         755.01         259.91         250.00         404.22          81.51           0.00          13.17           1.90           6.19           6.22           0.42           0.00           0.000          0.000          0.000         16.445          4.014          0.282        157.287          185.3          1.543          1.000          3.688          0.000       5990.718        420.988       1429.729
     23/04/1991              63          5.908         7853.8          0.000        1034.40         785.38         269.41         254.02         425.17          85.80           0.00          13.49           1.94           6.26           6.43           0.43           0.00           0.000          0.000          0.000         16.822          4.049          0.300        148.583          182.1          1.545          1.000          3.648          0.000       6043.499        447.336       1508.280
     24/04/1991              64          5.931         8133.8          0.000        1069.82         813.38         278.11         257.29         444.63          89.79           0.00          13.85           1.99           6.32           6.68           0.46           0.00           0.000          0.000          0.000         17.170          4.078          0.320        199.959          176.9          1.550          1.000          3.971          0.000       6086.188        477.571       1586.441
     25/04/1991              65          5.955         8405.5          0.000        1104.08         840.55         286.52         260.24         463.64          93.68           0.00          14.22           2.05           6.39           6.93           0.48           0.00           0.000          0.000          0.000         17.568          4.113          0.341        190.975          172.1          1.553          1.000          3.904          0.000       6138.713        508.728       1659.062
     26/04/1991              66          5.975         8713.1          0.000        1143.28         871.31         296.10         263.75         485.31          98.12           0.00          14.53           2.10           6.45           7.14           0.50           0.00           0.000          0.000          0.000         17.979          4.153          0.359        181.058          168.3          1.554          1.000          3.864          0.000       6198.113        535.559       1729.984
     27/04/1991              67          5.994         8994.3          0.000        1178.99         899.43         304.79         264.23         507.34         102.63           0.00          14.84           2.14           6.47           7.38           0.52           0.00           0.000          0.000          0.000         18.069          4.148          0.376        175.366          164.9          1.560          1.000          3.820          0.000       6191.358        561.172       1810.860
     28/04/1991              68          6.000         9289.3          0.000        1216.53         928.93         313.91         263.15         531.82         107.65           0.00          15.14           2.19           6.47           7.64           0.54           0.00           0.000          0.000          0.000         18.069          4.131          0.393        168.777          161.8          1.567          1.000          3.774          0.000       6165.966        586.564       1893.049
     29/04/1991              69          6.401         9582.9          0.000        1253.91         958.29         322.97         262.11         556.19         112.64           0.00          15.42           2.24           6.45           7.90           0.57           0.00           0.000          0.000          0.000         18.069          4.115          0.409        161.574          158.8          1.568          1.000          3.732          0.000       6141.500        611.029       1984.411
     30/04/1991              70          6.630         9870.9          0.000        1290.55         987.09         331.83         261.08         580.10         117.54           0.00          15.67           2.32           6.43           8.10           0.61           0.00           0.000          0.000          0.000         18.069          4.099          0.426        154.993          155.8          1.569          1.000          3.691          0.000       6117.439        635.091       2000.000
     01/05/1991              71          6.876        10104.6          0.000        1319.86        1010.46         338.88         259.97         599.50         121.51           0.00          15.88           2.46           6.41           8.24           0.68           0.00           0.000          0.000          0.000         18.069          4.081          0.443        148.564          152.6          1.571          1.000          3.661          0.000       6091.495        661.035       2000.000
     02/05/1991              72          7.000        10336.8          0.000        1348.74        1033.68         345.86         258.65         618.77         125.46           0.00          16.01           2.73           6.38           8.24           0.81           0.00           0.000          0.000          0.000         18.069          4.061          0.464        143.702          148.9          1.572          1.000          3.624          0.000       6060.477        692.053       2000.000
     03/05/1991              73          7.121        10586.2          0.000        1371.38        1058.62         345.17         257.04         643.70         125.46           0.00          16.13           2.97           6.35           8.24           0.93           0.00           0.000          0.000          0.000         18.069          4.035          0.489        200.123          144.5          1.574          1.000          3.993          0.000       6022.878        729.651       2000.000
     04/05/1991              74          7.190        10864.3          0.000        1397.00        1086.43         344.48         255.55         671.52         125.46           0.00          16.24           3.20           6.32           8.24           1.04           0.00           0.000          0.000          0.000         18.069          4.012          0.512        193.497          140.8          1.576          1.000          3.953          0.000       5987.773        764.757       2000.000
     05/05/1991              75          7.255        11096.7          0.000        1418.15        1109.67         343.79         254.15         694.75         125.46           0.00          16.34           3.41           6.29           8.24           1.14           0.00           0.000          0.000          0.000         18.069          3.990          0.534        188.461          137.5          1.577          1.000          3.917          0.000       5955.010        797.519       2000.000
     06/05/1991              76          7.320        11313.8          0.000        1437.79        1131.38         343.11         252.75         716.47         125.46           0.00          16.42           3.56           6.27           8.24           1.22           0.00           0.000          0.000          0.000         18.069          3.968          0.556        183.563          135.2          1.579          1.000          3.882          0.000       5922.381        830.148       2000.000
     07/05/1991              77          7.386        11595.2          0.000        1463.82        1159.52         342.42         251.34         744.60         125.46           0.00          16.47           3.63           6.24           8.24           1.27           0.00           0.000          0.000          0.000         18.069          3.946          0.578        178.351          134.0          1.581          1.000          3.840          0.000       5889.224        863.306       2000.000
     08/05/1991              78          7.452        11878.7          0.000        1490.06        1187.87         341.73         249.92         772.95         125.46           0.00          16.61           3.62           6.21           8.39           1.27           0.00           0.000          0.000          0.000         18.069          3.923          0.601        172.048          132.8          1.582          1.000          3.796          0.000       5855.861        896.669       2000.000
     09/05/1991              79          7.528        12148.2          0.000        1514.68        1214.82         341.05         248.27         799.90         125.46           0.00          16.74           3.62           6.18           8.51           1.27           0.00           0.000          0.000          0.000         18.069          3.898          0.627        165.534          131.9          1.584          1.000          3.758          0.000       5817.295        935.235       2000.000
     10/05/1991              80          7.606        12344.6          0.000        1531.97        1234.46         340.37         246.59         819.55         125.46           0.00          16.81           3.61           6.14           8.58           1.27           0.00           0.000          0.000          0.000         18.069          3.871          0.653        161.879          131.5          1.586          1.000          3.750          0.000       5777.998        974.532       2000.000
     11/05/1991              81          7.661        12565.7          0.000        1552.21        1256.57         339.69         245.41         841.65         125.46           0.00          16.89           3.60           6.12           8.66           1.27           0.00           0.000          0.000          0.000         18.069          3.853          0.672        159.337          131.0          1.588          1.000          3.730          0.000       5750.203       1002.327       2000.000
     12/05/1991              82          7.718        12820.3          0.000        1575.78        1282.03         339.01         244.19         867.12         125.46           0.00          16.99           3.59           6.09           8.76           1.27           0.00           0.000          0.000          0.000         18.069          3.834          0.691        155.139          130.4          1.589          1.000          3.699          0.000       5721.739       1030.790       2000.000
     13/05/1991              83          7.773        13088.0          0.000        1600.69        1308.80         338.33         243.01         893.89         125.46           0.00          17.09           3.59           6.07           8.86           1.27           0.00           0.000          0.000          0.000         18.069          3.815          0.709        150.151          129.6          1.591          1.000          3.667          0.000       5694.069       1058.461       2000.000
     14/05/1991              84          7.831        13322.2          0.000        1622.06        1332.22         337.65         241.65         917.30         125.46           0.00          17.18           3.58           6.04           8.95           1.27           0.00           0.000          0.000          0.000         18.069          3.794          0.731        144.909          129.0          1.593          1.000          3.639          0.000       5662.087       1090.442       2000.000
     15/05/1991              85          7.889        13492.9          0.000        1636.81        1349.29         336.98         240.00         934.37         125.46           0.00          17.22           3.57           6.01           8.99           1.27           0.00           0.000          0.000          0.000         18.069          3.768          0.756        200.427          128.2          1.595          1.000          4.016          0.000       5623.453       1129.077       2000.000
     16/05/1991              86          7.948        13592.7          0.000        1644.46        1359.27         336.31         238.35         944.35         125.46           0.00          17.24           3.56           5.97           9.01           1.27           0.00           0.000          0.000          0.000         18.069          3.742          0.782        209.096          127.7          1.597          1.000          4.073          0.000       5584.854       1167.675       2000.000
     17/05/1991              87          8.000        13726.5          0.000        1655.40        1372.65         335.63         236.58         957.73         125.46           0.00          17.28           3.56           5.94           9.05           1.27           0.00           0.000         71.757          0.000         18.069          3.714          0.810        208.062          127.0          1.599          1.000          4.056          0.000       5543.272       1209.258       2000.000
     18/05/1991              88          8.017        13932.8          2.701        1673.72        1393.28         334.96         234.94         978.09         125.46           0.27          17.33           3.55           5.90           9.10           1.26           0.01           2.635        448.269          3.765         18.069          3.688          0.836        205.402          126.4          1.601          1.000          4.037          0.000       5504.867       1247.662       2000.000
     19/05/1991              89          8.035        14060.3         23.578        1683.78        1406.03         334.29         232.91         988.76         125.46           2.36          17.35           3.54           5.86           9.13           1.21           0.06           2.635        912.528          5.260         18.069          3.656          0.868        202.809          126.1          1.604          1.000          4.024          0.002       5457.359       1295.171       2000.000
     20/05/1991              90          8.052        14160.4         63.563        1691.21        1416.04         333.62         231.00         994.77         125.46           6.36          17.37           3.54           5.82           9.10           1.15           0.17           2.635       1340.813          6.966         18.069          3.626          0.898        201.878          125.9          1.606          1.000          4.021          0.004       5412.660       1339.870       2000.000
     21/05/1991              91          8.068        14259.0        120.093        1698.57        1425.90         332.96         229.17         998.98         125.46          12.01          17.38           3.53           5.79           9.02           1.09           0.32           2.635       1743.781          8.957         18.069          3.598          0.927        202.209          125.6          1.608          1.000          4.022          0.008       5369.651       1382.878       2000.000
     22/05/1991              92          8.084        14339.2        192.342        1704.12        1433.92         332.29         227.36         999.77         125.46          19.23          17.39           3.52           5.75           8.89           1.04           0.51           2.635       2132.338         11.030         18.069          3.569          0.955        201.821          125.5          1.611          1.000          4.020          0.013       5327.386       1425.143       2000.000
     23/05/1991              93          8.101        14426.7        284.332        1709.48        1442.67         331.62         224.64         999.32         125.46          28.43          17.41           3.52           5.69           8.72           0.99           0.75           2.635       2552.873         13.334         18.069          3.527          0.998        201.277          125.2          1.614          1.000          4.013          0.020       5263.682       1488.848       2000.000
     24/05/1991              94          8.118        14534.4        396.817        1716.18        1453.44         330.96         221.24         998.84         125.46          39.68          17.44           3.51           5.62           8.50           0.94           1.05           2.635       2982.389         15.544         18.069          3.473          1.051        200.444          125.0          1.619          1.000          4.005          0.027       5183.898       1568.631       2000.000
     25/05/1991              95          8.137        14677.4        547.104        1726.57        1467.74         330.30         217.98         998.11         125.46          54.71          17.49           3.50           5.56           8.21           0.88           1.44           2.635       3473.605         18.344         18.069          3.422          1.102        198.699          124.4          1.624          1.000          3.986          0.037       5107.659       1644.870       2000.000
